category,datetime,headline,id,image,related,source,summary,url
company,1779828815,Here's How Much Costco Stock Is Expected to Move After Earnings,140426022,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"Costco is set to report earnings Thursday afternoon, with traders expecting a sizable move from the stock following the results.",https://finnhub.io/api/news?id=f562b42e8f595baf7d6050060ad82be1e87e7659caa9ce4e0770cb0513159874
company,1779823547,Walmart launches LTL truck consolidation program for suppliers,140424280,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,Walmart is using automation to help streamline inbound shipment consolidation for vendors who prepay for the service. The post Walmart launches LTL truck consolidation program for suppliers appeared first on FreightWaves.,https://finnhub.io/api/news?id=712539d1179e176ca2121981af48c9732e918b861b25cbfa957f815003735039
company,1779822601,Stay informed with the top movers within the dow jones index on Tuesday.,140423866,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,WMT,ChartMill,Stay updated with the movement of dow jones stocks in today's session. Discover which dow jones stocks are making waves on Tuesday.,https://finnhub.io/api/news?id=55e94b72a3ea22cf4da6731b84661fe5d26aa3d6a8706499fbc47931158ffe58
company,1779820407,Walmart Is Supposed to Be a Safe-Haven Stock. High Gas Prices Are Hitting Its Shares Instead.,140428213,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"While once treated like a defensive fortress by investors, high fuel costs are squeezing shoppers, hurting margins, and shaking confidence in Walmart now.",https://finnhub.io/api/news?id=dab28524c45e3452caf1bf72cc358a7e90ea19bdb8d896e90fcc1dac197aa723
company,1779819416,"Walmart’s Fastest-Growing Business Isn’t Retail, but It Still Needs to Justify Its Premium Valuation",140428194,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"Walmart delivered solid quarterly results, but investors focused on inflation risks and cautious guidance. One fast-growing business segment, though, may deserve closer attention.",https://finnhub.io/api/news?id=da96db138edd96b9b7b6d2d8387398388312a966c28056ae2ade1fa64c22e05e
company,1779818434,Walmart Revamps Supply Chain to Cut Costs,140424282,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,The retailer wants products moving faster while reducing logistics expenses.,https://finnhub.io/api/news?id=3c473e14be9ff4527e04bd7c215e2f7cfc50f6e63f239817b113f63ae3c0b791
company,1779815301,Walmart Joins Russell 3000 Elite As Investors Weigh Q1 Shakeup,140422675,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"Walmart (NasdaqGS:WMT) is set to enter the top 10 of the Russell 3000 Index during the June 2026 reconstitution, replacing Eli Lilly. The index change follows Q1 results where Walmart reported record sales alongside a cautious earnings outlook that triggered a sharp stock pullback. Two senior executives are leaving the company as Walmart reshapes its leadership team and refines its long term priorities. For you as an investor, Walmart sits at the crossroads of big box retail, grocery, and e...",https://finnhub.io/api/news?id=6bafd8e6c4731d96e7fe3cee70dee6b72e91760152d47c21302313cf595e415c
company,1779813601,Exploring the top movers within the dow jones index during today's session.,140421782,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,WMT,ChartMill,Wondering what's happening in today's session for the dow jones index? Stay informed with the top movers within the dow jones index on Tuesday.,https://finnhub.io/api/news?id=b44363f0b91318385037e0556dcb04ad2f89968b617236734981e2817a8aece9
company,1779810600,Walmart Sinks 8.1% Post Q1 Earnings: Exit WMT Stock or Stay Put?,140422683,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"Walmart slides after Q1 results as fuel and other costs squeeze margins, but e-commerce, ads and memberships keep its growth story intact.",https://finnhub.io/api/news?id=94a6719a283d3af5d5dede2dd6b61fc0e39ad3d27970a0a5f530491b3c30cca7
company,1779805349,Walmart's Stock Experiencing Biggest Wipeout in 4 Years,140421279,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WMT,Yahoo,"The world's biggest retailer, Walmart, is seeing its stock price fall hard and fast. The stock is currently down 10.94% over the past four consecutive days. It's the worst four-day stretch for the stock since May 20, 2022, when it fell nearly 20%, according to Dow Jones Market Data.",https://finnhub.io/api/news?id=d45732f5fb9ff1547ffb15f5576b55ef807f23997eb0436407af719310f33795
