category,datetime,headline,id,image,related,source,summary,url
company,1780432354,Stock Indexes Post New Record Highs Amid AI Enthusiasm,140509474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.13%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.45%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +0.48%. June E-mini S&P futures (ESM26 ) rose +0.14%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=96cb56dea8cd225ccd9fa9fa537bf8f06353dc30d772de14741f4d863c9c2f5f
company,1780416601,Will Adobe (ADBE) Beat Estimates Again in Its Next Earnings Report?,140502563,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,Adobe (ADBE) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,https://finnhub.io/api/news?id=80403e79ce3a51a587e9c71b476d2930edc2bdce7d80287e57f4e7b56bdeb981
company,1780413943,Stocks Push Higher on US Labor Market Strength and AI Spending,140506192,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.24%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +0.26%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +0.29%. June E-mini S&P futures (ESM26 ) are up +0.20%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=55d7af628b73d70bf86aa7192673d2df25611841953752dbcc9fd0a53f162159
company,1780412471,Software ETF sees record retail buying as AI concerns ease,140500518,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,Investing.com -- The iShares Expanded Tech-Software Sector ETF saw retail investors pour in a record $46 million on Monday.,https://finnhub.io/api/news?id=9c7b793c12cf9153244e85c06662c7c0cf6f1b91256a8c942e44289c59158bee
company,1780410266,Retail investors fuel record buying in US software ETF as AI trade broadens,140500520,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"The largest exchange-traded fund (ETF) tracking U.S. software stocks clocked the biggest single-day buy-in by retail investors ‌on record on Monday, data from Vanda Research showed. Software ‌stocks have largely recovered their losses from earlier this year when fears of ​industry-wide disruptions due to the rise of AI gripped the sector, though volatility still persists. Mom-and-pop traders bought stock worth a net $46 million in the iShares Expanded Tech-Software Sector ETF on Monday, surpassing ‌the previous single-day ⁠record by roughly 40%, as per Vanda.",https://finnhub.io/api/news?id=d2e675f2017502d283db3160aa0b48ff9f3a7c9234746c2d2db2d38c83436755
company,1780409330,Stocks Pressured by Uncertainty of US-Iran Ceasefire Prospects,140506194,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.20%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.33%. June E-mini S&P futures (ESM26 ) are down -0.18%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=6fc72df72d8a231b36309fc2398f3d8d087b2c30604a756a7611ccddf00eaaf4
company,1780405204,How to Boost Your Portfolio with Top Computer and Technology Stocks Set to Beat Earnings,140500621,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,Finding stocks expected to beat quarterly earnings estimates becomes an easier task with our Zacks Earnings ESP.,https://finnhub.io/api/news?id=96fc75d59f3cc37c8ce13974e755c8e32e13342ff1ee5f7c5862e6adeda39563
company,1780391521,Adobe CEO Exit Puts AI Strategy And Valuation In The Spotlight,140497822,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Adobe CEO Shantanu Narayen plans to step down after nearly two decades in the role. The leadership transition is unfolding while AI is reshaping creative and marketing software. The change comes as Adobe, ticker NasdaqGS:ADBE, faces rising competitive pressure in AI tools. For investors watching NasdaqGS:ADBE, the leadership shift is arriving during a period of weaker long term share performance alongside more recent short term strength. The stock trades at $274.03, with the share price up...",https://finnhub.io/api/news?id=42333bddb76785e14ca6057688e065943a73e6c47c82e17021ec8730d0861bb5
company,1780388042,"Alphabet's $80B Raise, Huang's Software Sermon, and an After-Hours Detonation at HPE",140497409,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_74_4ef24e2ee3.webp,ADBE,ChartMill,Three things hit the tape between Monday's open and Tuesday's first coffee that you don't see together in a normal week.,https://finnhub.io/api/news?id=fdd0c8cfbab7ed7c80a8307d5c4a79a77ff1f70236f1965bce97076c395f30ec
company,1780387201,Nvidia's new PC chips represent CEO Huang's bid to win at every layer of AI stack,140501577,https://image.cnbcfm.com/api/v1/image/108314509-1780318212098-gettyimages-2278510024-TAIWAN_COMPUTEX.jpeg?v=1780318269&w=1920&h=1080,ADBE,CNBC,"Nvidia's announced entry into the PC chip market sent shares of AMD, Intel and Qualcomm lower as Wall Street recognized the threat.",https://finnhub.io/api/news?id=bc921004a97c5964dbcf5d5e8de905b9580fd2b6cd3eac41242a8ed2e2455299
