category,datetime,headline,id,image,related,source,summary,url
company,1778099471,"Biggest US Grid Must Redesign to Cope With AI Boom, CEO Says",140197385,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AEP,Yahoo,"(Bloomberg) -- The biggest US power grid needs a revamp to cope with the unprecedented surge in electricity demand stemming from the data-center boom, said Chief Executive Officer David Mills.Most Read from BloombergUS Has Opened a Passage Through Hormuz, Central Command SaysUS Says Offensive Phase of Iran War Over as Ship Hit in StraitDOJ Plans Intervention in Trump Supreme Court Carroll AppealAnthropic Unveils AI Agents to Field Financial Services TasksIran Evaluating US Proposal to End War as",https://finnhub.io/api/news?id=f0caec01671ee02d8847d03a0ae6d32a667b872ad0077394dc37c97f5d85f1ee
company,1778081798,"Citigroup Maintains Neutral on American Electric Power, Raises Price Target to $148",140214608,,AEP,Benzinga,Citigroup  analyst Ryan Levine   maintains American Electric Power (NASDAQ:AEP) with a Neutral and raises the price target from $132 to $148.,https://finnhub.io/api/news?id=f71f1cb4e6305b72fc58ee268ef29bc6de941750eb0fb0abbc6929c00e1bf221
company,1778078044,These Analysts Increase Their Forecasts On American Electric Power After Better-Than-Expected Q1 Earnings,140194454,https://cdn.benzinga.com/files/images/story/2026/05/06/Operations-Research-Analysts_1.jpeg?width=2048&height=1536,AEP,Benzinga,American Electric Power (AEP) reported upbeat Q1 results with adjusted earnings of $1.64/share and reiterated 2026 guidance. Analysts raised price targets.,https://finnhub.io/api/news?id=841bf214fca2c100b49a2de473ea926c699aa7123ba137517563e7996992d30e
company,1778074740,"Company News for May 6, 2026",140191643,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AEP,Yahoo,"Companies in The News Are: MPC,EDIT,BUD,AEP",https://finnhub.io/api/news?id=7cd6f4a9d8c1af55e4ec2ef55a011246c47d753053b8fb3baa371f615fd3ea69
company,1778074081,"This Boring Utility ETF Just Became a Stealth AI Play, and It’s Up 20%",140189663,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AEP,Yahoo,"For most of its life, the Utilities Select Sector SPDR Fund (NYSEARCA:XLU) was the financial equivalent of a thermostat. You set it, you forgot it, and it quietly produced a check every quarter while the rest of your portfolio did the interesting work. Then artificial intelligence showed up and started plugging in server farms the ... This Boring Utility ETF Just Became a Stealth AI Play, and It’s Up 20%",https://finnhub.io/api/news?id=0ad6e443b85f4468890da90bc627cc8fa51f5d6716bcb4c5074d937c80cff838
company,1778072904,"Scotiabank Maintains Sector Perform on American Electric Power, Raises Price Target to $140",140194455,,AEP,Benzinga,Scotiabank  analyst Andrew Weisel   maintains American Electric Power (NASDAQ:AEP) with a Sector Perform and raises the price target from $131 to $140.,https://finnhub.io/api/news?id=f8490a0544f4da14e74e7c7d3ed48ff66bd398f6a50eb5373a073b5e57d1a1f5
company,1778063722,"Wells Fargo Maintains Overweight on American Electric Power, Raises Price Target to $148",140194456,,AEP,Benzinga,Wells Fargo  analyst Shahriar Pourreza   maintains American Electric Power (NASDAQ:AEP) with a Overweight and raises the price target from $144 to $148.,https://finnhub.io/api/news?id=b23eb791a7e7f278d62869ab47ec8bc0c83d1f48788c35d85ed3b9e8be16398f
company,1778063400,"Hut 8 Commercializes First Phase of 1 GW Beacon Point AI Data Center Campus with 15-Year, 352 MW IT Lease with Base-Term Contract Value of $9.8 Billion",140188009,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AEP,Yahoo,"Hut 8 Corp. (Nasdaq, TSX: HUT) (""Hut 8"" or the ""Company""), an energy infrastructure platform integrating power, digital infrastructure, and compute at scale to fuel next-generation, energy-intensive technologies, today announced the commercialization of the first phase of its Beacon Point data center campus in Nueces County, Texas through a 15-year, $9.8 billion lease (the ""Agreement"") for 352 megawatts (MW) of IT capacity (the ""Transaction""). The tenant, a high-investment-grade company, will de",https://finnhub.io/api/news?id=c2b2137f22fae4521c20dd37e3589ffe44f8a5267a959abb405055ffddc85637
company,1778057747,"Mizuho Maintains Neutral on American Electric Power, Raises Price Target to $141",140194457,,AEP,Benzinga,Mizuho  analyst Anthony Crowdell   maintains American Electric Power (NASDAQ:AEP) with a Neutral and raises the price target from $130 to $141.,https://finnhub.io/api/news?id=f9565d6c86c8064b2c52e6906c2be356a3a896eff86f09a768cf42d4c3bce550
company,1778056279,"AEP eyes exit from PJM, SPP over slow generation interconnection: CEO",140191644,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AEP,Yahoo,American Electric Power’s review of its market options comes amid a surge in customer demand across its multi-state footprint. Its utilities have contracts for 63 GW of new large load by 2030.,https://finnhub.io/api/news?id=d9d25333dd6db9c93eb700988b22f24c1e8986e3532b91ecffedf56b0ebe06b7
company,1778055107,AEP Q1 2026 GAAP earnings rise 9% to $874m,140186921,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AEP,Yahoo,EPS on a GAAP basis increased to $1.61 from $1.50.,https://finnhub.io/api/news?id=4caba6dde5d75123111c13fd82c254fe946c29a24dcd98163bf582df9f4fe8d2
