category,datetime,headline,id,image,related,source,summary,url
company,1778083942,Assurant (AIZ) Q1 2026 Earnings Call Transcript,140193889,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AIZ,Yahoo,"Keith Demmings: Good morning, and thank you for joining us.  The first quarter represents the strongest performance in Assurant's history, driven by record earnings in Global Lifestyle.  When excluding impacts from Global Housing's prior year reserve development, these metrics grew 8% and 12%, respectively.",https://finnhub.io/api/news?id=a73fdc56eae90d8732cdd1a0ccd43c81c1c6839d409f4a3802a79e3621ce4768
company,1778083380,AIZ Q1 Earnings & Revenues Top Estimates on Solid Investment Income,140193877,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AIZ,Yahoo,"Assurant's Q1 results reflect solid performance in both Global Lifestyle and Global Housing, and earnings growth across both Connected Living and Global Automotive.",https://finnhub.io/api/news?id=1f99726d3c4bf443a666a29264a97faa03073e23b9cb122970011837c414457c
company,1778073082,"Assurant, Inc. (AIZ) Q1 2026 Earnings Call Transcript",140192555,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,AIZ,SeekingAlpha,"Assurant, Inc. (AIZ) Q1 2026 Earnings Call May 6, 2026 8:00 AM EDTCompany ParticipantsSean Moshier - Vice President of Investor RelationsKeith Demmings -...",https://finnhub.io/api/news?id=3a5c2d0d5c3f814a24fe1dc7ad8bbe0d4065b38ba6cf66483633a2ca1e5b02e6
company,1778072873,Assurant Q1 Earnings Call Highlights,140189867,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AIZ,Yahoo,"Assurant (NYSE:AIZ) reported what management described as the strongest first-quarter performance in the company’s history, driven by record earnings in its Global Lifestyle segment and continued momentum across mobile device protection and related services. On the company’s first-quarter 2026 earn",https://finnhub.io/api/news?id=35fcd0caea83e7bde12f6d3fca9745795b44c487587fa8832be336f3721f80cf
company,1778070600,"Assurant, Inc. Q1 2026 Earnings Call Summary",140193725,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AIZ,Yahoo,"Moby summary of Assurant, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=0980817f26d696fbde5f19534d0dc6cf08d012b42d2d2ac709852e0370d64eee
company,1778062298,Is It Too Late To Consider Assurant (AIZ) After Its Strong Multi‑Year Share Price Run?,140188407,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AIZ,Yahoo,"Wondering if Assurant at around US$237 per share still offers value, or if most of the easy gains are already behind it? This article breaks down what the current price could mean for you. The stock has returned 0.7% over the past week and 8.7% over the past month, with a 1 year return of 21.8% and a 3 year return of 90.9%. This compares with a more modest 65.4% over 5 years and a flat year to date move of roughly a 0.2% decline. Recent coverage around Assurant has focused on its position...",https://finnhub.io/api/news?id=bb6f1b7e1fd53e1fdb1702fbc9e19b7af524209b981536b4c41b319e9fbc9455
company,1778059218,"Transcript : Assurant, Inc., Q1 2026 Earnings Call, May 06, 2026",140189383,,AIZ,Finnhub,"Presentation Operator MessageOperator Welcome to Assurant's First Quarter 2026 Conference Call and Webcast. [Operator Instructions] It is now my pleasure to turn the floor over to Sean Moshier,",https://finnhub.io/api/news?id=5239039edae0a774f842231539754c3d0e23fd9c48f287527d4d40e7bc62ab1a
company,1778058622,Assurant : Q1 2026 Earnings Call (Presentation),140189223,,AIZ,Finnhub,"First Quarter 2026 Results Investor Presentation © 2026 Assurant, Inc. All rights reserved. Company confidential. 1 Keith...",https://finnhub.io/api/news?id=8f549252e85c762c4526f7f1b47412676f0b934716021acb6d275299b3aeec1c
company,1778056338,"Assurant, Inc. 2026 Q1 - Results - Earnings Call Presentation",140188937,,AIZ,SeekingAlpha,,https://finnhub.io/api/news?id=d850c412fb6ebd01f0ba35bd6d7016050c3f6b3f50a8b38caac1b48cd49cc9b0
company,1778052450,Assurant : First Quarter 2026 Q1 2026 Investor Presentation,140187705,,AIZ,Finnhub,"‌First Quarter 2026 Results‌ Investor Presentation © 2026 Assurant, Inc. All rights reserved. Company confidential. 1 ...",https://finnhub.io/api/news?id=2fdf0355472ee1610c94aa2dfa11406075e9b4ff308db2713caea6fa7a78bd88
