category,datetime,headline,id,image,related,source,summary,url
company,1778104802,"Compared to Estimates, Albemarle (ALB) Q1 Earnings: A Look at Key Metrics",140199468,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ALB,Yahoo,"Although the revenue and EPS for Albemarle (ALB) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=542afd00865badb947c8c31b2cdda24066406bff3f3fde14c0cc053824232f81
company,1778103372,Dow Jones Futures: Stock Market Hits Highs On Iran-Deal Hopes; Nvidia Leads New Buys; ARM Is Big Earnings Mover,140197163,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ALB,Yahoo,The S&P 500 and Nasdaq hit new highs on Iran deal hopes. Nvidia leads new buys with Arm a big earnings mover late.,https://finnhub.io/api/news?id=0a2f4649c479b1601317ad2c08966fb81cb9ef9900e2dbd7154677ea92f3c497
company,1778102702,Albemarle (ALB) Tops Q1 Earnings and Revenue Estimates,140199469,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ALB,Yahoo,"Albemarle (ALB) delivered earnings and revenue surprises of +138.79% and +7.83%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=aec6a5482743c2120eacd082782a90e52fb1b2d9c30e0d9d5e71ad6f0deeeb21
company,1778102220,Albemarle Stock Surges on Earnings. Lithium Is Back.,140199470,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ALB,Yahoo,Albemarle reported earnings per share of $2.95 from sales of $1.4 billion. Wall Street was looking for earnings per share of $1.19 from sales of $1.3 billion.,https://finnhub.io/api/news?id=7c96f3126d3961dd45a35706d89f8a27f92aec341e282947c73c0e597e1ca157
company,1778100539,ALBEMARLE CORP (NYSE:ALB) Shares Surge After Massive Q1 2026 Earnings Beat,140198746,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,ALB,ChartMill,"Albemarle crushed Q1 2026 estimates with EPS of $2.95 vs $1.07 expected and revenue of $1.43B, sending stock up 8% after-hours on strong margin performance.",https://finnhub.io/api/news?id=692aad907cbd969dce0446838dbab6d1c672d47d9640a118ab6c25641967470f
company,1778098500,Albemarle Reports First Quarter 2026 Results,140197636,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ALB,Yahoo,"Albemarle Corporation (NYSE: ALB), a global leader in providing essential elements for mobility, energy, connectivity and health, today announced its results for the first quarter ended March 31, 2026.",https://finnhub.io/api/news?id=2acd5e25808e46f11d45ad3934a11c5ececec6457b62b039d2e21a87c985b6bd
company,1778087349,"Stocks making the biggest moves after hours: DoorDash, Zillow Group, ARM Holdings, Fortinet and more",140209770,https://image.cnbcfm.com/api/v1/image/108103876-1739907921225-JP3_9069.jpg?v=1739908771&w=1920&h=1080,ALB,CNBC,See which stocks are posting big moves after the bell.,https://finnhub.io/api/news?id=9cad065372b5b30f8ca677f25e875cb56dc09ffc7908169131708c63b4bf8c4f
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,ALB,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778085505,Albemarle: Q1 Earnings Snapshot,140196099,,ALB,Finnhub,"CHARLOTTE, N.C. — CHARLOTTE, N.C. — Albemarle Corp. on Wednesday reported first-quarter net income of $319.1 million, after reporting a loss in the same period a year earlier. On a per-share...",https://finnhub.io/api/news?id=d7e30c8d8e3a475ec7353f31ed15bd560ddd51fd60cee4c8ca9c65aa7d101fe4
company,1778084915,Albemarle Affirms FY2026 Sales Guidance of $5.700B-$6.000B vs $5.778B Est (Assuming Average lithium market price ($20/kg LCE),140214483,,ALB,Benzinga,2026 Outlook Considerations Total Corporate Outlook ConsiderationsThe table below reflects expected outcomes for the total company based on recently observed lithium market price scenarios. Outlook ranges for each,https://finnhub.io/api/news?id=b2fa0dc23927867ade5f2f831869528999865198985d3ba66e4edfcb15d8ef26
company,1778084758,Albemarle's quarterly profit jumps on rising lithium prices,140195989,,ALB,Finnhub,"Albemarle, the world's largest producer of lithium, said on Wednesday its quarterly profit jumped more than six fold due to rising prices and sales of the battery metal.The Charlotte, North...",https://finnhub.io/api/news?id=04424206bd2343ddb8058d929417691540efee6262a1ca1cb6f92ce58afa301e
company,1778084673,"Albemarle Q1 Adj. EPS $2.95 Beats $1.06 Estimate, Sales $1.428B Beat $1.318B Estimate",140214484,,ALB,Benzinga,Albemarle (NYSE:ALB) reported quarterly earnings of $2.95 per share which beat the analyst consensus estimate of $1.06 by 178.3 percent. This is a 1738.89 percent increase over losses of $(0.18) per share from the same,https://finnhub.io/api/news?id=bb451efe82744fea216ae11aef28adcf8ec5f944f9d5a663c42e49de3ec1f819
company,1778058008,Albemarle Earnings Are Imminent; These Most Accurate Analysts Revise Forecasts Ahead Of Earnings Call,140194115,https://cdn.benzinga.com/files/images/story/2026/05/06/Operations-Research-Analysts.jpeg?width=2048&height=1536,ALB,Benzinga,"Albemarle Corporation (NYSE: ALB) to release Q1 earnings on May 6, expected to report $1.31 EPS and $1.32B revenue. Stock rose 2.2% on Tuesday.",https://finnhub.io/api/news?id=257fa51af7a0f0573bcca8d2d54bd73384a9460193060e756a5eca9dd0883034
company,1778055163,Should Albemarle’s (ALB) Steady Dividend and Earnings Hopes Prompt a Fresh Look at Its Strategy?,140186961,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ALB,Yahoo,"Albemarle recently declared a quarterly common stock dividend of US$0.405 per share, payable on July 1, 2026, to shareholders of record on June 12, 2026, while analysts now expect a sharp improvement in first-quarter 2026 earnings versus last year’s losses. This combination of a maintained cash return to shareholders and rising expectations for a lithium-driven earnings recovery is sharpening investor focus on the company’s operational progress and market positioning. We’ll now explore how...",https://finnhub.io/api/news?id=e60e1e45faa302bd0e062078f88aaa47eab4dbad56826c48744a01be944487fa
