category,datetime,headline,id,image,related,source,summary,url
company,1780442243,"Applied Materials and Photronics Stocks Trade Up, What You Need To Know",140507557,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,A number of stocks jumped in the afternoon session after Jensen Huang's (Nvidia's CEO) GTC Taipei keynote at Computex reframed how large and how long the AI chip cycle will run.,https://finnhub.io/api/news?id=2c7c5139849d17d5a395dd77fe96600d9e552ffb9a9298f8b8d5436d2b540317
company,1780432354,Stock Indexes Post New Record Highs Amid AI Enthusiasm,140509474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.13%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.45%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +0.48%. June E-mini S&P futures (ESM26 ) rose +0.14%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=96cb56dea8cd225ccd9fa9fa537bf8f06353dc30d772de14741f4d863c9c2f5f
company,1780413943,Stocks Push Higher on US Labor Market Strength and AI Spending,140506192,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.24%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +0.26%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +0.29%. June E-mini S&P futures (ESM26 ) are up +0.20%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=55d7af628b73d70bf86aa7192673d2df25611841953752dbcc9fd0a53f162159
company,1780409330,Stocks Pressured by Uncertainty of US-Iran Ceasefire Prospects,140506194,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.20%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.33%. June E-mini S&P futures (ESM26 ) are down -0.18%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=6fc72df72d8a231b36309fc2398f3d8d087b2c30604a756a7611ccddf00eaaf4
company,1780407715,"Applied Materials, Inc. (AMAT) Presents at Bank of America 2026 Global Technology Conference Transcript",140502189,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,AMAT,SeekingAlpha,"Applied Materials, Inc. (AMAT) Bank of America 2026 Global Technology Conference June 2, 2026 11:40 AM EDTCompany ParticipantsBrice Hill - Senior VP, CFO...",https://finnhub.io/api/news?id=983b3a98f925c35ea05654e05c079de000a66f2be2db5cb050b3c818d596181d
company,1780407445,Applied Materials: The AI Stock That Wins No Matter Which Chip Wins,140499088,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"When investors think about AI winners, the usual names come to mind: Nvidia (NVDA), TSMC, or memory makers like Micron (MU). Semiconductor equipment giant Applied Materials (AMAT) rarely gets the same attention, despite supplying the tools needed to manufacture nearly every critical component of an AI chip.",https://finnhub.io/api/news?id=6b216661c00361cd288f443dd823a66612d701d7d2239ed3966e6aec67116b10
company,1780404000,AI Power Boards and SiC Grid to Aid Navitas Semiconductor's Prospects,140499245,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,NVTS touts new GaNFast 20kW and 10kW AI power boards plus GeneSiC grid demos as data centers shift to higher-voltage DC.,https://finnhub.io/api/news?id=3cf72b7b574186d5f590ea0a74a30113e454035494909f1b03f73aaf98b64e9d
company,1780403880,NVTS Stock: What the Neutral Stance Means at Today's Valuation,140499246,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"Navitas has soared 249% YTD, and its lofty valuation now demands clear follow-through as it scales high-power AI data-center revenue.",https://finnhub.io/api/news?id=51447cb8c513a2b7bbe5972ba0bd278197bf3c36a5f7dce6a0e5e00b1feb96b0
company,1780403652,Is KLA Corporation Stock Outperforming the Nasdaq?,140504276,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"KLA Corporation has outperformed the broader Nasdaq Composite over the past year, and Wall Street analysts remain fairly upbeat about the stock’s future prospects.",https://finnhub.io/api/news?id=e90777c941edb84225f66636d4220c0ef4e5b455498d9166dbd1edc95974346a
company,1780398028,AMAT (NASDAQ:AMAT) Breaks Out With Perfect Technical Score as Earnings Growth Accelerates,140498100,https://www.chartmill.com/images/uploads/Strong_Growth_500_264px_webp_8f1ee6ba5b.webp,AMAT,ChartMill,Discover how Applied Materials (AMAT) combines strong accelerating growth and profitability with a perfect technical breakout setup near a 52-week high.,https://finnhub.io/api/news?id=57e46f582e41afdc61061e23b328327395d229bf936aeede66fb038513350481
company,1780374641,"Applied Materials (AMAT) Can’t Keep Up With Demand, Says Jim Cramer",140496772,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"We recently published Jim Cramer Warned About Market Manipulation & Discussed These 22 Stocks. Applied Materials, Inc. (NASDAQ:AMAT) is one of the stocks discussed by Jim Cramer. Semiconductor manufacturing equipment provider Applied Materials, Inc. (NASDAQ:AMAT) is one of the most crucial stocks in the AI era due to its position at the upstream of the […]",https://finnhub.io/api/news?id=4956c1642b90886e1d0bbffe9b2c44f5915c9c520d6a2ca1615723c941b5963b
