category,datetime,headline,id,image,related,source,summary,url
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,AMCR,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778085920,Amcor plc Q3 2026 Earnings Call Summary,140193862,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMCR,Yahoo,Moby summary of Amcor plc's Q3 2026 earnings call,https://finnhub.io/api/news?id=62feb58b6cbeff039ac3d3dc5cd519d84a714442f49983b6459a173749500c6c
company,1778085565,Amcor (AMCR) Q3 2026 Earnings Transcript,140193863,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMCR,Yahoo,"Peter Konieczny: Thank you, Tracey, and thanks to everyone for joining us as we review Amcor's fiscal 2026 third quarter results.  The health and well-being of our colleagues remain a core value at Amcor, and that commitment will not change.",https://finnhub.io/api/news?id=a7a1ac55bd341cd62dc9dabf2d7edc6d207c7cbb1a7a3839f44bb0fba0481662
company,1778085304,Exploring the top movers within the S&P500 index during today's session.,140198707,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,AMCR,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=ca0e74cb90ac62b9609f505eb1c920732e31ad909d462c61880409e730ba6bd7
company,1778078640,"AMCR Q3 Earnings Meet Estimates, Sales Beat on Berry Acquisition",140191758,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMCR,Yahoo,"Amcor's Q3 sales surge 77% y/y on the Berry deal, beating estimates as margins improve, but softer demand and lower FY26 outlook temper the momentum.",https://finnhub.io/api/news?id=0f71e95b6cb838dcc1186bceb5328eceea1cdfad9ee3145b6490d0571444fb00
company,1778078104,Which S&P500 stocks are gapping on Wednesday?,140198705,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,AMCR,ChartMill,Wondering which stocks are making significant price gaps? Explore the S&P500 index on Wednesday to find the gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=4a8c9979e2ad280a3cdedd6b5ccd7ac90d56507ba3b3ead0ea8acba3d9b73ee9
company,1778074204,Here's What Key Metrics Tell Us About Amcor (AMCR) Q3 Earnings,140191772,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMCR,Yahoo,"While the top- and bottom-line numbers for Amcor (AMCR) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=b01bd917629469792ec6e7cc8780b084328057f2b2ba12c775e87da7b36c56da
company,1778071647,Amcor (AMCR) rises after revenue beat and higher full-year guidance,140190134,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMCR,Yahoo,"Amcor (NYSE:AMCR) moved higher on Wednesday after reporting third-quarter results that topped Wall Street revenue expectations and raising its full-year outlook, supported by continued progress integrating its acquisition of Berry Global. The packaging group posted adjusted earnings per share of $0.",https://finnhub.io/api/news?id=43125adaa72f99c5e8e00ba39e638e7b15fbd96129e2a580420d770f24d720b4
company,1778070904,These S&P500 stocks that are showing activity before the opening bell on Wednesday.,140198691,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,AMCR,ChartMill,Stay updated with the S&P500 stocks that are on the move in today's pre-market session.,https://finnhub.io/api/news?id=ffd59d9916c79f919e51bc1d28eab653cbb25ef28f7a9f14601add20aa241e8e
company,1778070409,Amcor: The Market Is Still Mispricing This High-Yield Dividend Aristocrat,140192127,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1990350877/image_1990350877.jpg?io=getty-c-w1536,AMCR,SeekingAlpha,"Amcor (AMCR) remains a Strong Buy with a ~6.9% yield, upbeat FY26 guidance, and DCF upside despite risks. Here's what investors need to consider.",https://finnhub.io/api/news?id=cf25108737b2ba4b4a4a3caf5610928d03c7458adda22bc30f048199000cd4af
company,1778067418,"Transcript : Amcor plc, Q3 2026 Earnings Call, May 06, 2026",140191226,,AMCR,Finnhub,"Presentation Operator MessageOperator Hello, everyone. Thank you for joining us, and welcome to the Amcor Third Quarter Results 2026. [Operator Instructions]. I will now hand the conference over to...",https://finnhub.io/api/news?id=33f8f3c5e757fe2a4c0ef2d600206cdafe73cbe97e2f0701b7fa7b812f275ed6
company,1778066701,Amcor (AMCR) Q3 Earnings Match Estimates,140190135,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMCR,Yahoo,"Amcor (AMCR) delivered earnings and revenue surprises of -0.19% and +3.81%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=0e4aeeb09391a07d07a7919224f3c784d6aa52729aff9da115a1622f31b3e564
company,1778066683,"Amcor (NYSE:AMCR) Beats Q3 Revenue Estimates but EPS Falls Short, Shares Rise 3.6%",140198615,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,AMCR,ChartMill,"Amcor beat Q3 revenue estimates with a 77% jump from the Berry acquisition, but EPS slightly missed forecasts. Shares rose 3.6% pre-market on strong top-line growth and solid integration progress.",https://finnhub.io/api/news?id=e8077ec55f35a66c706ba7451dcf551af0ea7bf35d9309c2df144236134548f1
company,1778065871,Closure Systems purchases Amcor’s two manufacturing plants in US,140188375,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMCR,Yahoo,"Both the sites supply high-volume beverage segments, including carbonated soft drinks, water and hot-fill products.",https://finnhub.io/api/news?id=38cd554581c902c68a2924feb1180cf14a4762029705884de3ee82722fcc733e
