category,datetime,headline,id,image,related,source,summary,url
company,1778088129,AMETEK Agrees To Acquire Portfolio Of Instrumentation Businesses From Indicor In All‑Cash Transaction Valued At ~$5B,140206998,,AME,Benzinga,"AMETEK, Inc. (NYSE:AME) today announced that it has entered into a definitive agreement to acquire a portfolio of instrumentation businesses from Indicor, LLC (&#34;Indicor Instrumentation&#34;) in an all‑cash transaction valued",https://finnhub.io/api/news?id=3467b6dc7ab915a0b895fcf784b3a96c726f8246879ca9c82795b463fd00745a
company,1778079682,"AMETEK, Inc. (AME) M&A Call Transcript",140194557,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,AME,SeekingAlpha,"AMETEK, Inc. (AME) M&A Call May 6, 2026 8:00 AM EDTCompany ParticipantsKevin Coleman - VP of Investor Relations & TreasurerDavid Zapico - Chairman...",https://finnhub.io/api/news?id=4e94b03dd4540f068e8e546af7fb1fdfd190978b6e4f0581733c7f1928e43bff
company,1777034850,"X-Energy IPO Opens For Trade At $30.11/Share; IPO Priced At $23/Share On 44,254,659 Shares",139983169,,AME,Benzinga,,https://finnhub.io/api/news?id=975af2f337d72d70b61a69fd97e5afeca128898f530aa00c65a97c1b2b4f3894
company,1778074689,"AMETEK, Inc. (AME) M&A Call - Slideshow",140193147,,AME,SeekingAlpha,,https://finnhub.io/api/news?id=d3fbd2b2c1f3261dab392a2da5c6dcc58fe26379d4d0a505a6a135d4f465cb6a
company,1778070753,"Exchange-Traded Funds, Equity Futures Higher Pre-Bell Wednesday Amid Potential US-Iran Truce",140189707,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was up 1% and the actively traded,https://finnhub.io/api/news?id=74239c6c924fe35fcab94c85019c05e1a30b3b47f4298c512364916c91485f0b
company,1778061600,AMETEK Announces Agreement to Acquire Indicor Instrumentation,140188252,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,"AMETEK, Inc. (NYSE: AME) today announced that it has entered into a definitive agreement to acquire a portfolio of instrumentation businesses from Indicor, LLC (""Indicor Instrumentation"") in an all‑cash transaction valued at approximately $5.0 billion.",https://finnhub.io/api/news?id=34787034271a20d7131e21ddf6cfff828366b392c4946b1f63305b47c43b4fa7
company,1778059218,"Transcript : AMETEK, Inc. - M&A Call",140189384,,AME,Finnhub,"Presentation Operator MessageOperator Ladies and gentlemen, thank you for standing by. My name is Christa, and I will be your operator today. At this time, I would like to welcome everyone to",https://finnhub.io/api/news?id=a7370003afa8f4ef8f76f632eb9090af3022277797498a41986c0a5a2f933558
company,1778055149,AMETEK : Indicor Instrumentation M&A Conference Call Presentation,140188557,,AME,Finnhub,"MAY 6, 2026 AMETEK'S STRATEGIC ACQUISITION OF INDICOR INSTRUMENTATION ACQUISITION OVERVIEW Highly strategic acquisition...",https://finnhub.io/api/news?id=e06cd3b0f3ee4fa18b62eccf0fb24ab316306a95df01a7d714936e775e9efced
company,1778054902,"AMETEK, Inc. entered into a definitive agreement to acquire portfolio of instrumentation businesses of Indicor, LLC for approximately $5 billion.",140188451,,AME,Finnhub,"AMETEK, Inc. entered into a definitive agreement to acquire portfolio of instrumentation businesses of Indicor, LLC for approximately $5 billion. on May 6, 2026. AMETEK plans to fund the acquisition...",https://finnhub.io/api/news?id=d381cb590323f30a50eca0dcac3ea2c91f93879a65f12fb4b844fdc49f5defd3
company,1778049809,Ametek to buy CD&R-owned Indicor's instrumentation businesses for $5 billion,140187284,,AME,Finnhub,Industrial equipment maker Ameteksaid on Wednesday it would acquire the instrumentationbusinesses of valve and pump manufacturer Indicor for about $5billion in cash. The acquisition...,https://finnhub.io/api/news?id=096416c2a33e2c5b99f6554704c131843108a2f9c7d230a795bf7580fa5680d1
company,1778047830,Ametek to buy Indicor's instrumentation businesses for $5 billion,140187005,,AME,Finnhub,Industrial equipment maker Ameteksaid on Wednesday it would acquire a portfolio ofinstrumentation businesses of valve and pump manufacturerIndicor for about $5 billion in cash.(Reporting by Nandan...,https://finnhub.io/api/news?id=ddb2441d465196d82122d7dce0632c8dd75aa00ebac1271bf6fd0558c475516c
