category,datetime,headline,id,image,related,source,summary,url
company,1778108404,APA (APA) Reports Q1 Earnings: What Key Metrics Have to Say,140200230,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APA,Yahoo,"The headline numbers for APA (APA) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=de75084133341acc71345415c16f8ff86d7eb76fa3efb9ba5c73d6880dce6b26
company,1778106618,APA (APA) Surpasses Q1 Earnings and Revenue Estimates,140199481,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APA,Yahoo,"APA (APA) delivered earnings and revenue surprises of +37.14% and +4.80%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=f25c8092c6733ad06b14c9f2713583bf94f63c50b8675e28d644b88cedbdd867
company,1778104288,BofA Lifts APA PT to $30 amid Updated U.S. Energy Sector Outlook,140199310,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APA,Yahoo,"With YTD returns of 53.5% as of May 5, APA Corporation (NASDAQ:APA) is included among the 10 Best Performing Dividend Stocks So Far in 2026. On April 27, BofA raised its price recommendation on APA Corporation (NASDAQ:APA) to $30 from $27. It reiterated an Underperform rating on the stock. The analyst said the firm is updating its […]",https://finnhub.io/api/news?id=972baca49cbd96792d30096c9d24513da0018466f43edc17ede22b4206ef3f45
company,1778101888,APA Corporation (NASDAQ:APA) Reports Bullish Q1 CY2026,140197651,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APA,Yahoo,"Oil and gas producer APA Corporation (NASDAQ:APA) announced better-than-expected revenue in Q1 CY2026, with sales up 8.8% year on year to $2.33 billion. Its non-GAAP profit of $1.38 per share was 20.9% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=44eca33765cedca6b637d29f915896e79d4f5a604f4e255908afd0b0c60143fc
company,1778101713,"APA Corp (NASDAQ:APA) Beats Q1 Estimates, Shares Gain in After-Hours Trading",140198780,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_17_c249efcc18.webp,APA,ChartMill,"APA Corp beats Q1 2026 estimates with EPS of $1.38 and revenue of $2.22B, driving slight after-hours gains amid broader market caution.",https://finnhub.io/api/news?id=0862554c92e077455b947cfb9486eb8e209e30505056aba7e9aa1866490ff9a8
company,1778098500,APA Corporation Announces First-Quarter 2026 Financial And Operational Results,140197652,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APA,Yahoo,"HOUSTON, May 06, 2026 (GLOBE NEWSWIRE) -- APA Corporation (Nasdaq: APA) today announced first-quarter 2026 results. Results can be found on the company’s website by visiting www.apacorp.com or investor.apacorp.com. APA will host a conference call on Thursday, May 7, at 10 a.m. Central time via the webcast link available on the company website to discuss the results. Following the conference call, a replay will be available for one year on the “Investors” page of the company’s website. About APA",https://finnhub.io/api/news?id=141cd4e0ce98144f63b22ddf10c4f49c1c3b215db608abc94faddf2309124a68
company,1778094304,Wednesday's session: top gainers and losers in the S&P500 index,140198713,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,APA,ChartMill,"Let's delve into the developments on the US markets one hour before the close of the markets on Wednesday. Below, you'll find the top gainers and losers within the S&P500 index during today's session.",https://finnhub.io/api/news?id=2f3ba7ac4b93a09eb4ebdf551ee3e78e54dbb14ecca215aa142fee88c7bc331e
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,APA,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778085255,APA: Q1 Earnings Snapshot,140196090,,APA,Finnhub,"HOUSTON — HOUSTON — APA Corporation on Wednesday reported first-quarter earnings of $446 million. On a per-share basis, the Houston-based company said it had profit of $1.26. Earnings,...",https://finnhub.io/api/news?id=467d03cdbdeaeb2980acaf7ba581f0a05e4887f8cff05784c7261d95c9956832
company,1778084474,Shale producer APA beats first-quarter profit estimates,140195965,,APA,Finnhub,"Oil and gas producer APA beatWall Street estimates for first-quarter profit on Wednesday, asstronger oil prices helped offset a decline in output. The Houston, Texas-based company...",https://finnhub.io/api/news?id=30114de71227a3e5ccd559d6457ca428914436e10c26312a6212186fa008ee17
company,1778084367,APA : Earnings Release (bb5895ec 4415 493f b949 a377677bd122),140195972,,APA,Finnhub,‌APA Corporation Announces First-Quarter 2026 Financial and Operational Results First-quarter 2026 and recent highlights Reported production...,https://finnhub.io/api/news?id=884fc3fb99e5029124e40d38f4022f0398b76c2ec8be9b4feca77d5dac501e7c
company,1778084366,APA : First-Quarter 2026 Financial and Operational Supplement,140195974,,APA,Finnhub,"First-Quarter 2026 Financial and Operational Supplement May 6, 2026 Permian and Egypt Durability with...",https://finnhub.io/api/news?id=580e2c58630b6dd21b218f43cebf0fa796c0f2607de73a72d3262b9ec5bce1a5
company,1778084364,APA : 2026 Q1 Supplement,140195975,,APA,Finnhub,"First-Quarter 2026 Financial and Operational Supplement May 6, 2026 Permian and Egypt Durability with...",https://finnhub.io/api/news?id=82c229fccbb4fefc0adf9bfc2545b14a5cd7ff95ccd3a955f6fd2a637e1396fb
company,1778074536,"Stocks making the biggest moves midday: AMD, Corning, Arm Holdings, Cencora, Uber & more",140193204,https://image.cnbcfm.com/api/v1/image/108281726-1774286929697-045_2649mxf01_40_15_09still001.jpg?v=1774287066&w=1920&h=1080,APA,CNBC,Here are the stocks making headlines in midday trading.,https://finnhub.io/api/news?id=0fd2c75ad3fed8d7de8625d85846423a35fca5017bf251dc9f43d8850a1395e4
company,1778070904,These S&P500 stocks that are showing activity before the opening bell on Wednesday.,140198691,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,APA,ChartMill,Stay updated with the S&P500 stocks that are on the move in today's pre-market session.,https://finnhub.io/api/news?id=ffd59d9916c79f919e51bc1d28eab653cbb25ef28f7a9f14601add20aa241e8e
company,1778052471,"Stocks making the biggest moves premarket: AMD, Disney, Uber, Corning, Super Micro Computer & more",140192835,https://image.cnbcfm.com/api/v1/image/108260244-1770052587895-gettyimages-2259048430-US_STOCKS.jpeg?v=1776173571&w=1920&h=1080,APA,CNBC,These are the stocks posting the largest moves premarket.,https://finnhub.io/api/news?id=3c3e2ae4c970e206d1b683796431a98f014cdfc9cd00aba6ad8530b40e64b216
