category,datetime,headline,id,image,related,source,summary,url
company,1778110520,Axon Enterprise Q1 Earnings Call Highlights,140199456,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXON,Yahoo,"Axon Enterprise (NASDAQ:AXON) executives used the company’s first-quarter 2026 earnings call to highlight continued rapid growth, rising adoption of its AI-focused offerings, and accelerating demand for its counter-drone business, while raising full-year revenue guidance. Management frames AI as a",https://finnhub.io/api/news?id=1cc41b51c820527fec348cb5a0ecddbdcb07e0e0b43bb4e8b31cec3764815c3e
company,1778104804,"Compared to Estimates, Axon (AXON) Q1 Earnings: A Look at Key Metrics",140199457,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXON,Yahoo,"The headline numbers for Axon (AXON) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=38399293fda179f9ad133ae75079916d388bde8fb03da25accdee9f4b8d7cf10
company,1778103674,"Axon Enterprise, Inc. (AXON) Q1 2026 Earnings Call Transcript",140200103,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,AXON,SeekingAlpha,"Axon Enterprise, Inc. (AXON) Q1 2026 Earnings Call May 6, 2026 5:00 PM EDTCompany ParticipantsErik Lapinski - Senior Director of Investor RelationsPatrick...",https://finnhub.io/api/news?id=942e9a66ff02a172db6e453ae2ad35d81303d2cb1879ce054e7334646a7c8131
company,1778102703,Axon Enterprise (AXON) Q1 Earnings Lag Estimates,140199458,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXON,Yahoo,"Axon (AXON) delivered earnings and revenue surprises of -2.87% and +3.43%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=eaf1d3bd7f6d92d066e3ee7e8d826d0c59ba48d017867c08f4e419f3ccede3a4
company,1778101507,These S&P500 stocks are moving in today's after hours session,140198766,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,AXON,ChartMill,"As the regular session of the US market concludes on Wednesday, let's get an insight into the after-hours session and identify the top gainers and losers in the S&P500 index.",https://finnhub.io/api/news?id=567fcd47257b186eed7324a8f3b5473cb4edb7fd8b505551053daa6bb7d899a8
company,1778100822,"Axon raises annual revenue growth forecast on strong software, security device demand",140197504,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXON,Yahoo,"TASER-maker Axon Enterprise raised its full-year revenue growth ‌forecast on Wednesday, betting on ‌strong demand for its software products and security ​devices. Shares of the company, which makes law enforcement technology, rose 1.4% in extended trading. Software segment revenue grew during ‌the quarter, driven ⁠by new users and the increased adoption of premium software ⁠offerings by existing customers.",https://finnhub.io/api/news?id=1c7d03549f7c9d12434a03eddb603bfe1a547e3504da2f5f0ca038f48938346e
company,1778100293,"Axon Enterprise Inc (NASDAQ:AXON) Beats Q1 2026 Revenue Estimates, AI and Counter-Drone Sales Surge",140198730,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_16_065e226ebd.webp,AXON,ChartMill,"Axon Q1 2026 revenue beat estimates at $807M (+34% YoY), with AI and counter-drone sales surging. Despite a slight EPS miss, shares rose 1.14% after hours on strong growth momentum.",https://finnhub.io/api/news?id=a38db112339b73aa9efa110780bf558397087694f149f1d2c7d074b4c40612f3
company,1778098256,Axon (NASDAQ:AXON) Delivers Impressive Q1 CY2026,140197505,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXON,Yahoo,"Self defense company AXON (NASDAQ:AXON) announced better-than-expected revenue in Q1 CY2026, with sales up 33.7% year on year to $807.3 million. Its non-GAAP profit of $1.61 per share was 0.8% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=2fd7abb8c430cb4855c3a3b98d7b6ef4db259f116a34946b4b026ff3ce13ed40
company,1778097660,"Axon reports Q1 2026 revenue of $807 million, up 34% year over year",140197506,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXON,Yahoo,"Axon reports Q1 2026 revenue of $807 million, up 34% year over year",https://finnhub.io/api/news?id=342eb9437e1bc5a4acc5b2ab536a9877b84134e07b8623ada125031c580dc7af
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,AXON,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778086146,Axon Shares Slip Despite Q1 Results Above Expectations,140206972,https://cdn.benzinga.com/files/images/story/2026/05/06/Stuttgart--Germany---01-16-2025-Axon-Ent.jpeg?width=2048&height=1536,AXON,Benzinga,Here&#39;s a look inside Axon Enterprise&#39;s Q1 earnings report.,https://finnhub.io/api/news?id=c0b2afaee9020069ca171171dd254b2430aa3f176c6fda3345c9461aef067ccb
company,1778084875,Axon Enterprise Raises FY2026 Sales Guidance from $3.530B-$3.613B to $3.613B-$3.669B vs $3.590B Est,140206973,,AXON,Benzinga,Axon Enterprise (NASDAQ:AXON) raises FY2026 sales outlook from $3.530 billion-$3.613 billion to $3.613 billion-$3.669 billion vs $3.590 billion estimate.,https://finnhub.io/api/news?id=45ee1914eb6524f1ec29ca04345c576ae4b0568448333f60acf930cac46396e9
company,1778084748,"Axon Enterprise Q1 Adj. EPS $1.61 Beats $1.60 Estimate, Sales $807.345M Beat $778.453M Estimate",140206974,,AXON,Benzinga,Axon Enterprise (NASDAQ:AXON) reported quarterly earnings of $1.61 per share which beat the analyst consensus estimate of $1.60 by 0.63 percent. This is a 9.52 percent increase over earnings of $1.47 per share from the,https://finnhub.io/api/news?id=69e08bdab63d1011aa563a4ea401ac531648a4c3c59c16af6c18f6c3d73c85ba
company,1778083752,Axon: Q1 Earnings Snapshot,140195551,,AXON,Finnhub,"SCOTTSDALE, Ariz. — SCOTTSDALE, Ariz. — Axon Enterprise Inc. on Wednesday reported first-quarter earnings of $169.3 million. On a per-share basis, the Scottsdale, Arizona-based company said...",https://finnhub.io/api/news?id=18ab4c58ba19a800541a572783dac9f00ac77bda28fb435d3d2c38a2282d8f00
company,1778076909,Assessing Axon Enterprise (AXON) Valuation After A Sharp Year To Date Share Price Decline,140191718,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXON,Yahoo,"Axon Enterprise overview and recent stock performance Axon Enterprise (AXON) stock has been under pressure recently, with a 3.3% one day decline and negative returns over the past week, month, and past 3 months, bringing the year to date move to a 32.5% decline. See our latest analysis for Axon Enterprise. The recent 1 day share price decline and weaker 1 month and year to date share price returns point to fading near term momentum, even though the 3 year and 5 year total shareholder returns...",https://finnhub.io/api/news?id=d746cac7d0343e37461f67cf817543646f759041938a359f9d467aefa9c3bb7a
