category,datetime,headline,id,image,related,source,summary,url
company,1778099053,Inside India newsletter: Social media is reshaping the world's fastest-growing market for global brands,140209446,https://image.cnbcfm.com/api/v1/image/108303404-1778117979048-gettyimages-2237854452-DSC_4860.jpeg?v=1778118020&w=1920&h=1080,BLK,CNBC,Social media influencers are urging consumers to read labels and pushing traditional companies to make healthier products or risk being replaced by newer entrants.,https://finnhub.io/api/news?id=01cd630750e0d1f2edb8898d254f8004bcb902626994af5a64904618bd5f3367
company,1778077560,3 Investment Management Stocks to Watch Despite Industry Woes,140191695,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"Despite industry woes, investment management stocks like BLK, AMP and SEIC are expected to benefit from continued asset inflows and digital transformation.",https://finnhub.io/api/news?id=fd99dd0118f2ff610c340c3d26819d78f723034a760fc215c89a9c77349efa12
company,1778077140,"Apollo Global Q1 Earnings Miss Estimates, AUM Surpasses $1T",140193681,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"APO Q1 earnings miss as rising expenses overshadow record fee income, even as AUM tops $1T on strong inflows and capital formation.",https://finnhub.io/api/news?id=808cca0e7a732f718b12a7e244e932bfd4b1f11cf2e579d0201435736a3e228c
company,1778071855,Astranis Space Technologies Corp. announced that it has received $455 million in funding from a group of investors,140192342,,BLK,Finnhub,"Astranis Space Technologies Corp. announced that it has raised $455 million in a round of funding co-led by new investors Snowpoint Ventures Management, LLC, Franklin Resources, Inc. on May 6, 2026....",https://finnhub.io/api/news?id=1bb42410f624345ab7ecca9dc7d413121b94484c7dc4a1b2fc1995572319f079
company,1778068800,BlackRock Launches Signature Philanthropic Initiative in Texas with $30M Commitment to Grow Electrical Workforce,140189918,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"WACO, Texas, May 06, 2026--BlackRock today announced a $30 million philanthropic investment in Texas through BlackRock Future Builders, a national initiative funded by The BlackRock Foundation to strengthen skilled trades pipelines across the United States. Over three years, funding from the grants will be used to help train more than 12,000 Texans for electrical careers, strengthening the workforce needed to support Texas’ rapid growth. The launch will be highlighted on National Skilled Trades",https://finnhub.io/api/news?id=c122847fa76ba288f291288aeae9b670aadf09d39a4faae8cbc470f110373ff8
company,1778061600,BlackRock Aladdin Expands Private Credit Solutions on Preqin for Greater Transparency and Insights across the Asset Class,140188150,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"LONDON, May 06, 2026--BlackRock Aladdin today announced new private credit capabilities on Preqin, marking the first step in a broader effort to bring greater transparency, analytical depth, and a single connected view of data to the private credit space. With an expansion of private credit data, benchmarks and analytics, Preqin Pro enables investors to analyze market trends, fund dynamics and underlying assets together, across closed‑end funds, Business Development Companies (BDCs) and semi‑liq",https://finnhub.io/api/news?id=1b439ce96ba4b6d58fb1da2a73df51ecaed22ec5531be6d1d85dbb79355341ea
company,1778060278,"Bitcoin Taps $82,000 As BlackRock, JPMorgan Rush Into Tokenized Stocks",140190353,https://cdn.benzinga.com/files/images/story/2026/05/06/Bitcoin-Souvenir-Coins--Cryptocurrency-G.jpeg?width=2048&height=1536,BLK,Benzinga,"Bitcoin (CRYPTO: BTC) topped $82,000 Wednesday morning as the DTCC announced it will pilot tokenized equities trading in July with over 50 institutions including ",https://finnhub.io/api/news?id=8527cd608759dbe24297c00c9f5da08eeeef7a7458b5f3132cb80a9e153d8f58
company,1778057529,BlackRock Expands Private Credit Data On Preqin,140190743,https://cdn.benzinga.com/files/images/story/2026/05/06/Jakarta--Indonesia---October-19-2022-Bla.jpeg?width=2048&height=1536,BLK,Benzinga,"BlackRock, Inc. shares gained in Wednesday&#39;s premarket session after the asset manager expanded private credit capabilities on Preqin, boosting investor optimism around transparency tools and institutional growth opportunities.",https://finnhub.io/api/news?id=61e4557d596b0a9cb68950b1fe0978d8de992d1ace21790e21e3d9632f37de6b
company,1778049393,"BlackRock's long position in H shares of Great Wall Motor increases to 8.31% on April 30 from 7.77%, HKEX filing shows",140187239,,BLK,Finnhub,HKEX: BlackRock's long position in H shares of Great Wall Motor increases to 8.31% on April 30 from 7.77%...,https://finnhub.io/api/news?id=12fe3a35493ccc63d7ccb65c3aa62177cab3720f163ac294a5484e673353db4e
company,1778033192,Watchdog flags risks in banks' growing private credit ties,140185230,,BLK,Finnhub,"The fast-growing private credit industry's deepening links with traditional banks and asset managers create risks to the global financial system, the global Financial Stability Board watchdog said on...",https://finnhub.io/api/news?id=403108728a5690ab1f637dd9bcdcc8ca4bba662179466c210c22ca37f80d9d29
