category,datetime,headline,id,image,related,source,summary,url
company,1778107687,Oncolytics Biotech Reports Data in Colorectal Cancer Study,140199352,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,By Karen Roman Oncolytics Biotech Inc. (Nasdaq: ONCY) said it has new data showing the use of pelareorep in metastatic colorectal cancer has a 19.5-month median duration of response compared to […],https://finnhub.io/api/news?id=073c5083225754e061108636d8dd4a30844885268e1239c0e5d6a7505f797d55
company,1778101991,Bristol Myers Squibb World Cup Push Meets Valuation And Earnings Questions,140197440,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"Bristol-Myers Squibb, NYSE:BMY, has launched a new patient-focused ""Won't Lose"" media campaign ahead of the FIFA World Cup 2026. The campaign highlights the company’s focus on breakthrough medicines and resilience in the fight against serious diseases. The initiative is set to run nationwide across digital and social platforms and will feature high profile sports personalities. Bristol-Myers Squibb, NYSE:BMY, is putting fresh attention on its brand with ""Won't Lose,"" a broad media effort...",https://finnhub.io/api/news?id=122f8f0b3d04287e7a6233850b06f151d4307d324c7248191da4167239b1baab
company,1778095440,"CYTK Q1 Earnings Match Estimates, Revenues Beat on Myqorzo Launch",140197441,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"Cytokinetics posts Q1 loss as Myqorzo launch lifts revenues to $19.4M, signaling commercial shift amid rising SG&A tied to rollout and expansion.",https://finnhub.io/api/news?id=d87ff703ad99f02fc54c50dfd8dd05856d4122e0f3c994e1a063e9a102e8291e
company,1778077951,6 Pharma Dividend Stocks Yielding Up to 6.44% — and They’ve Survived Every Market Crash,140191445,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"Dividend income arrives whether markets rally or sell off. For investors seeking recurring cash flow, high-yield equities remain the cleanest source outside a paycheck. They settle in cash, clear immediately, and can be redeployed or spent without selling property or waiting on private placements. Pharma is one of the few sectors where mature franchises, regulatory ... 6 Pharma Dividend Stocks Yielding Up to 6.44% — and They’ve Survived Every Market Crash",https://finnhub.io/api/news?id=4e09d8ab6bb836c11253912678951eee7781a9a74dfdf34fc85e358cc30d34d7
company,1778069845,Is Bristol Myers Squibb (BMY) Offering Value After A 25.7% One Year Share Price Gain,140189946,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"If you are asking whether Bristol-Myers Squibb at around US$56.95 is offering fair value or a potential bargain, the starting point is to look past the headline share price and into how it stacks up against several valuation checks. The stock has had mixed returns, with a 2.2% decline over the past week and a 4.4% decline over the last month, but it is up 6.5% year to date and 25.7% over the past year, which may change how investors are thinking about both risk and opportunity. Recent...",https://finnhub.io/api/news?id=398dac432517d9ce9ccdc0b2b2da90bf5830edafe1cb0dc56e2bac9904e7f5d3
company,1778065927,BioNTech Expands Oncology Trials And Reshapes Manufacturing As Investors Weigh Upside,140188158,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"BioNTech (NasdaqGS:BNTX) has started five additional pivotal oncology trials in collaboration with Bristol Myers Squibb. The company has expanded its oncology pipeline with new candidates entering later stage development. BioNTech plans to consolidate its manufacturing footprint to support operational efficiency and R&D investment. BioNTech, known for its mRNA technology, is pushing further into oncology as it works with Bristol Myers Squibb on multiple pivotal studies. For readers tracking...",https://finnhub.io/api/news?id=62a60073d98fab6c5f6cfde1ee8968db4ce187d630bc35f4a07345ed2324c28a
company,1778065200,Medable CEO Michelle Longmire Featured as Guest Speaker with Leaders from Google and Mayo Clinic at Japan’s Largest Pharmaceutical Summit,140188039,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"PALO ALTO, Calif., May 06, 2026--Medable Inc., the leading technology platform for agentic AI clinical development, today announced that its CEO and co-founder, Dr. Michelle Longmire, will be one of three international guest speakers at Japan’s largest pharmaceutical conference, Ubie Pharma Summit (May 13-14, 2026). Longmire will be speaking at the fifth annual event along with Justin Chen, MD, Clinical Specialist at Google for Health, and John Halamka, MD, President of Mayo Clinic Platform.",https://finnhub.io/api/news?id=4f8c166fef57263e73c4bddd653ad0eef4ef522d114a67f8a4e2493f3564f772
company,1778065140,Bristol Myers Squibb to Participate in the Bank of America Securities Healthcare Conference 2026,140188160,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"PRINCETON, N.J., May 06, 2026--Bristol Myers Squibb to Participate in the Bank of America Securities Healthcare Conference 2026",https://finnhub.io/api/news?id=b774fb701b300e6a09a00e1736a441e427096fad27d9982f7e24714114f7f6ed
company,1778050800,CellCentric raises $220M for a ‘transformative’ multiple myeloma medicine,140189800,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"A Series D round led by Venrock will support an ongoing Phase 2 study, and planned Phase 3 trial, of an oral drug the biotech sees as a differentiated option for patients with persistent disease.",https://finnhub.io/api/news?id=b754989ec2f231468a8c20b62d4f66198d434108cef053561bd13bbb5ecd6ed8
company,1778047946,Tempus AI's Big Pharma AI Partnerships Are Getting Bigger And Stickier,140191891,https://cdn.benzinga.com/files/images/story/2026/05/06/Tempus-AI-Logo-On-Mobile-Phone.jpeg?width=2048&height=1536,BMY,Benzinga,"Tempus AI (TEM) Q1 results: Revenue up 36.1% to $348.1M, beating estimates. TEM raises 2026 outlook amid strong AI &amp; diagnostic demand.",https://finnhub.io/api/news?id=6337558b0308c69e5fe20a69649297df8d3bc0cd799aa4729f994711b44577c7
