category,datetime,headline,id,image,related,source,summary,url
company,1778101080,"Newly Renovated Oosterdam to Cruise Europe, the Caribbean and Panama Canal",140199461,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CCL,Yahoo,"Holland America Line is now accepting bookings for Oosterdam's first collection of voyages following its debut as the inaugural ship to undergo Holland America Evolution, the cruise line's largest fleet investment in its 153‑year history. Spanning eight itineraries and 15 departure dates, the new sailings give guests the earliest opportunity to experience Oosterdam's onboard enhancements, paired with destination-rich itineraries across Europe, the Caribbean and North America.",https://finnhub.io/api/news?id=6a355f750b36544ac2d17d3e91cbfcb150f7cf9db45d3bbd72523005b38aea06
company,1778093100,I Sailed the MV Hondius. Its Crisis Won’t Derail Cruising.,140195377,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CCL,Yahoo,"Today, three people have died on board the ship from what appears to be an outbreak of hantavirus, and the MV Hondius is hoping to be accepted by a Spanish port.  In an eerie replay of the early days of Covid-19’s spread, officials say it can’t dock without an inspection and remaining passengers are under quarantine, although the World Health Organization says the broader public-health risk is low.  It’s a new test for an industry that’s jumped from strength to strength in the postpandemic era, but one that’s unlikely to derail enthusiasm for cruises.",https://finnhub.io/api/news?id=e33e0f5cb1971ad73343ba326520a37a9278f02190958ceda4eb32f7b14395ae
company,1778090702,Stay informed about the most active stocks in the S&P500 index on Wednesday's session.,140198711,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,CCL,ChartMill,Looking for the most active S&P500 stocks in today's session? Join us as we dive into the US markets on Wednesday and discover the stocks that are dominating the trading activity and setting the pace for the market.,https://finnhub.io/api/news?id=15101a75c8ee0f1f78ce46150c741a860027a3e895783099f722881c4dfaf8ed
company,1778081761,Northcoast Just Yanked Norwegian Cruise Line From Its Buy List: Iran War Sinks the Cruise Industry,140191351,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CCL,Yahoo,"Northcoast Research has pulled Norwegian Cruise Line (NYSE:NCLH) from its Buy list, downgrading the stock to Neutral on May 6. The firm cited a slower-than-expected balance sheet transformation and an industry backdrop made worse by the war in Iran. The analyst downgrade lands one day after price target cuts from Goldman Sachs, Morgan Stanley, Barclays, ... Northcoast Just Yanked Norwegian Cruise Line From Its Buy List: Iran War Sinks the Cruise Industry",https://finnhub.io/api/news?id=cf322d02586349b2f66486246cc19636faeb7ba0755c1620da7684889e961376
company,1778074860,Cunard Unveils 190 New Voyages in 2028 including Historic Four Queens Celebration,140190087,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CCL,Yahoo,"Cunard – the British luxury cruise brand renowned for 185 years of delivering elegance at sea – has announced its 2028 program, featuring 190 extraordinary voyages in 36 countries, including the historic Four Queens Celebration in May 2028. In addition, Cunard has revealed new inclusive opportunities for guests with its new Signature Packages,",https://finnhub.io/api/news?id=bbd44b848933ba9c1b040358cf369f5af290ef5817e5ba23d59c147593d86b38
company,1778070904,These S&P500 stocks that are showing activity before the opening bell on Wednesday.,140198691,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,CCL,ChartMill,Stay updated with the S&P500 stocks that are on the move in today's pre-market session.,https://finnhub.io/api/news?id=ffd59d9916c79f919e51bc1d28eab653cbb25ef28f7a9f14601add20aa241e8e
company,1778066953,Princess Cruises Celebrates the Debut of Star Princess in Seattle for Its Inaugural Alaska Season; The Sphere Class Ship Sails Weekly from Seattle's Pier 91 to the Inside Passage of Alaska,140190953,,CCL,Finnhub,"SEATTLE- Princess Cruises proudly welcomes Star Princess to Seattle, marking her highly anticipated debut and the start of her inaugural Alaska season. From May 3 - September 13, 2026, the...",https://finnhub.io/api/news?id=0e10fbbf195f15140c0d14e3dcae65f9c64159d7e1937589576202ece40e8bbd
company,1778066892,"Cunard Unveils 190 New Voyages in 2028 including Historic Four Queens Celebration; Plus, with Cunard's new Signature Packages, guests can seamlessly elevate their voyage with bundles at a remarkable value",140190956,,CCL,Finnhub,"VALENCIA, Calif- Cunard - the British luxury cruise brand renowned for 185 years of delivering elegance at sea - has announced its 2028 program, featuring 190 extraordinary voyages in 36 countries,...",https://finnhub.io/api/news?id=27c2b3aeb11e5c27bb2dbdbc938e64362404b95519338a883d98cdd69365b355
company,1778047635,Carnival Corporation & plc(LSE: CCL) dropped from FTSE 350 Index,140186974,,CCL,Finnhub,Carnival Corporation & plc dropped from FTSE 350 Index ...,https://finnhub.io/api/news?id=d3e058cdf1dd193f587fb0caebcb25e2c7863d93a63b6fd6b96690436658102d
company,1778047607,Carnival Corporation & plc(LSE: CCL) dropped from FTSE All-Share Index,140186976,,CCL,Finnhub,Carnival Corporation & plc dropped from FTSE All-Share Index ...,https://finnhub.io/api/news?id=afe284728983b6bbdc7400f8eef30135b979b448e169a894e02a378910f3dded
company,1778047590,Carnival Corporation & plc(LSE: CCL) dropped from FTSE 250 (Ex Investment Companies) Index,140186967,,CCL,Finnhub,Carnival Corporation & plc dropped from FTSE 250 Index ...,https://finnhub.io/api/news?id=c83f13377931fefdbeb00d99624f9c17e32d631ea3ea075d1b233cbe8c0c6609
company,1778047578,Carnival Corporation & plc(LSE: CCL) dropped from FTSE 250 Index,140186968,,CCL,Finnhub,Carnival Corporation & plc dropped from FTSE 250 Index...,https://finnhub.io/api/news?id=c133abe25ffacb29bd98ad9ba1ab6a42cb2d7c03bd272aee2a02b5a57881bd54
company,1778047557,Carnival Corporation & plc(LSE: CCL) dropped from FTSE 350 (Ex Investment Companies) Index,140186971,,CCL,Finnhub,Carnival Corporation & plc dropped from FTSE 350 Index ...,https://finnhub.io/api/news?id=c5f1465f6dd27e56bacc33197d1233ec5472520ed5fa4171dcdd644ccc13fa47
company,1778026975,Carnival’s Fleet Expansion and New Miami Campus Could Be A Game Changer For Carnival Corporation & (CCL),140183733,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CCL,Yahoo,"In recent days, Carnival Corporation’s Princess Cruises brand marked the past arrival of next-generation ship Star Princess in Seattle for her inaugural Alaska season, while Carnival also began construction on a new global headquarters campus in Miami designed to consolidate over 2,000 North American shoreside employees by 2028. At the same time, Carnival advanced long-term capacity and sustainability plans with new LNG-powered Voyager-class ship orders and biofuel trials, even as it...",https://finnhub.io/api/news?id=b34d242b546592788cb6350861c74d887495387f61a5f3b8dea06804ea164ca1
