category,datetime,headline,id,image,related,source,summary,url
company,1778094304,Wednesday's session: top gainers and losers in the S&P500 index,140198713,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CDW,ChartMill,"Let's delve into the developments on the US markets one hour before the close of the markets on Wednesday. Below, you'll find the top gainers and losers within the S&P500 index during today's session.",https://finnhub.io/api/news?id=2f3ba7ac4b93a09eb4ebdf551ee3e78e54dbb14ecca215aa142fee88c7bc331e
company,1778088402,"Don't expect return to $65 oil anytime soon, says macro investor Peter Boockvar",140209448,https://image.cnbcfm.com/api/v1/image/108303355-17781024871778102483-45753778098-1080pnbcnews.jpg?v=1778102486&w=1920&h=1080,CDW,CNBC,"Peter Boockvar, One Point BFG Wealth Partners, joins 'Fast Money' to talk the days market moves, the impact of the Iran war on stocks, and more.",https://finnhub.io/api/news?id=5ea2a4f3e2dc7b75fcc327e31123253e7ae3d20e120648da2c15cca090891e70
company,1778087863,CDW (CDW) Q1 2026 Earnings Transcript,140193861,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CDW,Yahoo,"This conference call is property of CDW and may not be recorded or rebroadcast without specific written permission from the company.  Christine Leahy: Thank you, Steve, and good morning, everyone.  Excellent top line performance reflected agility both in securing supply and capturing demand for AI investment and ongoing infrastructure modernization.",https://finnhub.io/api/news?id=3c81558c2aadc975564545f6cb516adf1551dacf6462de571da4a247620ea39a
company,1778087102,Which S&P500 stocks have an unusual volume on Wednesday?,140198709,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,CDW,ChartMill,Discover the S&P500 stocks that are experiencing unusual trading volume in today's session. Find out more about these stocks below.,https://finnhub.io/api/news?id=7d6218c27f1d8cac9099abff53d13a798642a2f4cae91b297d81db188da60192
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,CDW,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778085304,Exploring the top movers within the S&P500 index during today's session.,140198707,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CDW,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=ca0e74cb90ac62b9609f505eb1c920732e31ad909d462c61880409e730ba6bd7
company,1778082854,CDW Q1 Earnings Call Highlights,140191768,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CDW,Yahoo,"CDW (NASDAQ:CDW) reported a “strong start” to fiscal 2026, citing robust demand tied to AI investment and infrastructure modernization as customers worked through memory supply and pricing constraints, according to executives on the company’s first-quarter earnings call. Chair and CEO Chris Leahy s",https://finnhub.io/api/news?id=31667c53ac63fce64ebeb28e9bce53f141110b21fcebee01f6748b5784880024
company,1778081349,CDW Stock Sinks To 52-Week Low - Here's Why,140198207,https://cdn.benzinga.com/files/images/story/2026/05/06/Stuttgart--Germany---01-30-2025-Mobile-P.jpeg?width=2048&height=1536,CDW,Benzinga,"CDW shares hit a 52-week low after mixed Q1 results. Despite a 9.2% revenue beat, an earnings miss and margin pressure sent the stock diving.",https://finnhub.io/api/news?id=a63d1fe5b0d3634e9099ce3dad41cc6d90976046ba5af008f88dd56c658f0b2d
company,1778079120,"CDW Q1 Earnings Meet, Revenues Rise Y/Y on Infrastructure & AI Adoption",140191763,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CDW,Yahoo,"CDW posts solid Q1 2026 with rising sales and steady EPS, as strong demand across segments and AI investments shape its 2026 outlook.",https://finnhub.io/api/news?id=96b344baeb406402a1f82eaa157e9673cc2d8a8225604782485bd6178176d403
company,1778078916,AI Infrastructure Demand and Commercial Growth Drive CDW’s Q1 Revenue Increase,140191770,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CDW,Yahoo,"CDW reported higher first-quarter sales and earnings as enterprise customers increased spending on infrastructure hardware, software, and AI-related technology deployments. Key Investor TakeawaysCDW Corporation (NASDAQ:CDW) posted 9.",https://finnhub.io/api/news?id=7525d8f6b1d325aec972dc3f73362bbb76bc5234e0e0e97ab848e8ec42c7c88f
