category,datetime,headline,id,image,related,source,summary,url
company,1778106607,CF Industries (CF) Surpasses Q1 Earnings and Revenue Estimates,140199473,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CF,Yahoo,"CF (CF) delivered earnings and revenue surprises of +19.05% and +12.45%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=7e7965f83932b49aa00ca832e5d321373c87e1b7dbfafb2b11cac4720237d76f
company,1778106603,CF (CF) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,140199474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CF,Yahoo,"The headline numbers for CF (CF) give insight into how the company performed in the quarter ended March 2026, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=7312144d136bbd7947b143ed644789e6e039263ef632da3b987b234d7a7ea7ec
company,1778104163,CIBC Raises CF Industries (CF) Price Target on Stronger Nitrogen Pricing Outlook,140197639,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CF,Yahoo,"With YTD returns of 53.2% as of May 5, CF Industries Holdings, Inc. (NYSE:CF) is included among the 10 Best Performing Dividend Stocks So Far in 2026. On April 30, CIBC raised its price recommendation on CF Industries Holdings, Inc. (NYSE:CF) to $128 from $118. It reiterated a Neutral rating on the shares. The firm updated targets […]",https://finnhub.io/api/news?id=689225867a0fd7bcdcac095f18b82208916235f14afff0b7beefc87d5f8754ee
company,1778102929,Fertilizer Maker Trounces Earnings On High Profits Due To Hormuz Closure,140197640,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CF,Yahoo,"Fertilizer producer CF Industries breezed past expectations for revenue and profits on Wednesday. The stock rose 30% in March when Iran closed the Strait of Hormuz, which led to a global supply shortage.",https://finnhub.io/api/news?id=c67023d0a0333a370ced32b0321e92f4bc6c9b9dc26304079ebd59f41da8cd85
company,1778101832,CF Industries Holdings Inc. (NYSE:CF) Smashes Q1 2026 Estimates as Global Nitrogen Supply Tightens,140198787,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,CF,ChartMill,"CF Industries beat Q1 2026 estimates with $2.89 EPS and $1.99B revenue, driven by tight global nitrogen supply. Shares rose 0.6% after-hours.",https://finnhub.io/api/news?id=7951e260fa3ca4330d470a6f49108b590f293f6582f44438355394a5b4134472
company,1778099400,"CF Industries Holdings, Inc. Reports First Quarter 2026 Net Earnings of $615 Million, Adjusted EBITDA of $983 Million",140197641,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CF,Yahoo,"NORTHBROOK, Ill., May 06, 2026--CF Industries Holdings, Inc. (NYSE: CF), a leading global manufacturer of hydrogen and nitrogen products, today announced results for the first quarter ended March 31, 2026.",https://finnhub.io/api/news?id=3964e69f26c6bc6d0cbe3a27f506506b0dfa8c0689bfcc11653a2122d3a69ce0
company,1778092544,"Fertilizer Maker To Report, Stock Soars On Hormuz Closure",140195461,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CF,Yahoo,"Fertilizer producer CF Industries rose 30% in March when Iran closed the Strait of Hormuz, which led to a global supply shortage.",https://finnhub.io/api/news?id=8fe69da26ebee61d4e03314e6b9a3d64733d972f6e33545817e0fb1d570fe75a
company,1778087276,CF Industries beats quarterly profit estimates on strong nitrogen demand,140196623,,CF,Finnhub,"U.S. fertilizer company CF Industriesbeat core profit estimates for the first quarter onWednesday, as strong nitrogen demand and higher prices helpedoffset higher natural gas-driven production...",https://finnhub.io/api/news?id=85d75cbf50e20fc1b38cca816a388e105824acd3625ab9c34940e530b6a1a481
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,CF,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778085559,CF: Q1 Earnings Snapshot,140196138,,CF,Finnhub,"NORTHBROOK, Ill. — NORTHBROOK, Ill. — CF Industries Holdings Inc. on Wednesday reported first-quarter net income of $615 million. On a per-share basis, the Northbrook, Illinois-based company...",https://finnhub.io/api/news?id=9ef1666a8d2727eed74fd7468395a36574b840956cee1bda90154ddbb802d332
company,1778085174,"CF Industries Q1 EPS $3.98 Beats $2.23 Estimate, Sales $1.986B Beat $1.825B Estimate",140209957,,CF,Benzinga,CF Industries Holdings (NYSE:CF) reported quarterly earnings of $3.98 per share which beat the analyst consensus estimate of $2.23 by 77.68 percent. This is a 115.14 percent increase over earnings of $1.85 per share from,https://finnhub.io/api/news?id=dae9d4449ad08b9c4d24c421072069cbf7ed66ed6d3f8d228eb3494f117a1235
