category,datetime,headline,id,image,related,source,summary,url
company,1780427101,Uncover the latest developments among S&P500 stocks in today's session.,140503590,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CIEN,ChartMill,Curious about the top performers within the S&P500 index one hour before the close of the markets on Tuesday? Dive into the list of today's session's top gainers and losers for a comprehensive overview.,https://finnhub.io/api/news?id=16a9eee97aeb42c5148c3a7f2a2b2964d966c9e7f6c4244f3ad2762ea69a42a2
company,1780421914,Huang’s copper-vs-optics call sends optical stocks surging,140502341,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CIEN,Yahoo,"Huang's remarks crystallized a hierarchy that Wall Street is now pricing in aggressively. ""We should use copper as much as we can, for as long as we can, but copper has its limits,"" he said. ""The right strategy is to scale up with copper as long as you can — after that you scale up further with optics, you scale out with optics and you scale across with optics. So you use optics wherever you must, you use copper wherever you can.""",https://finnhub.io/api/news?id=f6acf0aec84290e18b0b7548a4df507edebdbbe283bdbfd4daa8f271726016af
company,1780420860,C3.ai Set to Report Q4 Earnings: What Should Investors Expect?,140504317,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CIEN,Yahoo,"AI's Q4 performance is likely to have benefited from enterprise, generative and agentic AI demand, but sales-execution issues may keep revenue growth under pressure.",https://finnhub.io/api/news?id=659a84bb35199e0ce0d2ebbfff3f8fcf9094500379c88f6fef24d73792f2dd7c
company,1780418820,HPE Tops Q2 Estimates as Revenues Jump 40% on Networking Strength,140502520,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CIEN,Yahoo,"Hewlett Packard tops Q2 estimates as networking demand surged, driving record backlog and a stronger fiscal 2026 outlook.",https://finnhub.io/api/news?id=f5aef9158f1bbd48f0c0d756f3445dab742cf94f3e29763695f4ecf0318fbb15
company,1780418100,Top S&P500 movers in Tuesday's session,140501252,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CIEN,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Tuesday.,https://finnhub.io/api/news?id=957bd0c7422ec605a7c79bdbe2db072b9589e4da0ea2c05f63816c1c2570a6a6
company,1773849191,Lumentum Holdings shares are trading higher after Morgan Stanley maintained an Equal-Weight rating on the stock and raised its price target from $520 to $595.,140071100,,CIEN,Benzinga,,https://finnhub.io/api/news?id=5fe0ebdb9f8939f614562655b72630c32f57f7b053b24076d74a6539b37aa60b
company,1655113941,Shares of several companies in the broader technology sector are trading lower amid overall weakness as stocks continue to sell off following worse-than-expected May CPI data. Rising inflation and an increase in US Treasury yields has also weighed on the sector.,139949348,,CIEN,Benzinga,,https://finnhub.io/api/news?id=2bdc933ca5c7b11de9e58d45b8ffda130acab48134a4dfac8b81e52add563fca
company,1780408425,"B. Riley Securities Maintains Neutral on Ciena, Raises Price Target to $531",140503964,,CIEN,Benzinga,B. Riley Securities  analyst Dave Kang   maintains Ciena (NYSE:CIEN) with a Neutral and raises the price target from $283 to $531.,https://finnhub.io/api/news?id=f3dbe7785cad16c6ebe8f76b3d549c14bf8a52ee0619541f8998dfe1c526c2ab
company,1780406640,Can Solid Networking Platform Revenue Growth Drive CIEN's Q2 Earnings?,140500633,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CIEN,Yahoo,CIEN heads into Q2 earnings with Networking Platforms revenue expected to surge on Waveserver and RLS demand from hyperscalers and cloud builds.,https://finnhub.io/api/news?id=7f5736d0658121134fb0349c108fc02d300a51ebf3cc42b7dbafb24b8d515e14
company,1780404673,Generac Joins Data Center Fracas; Soars On Generator Deal With AI Hyperscaler,140499352,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CIEN,Yahoo,Generac signed a deal to supply a major AI hyperscaler with backup generators. The stock is up about 100% in 2026.,https://finnhub.io/api/news?id=460ea240f30596a11b3e96454f43d5d6660db87a84b1c055d10c3a119b0b7198
company,1780402229,CIENA CORP (NYSE:CIEN): A High-Growth Stock with a Bull Flag Breakout Setup,140498628,https://www.chartmill.com/images/uploads/Strong_Growth_500_264px_webp_8f1ee6ba5b.webp,CIEN,ChartMill,"Ciena Corp (CIEN) combines strong growth metrics with a bullish technical bull flag pattern. With 683% yearly gains, accelerating EPS/revenue growth, and solid financial health, it's a high-growth stock showing favorable breakout potential.",https://finnhub.io/api/news?id=7eaaaae0356fc6e161abe8a5ea508b3b4b95ea8747573e7b4083cb249d0bd0bc
