category,datetime,headline,id,image,related,source,summary,url
company,1778085188,"JP Morgan Maintains Neutral on Cummins, Raises Price Target to $725",140207936,,CMI,Benzinga,JP Morgan  analyst Tami Zakaria   maintains Cummins (NYSE:CMI) with a Neutral and raises the price target from $600 to $725.,https://finnhub.io/api/news?id=a4f19245b48b83d16afd1bb619e8f8ca834987692759c45f6747b28855ba7e88
company,1778080802,How The Cummins (CMI) Investment Story Is Shifting As Analysts Rework Targets And Assumptions,140191623,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMI,Yahoo,"Cummins is back in focus as fresh research work feeds into a higher modeled fair value of US$643.36 per share, up from US$631.40. That move sits alongside a cluster of price target changes that reflect mixed analyst views, with some raising targets by US$27 to US$123 and others trimming by about US$15, all based on different readings of growth and execution risk. Read on to see what these shifting targets may mean for you and how to follow the evolving narrative around the stock. Stay updated...",https://finnhub.io/api/news?id=a35d6ee80096796066be6f22ae1923f1d9a76f2104e49ecd5c43e622dc8fa0e4
company,1778077543,"Citigroup Maintains Buy on Cummins, Raises Price Target to $770",140207937,,CMI,Benzinga,Citigroup  analyst Kyle Menges   maintains Cummins (NYSE:CMI) with a Buy and raises the price target from $710 to $770.,https://finnhub.io/api/news?id=72e097f380564f81231bf20f133dda259b17a8b6139e2253c5f003ef53363a97
company,1776342611,"Live On CNBC, Karen Firestone Announces Trimmed Westinghouse Air Brake Technologies Position",139934191,,CMI,Benzinga,,https://finnhub.io/api/news?id=193e56c47c835b5f22526306fc303937cf0f5f44d3b0b33c12f8217297b612b1
company,1778075285,Palo Alto To Rally Around 20%? Here Are 10 Top Analyst Forecasts For Wednesday,140195731,https://cdn.benzinga.com/files/images/story/2026/05/06/Palo-Alto-Networks-Inc-.jpeg?width=2048&height=1536,CMI,Benzinga,Summary: Wall Street analysts changed outlook on top names; Stifel cut price target for Leidos; Bernstein slashed Bellring Brands PT; Morgan Stanley raised PT for Cummins; Rothschild upgraded Monster Beverage; Cantor Fitzgerald raised AMD PT; RBC Capital raised UDR PT; Barclays raised ON PT; Guggenheim increased PT for Sphere Entertainment Co.,https://finnhub.io/api/news?id=6ccfff744ef8420684cb0bf8dce5b30a50abfa75f9fe541b2d775b20eb3a6893
company,1778073471,"Cummins Ups Guidance on Data Center Demand, Truck Recovery",140192543,,CMI,Finnhub,Cummins CEO and Chair Jennifer Rumsey joined Bloomberg Open Interest to break down why the company is thriving despite rising fuel costs. From explosive data center demand to a trucking rebound and...,https://finnhub.io/api/news?id=20c214eb27dc83e0df9736cdcb4af4227f1d2a00ccf1e2a2db0edabf934b229d
company,1778071768,"Morgan Stanley Maintains Overweight on Cummins, Raises Price Target to $752",140207940,,CMI,Benzinga,Morgan Stanley  analyst Angel Castillo   maintains Cummins (NYSE:CMI) with a Overweight and raises the price target from $675 to $752.,https://finnhub.io/api/news?id=b41af06957b9029d6a21551b73e27c170617079bdeeb37910e7242974df983fc
company,1778069700,Bet on These 5 Dividend Growth Stocks Amid Falling Oil Prices,140189978,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMI,Yahoo,"Dividend-growth stocks like AVGO stand out as oil prices fall, offering investors a mix of steady income, resilience, and long-term growth potential.",https://finnhub.io/api/news?id=0afb828ca5af1c170b5027dc9bff9a31baae9c97a6a2aa87ceb1ca8f4719252b
company,1778062426,"Wells Fargo Maintains Overweight on Cummins, Raises Price Target to $794",140190960,,CMI,Benzinga,Wells Fargo  analyst Jerry Revich   maintains Cummins (NYSE:CMI) with a Overweight and raises the price target from $693 to $794.,https://finnhub.io/api/news?id=5e6b4002e5d20f598afc0e2f49c432630a0e51025704fc22025ce5fd7f5db9b7
company,1778057744,Jim Cramer's top 10 things to watch in the stock market Wednesday,140192629,https://image.cnbcfm.com/api/v1/image/108248910-1767724217022-gettyimages-2254260723-CES_2026.jpeg?v=1776434430&w=1920&h=1080,CMI,CNBC,Stocks are set for another big day on reports about a potential Iran war agreement and more big AI news. ,https://finnhub.io/api/news?id=7f8f32d0f302ae7dd86e5fdf6c1d2f1f93c595dc496e592a836e7330a42baf45
company,1778055871,Cummins Q1 Earnings Call Highlights,140186914,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMI,Yahoo,"Cummins (NYSE:CMI) reported first-quarter 2026 sales of $8.4 billion, up 3% from the year-ago period, as strong demand in power generation—particularly from data centers—more than offset weaker North America heavy- and medium-duty truck markets. Chair and CEO Jennifer Rumsey said the quarter reflect",https://finnhub.io/api/news?id=b738cdfd18be692b69b1e93f605cf079978e131a4ee2b83d70eaea5d8ae44c3d
