category,datetime,headline,id,image,related,source,summary,url
company,1778098719,"Coinbase to face earnings test after job cuts announcement, rough crypto market stretch",140197477,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,Coinbase is scheduled to report Q1 earnings on Thursday after the bell.,https://finnhub.io/api/news?id=5a8ffec821ffdc20ccae42d507c032f6330b1334ae10ccfeed12dbe41e317eb6
company,1778095629,Is Stablecoin Reward Clarity Under The CLARITY Act Altering The Investment Case For Coinbase (COIN)?,140195415,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"In recent days, U.S. senators agreed on compromise language in the CLARITY Act that bans yield on idle stablecoin reserves but permits rewards tied to transactional activity, a move that Coinbase quickly endorsed as it seeks clearer rules for its stablecoin-related products. This regulatory breakthrough materially reduces uncertainty around how stablecoin rewards can be offered on Coinbase’s platform, potentially strengthening its position in compliant dollar-based crypto payments and...",https://finnhub.io/api/news?id=8130eab2cd139817b6f5dc3ea6dcc56d22713a3ced00edae651f3524c5258b57
company,1778087547,How To Make Coinbase Stock Take Flight — Via An Iron Condor,140193799,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"Coinbase stock is showing elevated implied volatility with earnings due, making an iron condor trade one possible option.",https://finnhub.io/api/news?id=97746162c52ae65d7ffd00a091dfd2bbc25eac44207fa2fa7599e2b1d512ae9e
company,1778084914,How MSTR Stock Rises To $370,140193441,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,Strategy Inc. (MSTR) has seen its fundamental identity challenged by the very asset it champions.,https://finnhub.io/api/news?id=7a365186dd5832bf0e6a704db1eeef94116b503e6b48804fd328265ee269995c
company,1778082018,Coinbase Q1 Preview: 'Everything Exchange' Dream Faces First Test After Shock Layoffs,140196769,https://cdn.benzinga.com/files/images/story/2026/05/06/Top-Crypto-Related-Stocks.jpeg?width=2048&height=1536,COIN,Benzinga,Cryptocurrency exchange giant Coinbase Global (NASDAQ:COIN) could create volatility for the crypto sector when the company reports first-quarter financial results Thursday ,https://finnhub.io/api/news?id=97002ac21872f37fccf2e084ed8645a03961110e53b9ac92b61e21bb193f0d97
company,1778078880,Morgan Stanley Adds Crypto Trading to E*Trade With 0.50% Transaction Fees,140191504,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"Morgan Stanley (NYSE: MS) has started rolling out cryptocurrency trading on its E*Trade platform, bringing direct a...",https://finnhub.io/api/news?id=9573fffaebd96ab39768b5dbe6eb4bf0a0c58e727713685bc074e512238047e1
company,1778068807,Coinbase Pulls Back From Gains Spurred By Clarity Act News; Is Coinbase Stock A Sell Now?,140190046,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"Coinbase stock falls Tuesday, pulling back after a jump that followed news of progress on crypto legislation.",https://finnhub.io/api/news?id=3f7f23b7bc837e1d59a49edf7153361617539f13bcadea006940ae9da9446d21
company,1778062534,"Morgan Stanley Undercuts Coinbase, Robinhood On BTC, ETH, SOL Trading Fees",140195125,https://cdn.benzinga.com/files/images/story/2026/05/06/Bitcoin-On-A-Stack-Of-Coins-With-Morgan-.jpeg?width=2048&height=1536,COIN,Benzinga,"Morgan Stanley (NYSE:MS) is rolling out cryptocurrency trading on its E*Trade platform charging 50 basis points per transaction, undercutting Coinbase ",https://finnhub.io/api/news?id=6420c46659780b7b9dccc10d7980f91faf29e30c8dd9754a4e84fa60ae8daeac
company,1778062491,"Benchmark Maintains Buy on Coinbase Global, Lowers Price Target to $260",140196771,,COIN,Benzinga,Benchmark  analyst Mark Palmer   maintains Coinbase Global (NASDAQ:COIN) with a Buy and lowers the price target from $267 to $260.,https://finnhub.io/api/news?id=ade9857b3fa07d3a16d42ec4b3428a8d45a3b9b6b98b597755575c8e9153382f
company,1778061571,Coinbase Launches Gold And Silver Perpetual Futures For Eligible Non‑US Traders,140196772,,COIN,Benzinga,https://www.coinbase.com/en-ca/blog/the-future-of-gold-and-silver-trading-is-on-coinbase,https://finnhub.io/api/news?id=88b612efee3cd362bce3d536b28f23ca7cde6770b122bef2acca4099a3241ef5
company,1778060278,"Bitcoin Taps $82,000 As BlackRock, JPMorgan Rush Into Tokenized Stocks",140190353,https://cdn.benzinga.com/files/images/story/2026/05/06/Bitcoin-Souvenir-Coins--Cryptocurrency-G.jpeg?width=2048&height=1536,COIN,Benzinga,"Bitcoin (CRYPTO: BTC) topped $82,000 Wednesday morning as the DTCC announced it will pilot tokenized equities trading in July with over 50 institutions including ",https://finnhub.io/api/news?id=8527cd608759dbe24297c00c9f5da08eeeef7a7458b5f3132cb80a9e153d8f58
company,1778030957,PRESS DIGEST- New York Times business news - May 6,140184997,,COIN,Finnhub,May 6 - The following are the top stories onthe New York Times business pages. Reuters has not verifiedthese stories and does not vouch for their accuracy. - Coinbase...,https://finnhub.io/api/news?id=5100d23f250e1917a181fc8a8e2f6889dab994d396a1c3e2e7660ceed7ad32ed
company,1778030472,Coinbase slashes staff as AI automates workflows,140184868,,COIN,Finnhub,"CRYPTO exchange Coinbase is planning to cut 14 per cent of its workforce just two days ahead of its next earnings report, citing a need to manage costs amid ongoing market volatility and advances in...",https://finnhub.io/api/news?id=e10b44c4e89f0657f7abd437145c25c7bb4c528266fe21c006c1816a6fa81012
