category,datetime,headline,id,image,related,source,summary,url
company,1778099790,Corteva (CTVA) Q4 2025 Earnings Transcript,140197482,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CTVA,Yahoo,"This is a testament to growing demand of our technology, exceptional performance of our dedicated commercial teams and combined with disciplined execution on operational efficiency in both businesses.  As noted last quarter, we're expecting to cross double-digit trade penetration for Conkesta this year in Brazil, the largest soybean market on the planet with over 300 basis points of margin expansion this year alone and our out-licensing business just catching its stride, I have to say it's fun to imagine what things might look like in another few years with our growth platforms, including gene editing in hybrid wheat really starting to take off.",https://finnhub.io/api/news?id=067f652356ea5af56f537da18d1604d71a19dd2cda58d03e3bcc7019bbe3e98e
company,1778099790,Corteva (CTVA) Q3 2025 Earnings Transcript,140197481,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CTVA,Yahoo,"This proactive strategic decision is rooted in our belief that separating our Seed and Crop Protection businesses now allows both to be better positioned to achieve their maximum long-term growth potential in the future.  Importantly, we now expect to cross double-digit trade penetration for Conkesta next year in Brazil, the largest soybean market on the planet.",https://finnhub.io/api/news?id=90f6395ab48e13cfa3d18232fab61cf8b7942bd01dbc3b86c16e064f05c13391
company,1778078740,Corteva (CTVA) Q1 2026 Earnings Transcript,140191676,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CTVA,Yahoo,"Overall, strong crop acreage is supporting strong seed and crop protection volume demand.  Year-over-year, Corteva, Inc. delivered a 21% increase in Q1 EBITDA and over 200 basis points of margin expansion driven by our core portfolio, our growth platforms, and focused cost execution.  While some of Seed's strong North American volume performance can be attributed to timing shift, price mix gains in every region are a clear signal that regardless of tight margins, farmers continue to plant our latest hybrids and varieties in order to increase yield per acre and their own profitability.",https://finnhub.io/api/news?id=0ce06f0b971352961642b61497a0d9ad195a0819ed5f42588bb858b16fde5b28
company,1778071282,"Corteva, Inc. (CTVA) Q1 2026 Earnings Call Transcript",140192316,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CTVA,SeekingAlpha,"Corteva, Inc. (CTVA) Q1 2026 Earnings Call May 6, 2026 9:00 AM EDTCompany ParticipantsKimberly Booth - Vice President of Investor RelationsCharles Magro -...",https://finnhub.io/api/news?id=72e5f439195f71c07278f571ea6112b40ad55e4a27494b07cffa7cd40a073eb0
company,1778070600,"Corteva, Inc. Q1 2026 Earnings Call Summary",140193780,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CTVA,Yahoo,"Moby summary of Corteva, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=f38104a5abca98544bfa3c04acf7a8d9e59a007334a4d983e45191786dd33241
company,1778063716,"Transcript : Corteva, Inc., Q1 2026 Earnings Call, May 06, 2026",140190624,,CTVA,Finnhub,"Presentation Operator MessageOperator Hello, everyone. Thank you for joining us, and welcome to Corteva. Agriscience Q1 2026 Earnings Call. [Operator Instructions] I will now hand the conference",https://finnhub.io/api/news?id=81fdf9be9d7904e66a513dff5d380ea7b003cbe99c6132cb278745f027f44ad3
company,1778060493,"Corteva says higher energy prices could affect Brazil crop mix, acreage in second half of 2026 - conf call",140189507,,CTVA,Finnhub,"Corteva says higher energy prices could affect Brazil crop mix, acreage in second half of 2026 - conf call...",https://finnhub.io/api/news?id=f2a4b862ed919afcb4c65f5af5426e3ba2997c7d7ea235d3c1857986b721f5fa
company,1778059897,"Corteva, Inc. 2026 Q1 - Results - Earnings Call Presentation",140189517,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CTVA,SeekingAlpha,"2026-05-06. The following slide deck was published by Corteva, Inc.",https://finnhub.io/api/news?id=9033f7623de8473c7b6aa581b1feda6f08d12247421be6b7d78c1b6ea24d3988
company,1778058950,Corteva expects mid single-digit volume growth in crop protection segment for full year - conf call,140189278,,CTVA,Finnhub,Corteva expects mid single-digit volume growth in crop protection segment for full year - conf call...,https://finnhub.io/api/news?id=3b26f773582ed668403bb92cd7671c8a09009295202cef16155b336686858dbf
company,1778058684,"Corteva says crop prices higher year-on-year, margins still tight - conf call",140189221,,CTVA,Finnhub,"Corteva says crop prices higher year-on-year, margins still tight - conf call...",https://finnhub.io/api/news?id=0d0a71963bc50b12f803c2f5a9e939dfbe17d3ae076158a28dad95bd0d138004
