category,datetime,headline,id,image,related,source,summary,url
company,1780441480,Carvana Bears Are In Panic Mode Again: Used Car Prices Just Hit A 2-Year High,140509310,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318526228/image_1318526228.jpg?io=getty-c-w1536,CVNA,SeekingAlpha,Carvana (CVNA) gains as used-car prices stay strong; Manheim Index hits 2-year high and inventory stays tight. See here for more details.,https://finnhub.io/api/news?id=5bca4433885a5faea319cd3a56ebf6f9f86edd8adff9ab0d5986a85db4eb3090
company,1780427101,Uncover the latest developments among S&P500 stocks in today's session.,140503590,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CVNA,ChartMill,Curious about the top performers within the S&P500 index one hour before the close of the markets on Tuesday? Dive into the list of today's session's top gainers and losers for a comprehensive overview.,https://finnhub.io/api/news?id=16a9eee97aeb42c5148c3a7f2a2b2964d966c9e7f6c4244f3ad2762ea69a42a2
company,1780419900,Let's take a look at the S&P500 stocks that are experiencing unusual volume in today's session.,140501540,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,CVNA,ChartMill,Let's have a look at the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=f5b710b68ada1e7810f9d4b4bc704cbbae789c927cfa9c634786275f98286600
company,1780418100,Top S&P500 movers in Tuesday's session,140501252,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,CVNA,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Tuesday.,https://finnhub.io/api/news?id=957bd0c7422ec605a7c79bdbe2db072b9589e4da0ea2c05f63816c1c2570a6a6
company,1780410901,What's going on in today's session: S&P500 gap up and gap down stocks,140499827,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,CVNA,ChartMill,Seeking insights into today's market movers? Discover the S&P500 gap up and gap down stocks in today's session on Tuesday. Stay informed about the latest market trends.,https://finnhub.io/api/news?id=b89fb308be105c9a23d5fca0f80211d10f38173c4bb721f6c9df29054bf195e8
company,1780407349,10 Consumer Discretionary Stocks With Whale Alerts In Today's Session,140503411,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_2.jpg?width=2048&height=1536,CVNA,Benzinga, ,https://finnhub.io/api/news?id=2ffaaf269c258dfbdba704f2aa31dbcaedd12c3d3370e33efd9536f7434f2d60
company,1780404805,"AI-Chip Rally Powers S&P 500, Nasdaq 100, Dow To Fresh Records: Stock Market Today",140501500,https://cdn.benzinga.com/files/images/story/2026/06/02/Marvell---EK_2.jpeg?width=2048&height=1536,CVNA,Benzinga,"AI and semiconductor strength pushes U.S. stocks to fresh records Tuesday, led by Marvell and HPE.",https://finnhub.io/api/news?id=d77e388b3349c8cb305e1a33e621f6911ed834e93ed5d7eebcbc90a1cf43c804
company,1780403700,These S&P500 stocks are moving in today's pre-market session,140498735,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,CVNA,ChartMill,"The US market session of Tuesday has yet to be opened, let's have a look at the top S&P500 gainers and losers in the pre-market session today.",https://finnhub.io/api/news?id=f63e4f09c34bff442d883c8978f0d33d49fd950ecefedda16e11e22f81b6ff4f
company,1780399560,A 224-Year-Old Wall Street Stalwart Just Announced a Reverse Stock Split -- and It's Truly a Head-Scratcher,140498286,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVNA,Yahoo,This industrial titan doesn't fit the mold of a typical reverse stock split.,https://finnhub.io/api/news?id=b61f34b66ac0e03b1d5da0050aa0d259f49bc80265909b119d5118176ee95602
company,1780358400,Snowflake and Anthropic Accelerate Enterprise AI Adoption Driven by Rising Demand for Governed AI,140495642,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVNA,Yahoo,"SAN FRANCISCO, June 02, 2026--SNOWFLAKE SUMMIT 26--Snowflake (NYSE: SNOW), the AI Data Cloud company, and Anthropic, the AI safety and research company, today announced at Snowflake Summit 26 significant momentum in their strategic partnership. Enterprises are increasingly adopting Anthropic Claude in Snowflake Cortex AI, Snowflake’s suite of AI products, driven by growing demand for governed, production-ready AI. Together, Snowflake and Anthropic are helping enterprises move from AI experimenta",https://finnhub.io/api/news?id=52f8f7f3fb7e2632e05c13748f2332431bd98b0b690f44dcc6e3ee6370f1a344
