category,datetime,headline,id,image,related,source,summary,url
company,1778105556,Does Delta (DAL) Prioritize Control or Shareholder Voice as Premium Profits Rise and Dividends Hold?,140199446,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"In late April 2026, Delta Air Lines filed definitive proxy materials opposing shareholder proposals on cumulative voting and written consent, while its board affirmed a quarterly dividend of US$0.19 per share payable on June 4, 2026. At the same time, Delta reported record March-quarter revenue and a very large year-on-year increase in pre-tax income, highlighting how its premium-focused revenue mix and capacity discipline are helping it absorb higher fuel and labor costs. We’ll now explore...",https://finnhub.io/api/news?id=813b698a3b04a852b9b16e85f7ce287d180b1fdbb35259594d291fd347dd2c0e
company,1778082515,Who Really Killed Spirit Airlines: Is President Biden or Trump More Responsible?,140191691,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"The airline industry has always been brutally cyclical, but 2026 is exposing just how thin the margin for error really is. Oil prices have surged following President Trump’s military confrontation with Iran, consumers are pulling back on discretionary travel, and weaker carriers are discovering that low fares only work when costs stay under control. That ... Who Really Killed Spirit Airlines: Is President Biden or Trump More Responsible?",https://finnhub.io/api/news?id=e8ba5751e5d99c2ac998860b1e7435b085a362473353d7b86a8e35619ca22a8d
company,1778079913,Delta Air Lines : continues to power the world’s busiest airport—time and again,140194547,,DAL,Finnhub,Airports Delta continues to power the world's busiest airport-time and again Airports Council International World has once again named Delta's...,https://finnhub.io/api/news?id=601e32756e5f63b70ef001b1d28bec826495ba75d2acfbd33d3252aa563a81e4
company,1778079840,INSW to Report Q1 Earnings: What's in Store for the Stock?,140193798,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"International Seaways heads into Q1 earnings with soaring estimates and strong revenue growth, but rising costs and geopolitical risks cloud the outlook.",https://finnhub.io/api/news?id=dc86a9d6de32b6d95739d624c7a08eb469acac5831e02aa9c01449b52d375691
company,1778074543,10 Industrials Stocks With Whale Alerts In Today's Session,140194127,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_1.jpg?width=2048&height=1536,DAL,Benzinga, ,https://finnhub.io/api/news?id=a079d352b25414eb9fa8f9abf088d814cf514c743cfd1d1cd1494aced7797fb8
company,1778074083,Airline shares jump as optimism grows over possible U.S.-Iran agreement,140190043,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"Airline stocks moved sharply higher on Wednesday, with leading U. S.",https://finnhub.io/api/news?id=ddf770f5c71c3fe55b3c85b50c1980381be3be79df6097848f28d4a8f2703094
company,1778073470,Is It Too Late To Consider Delta Air Lines (DAL) After A 60% One Year Rally?,140190044,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"With Delta Air Lines trading at US$70.86, many investors are asking the same question: is the stock still offering value after a strong run, or has the easy upside already been priced in? Over the last week the stock returned 5.4%, with 6.1% over the past month, 2.6% year to date and 60.1% over the past year, alongside 113.6% over three years and 64.0% over five years. This naturally shifts how the market thinks about both its potential and its risks. Recent headlines around Delta Air Lines...",https://finnhub.io/api/news?id=0029a45373f8c1b5f352153440d6f087901a1825ccd29c7ea226816e5c9d565b
company,1778066400,Delta is killing food and beverage service on hundreds of daily flights — unless you splurge for first-class seats,140188283,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,No coffee. No soda. No water. And no Biscoff cookies.,https://finnhub.io/api/news?id=8e500d29b0f69514a4046959728c94410256197bf6762599ab6428c68e0a2b81
company,1778061600,"Airlines Deliver Strong Passenger Experience, Despite Industry Challenges, JD Power Finds",140186944,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"TROY, Mich., May 06, 2026--JD Power: Airlines Deliver Strong Passenger Experience, Despite Industry Challenges",https://finnhub.io/api/news?id=5ed5094ed489c7ca06baabed0defa3482a6223c541875d0dc828a411835a7d51
company,1778057744,Jim Cramer's top 10 things to watch in the stock market Wednesday,140192629,https://image.cnbcfm.com/api/v1/image/108248910-1767724217022-gettyimages-2254260723-CES_2026.jpeg?v=1776434430&w=1920&h=1080,DAL,CNBC,Stocks are set for another big day on reports about a potential Iran war agreement and more big AI news. ,https://finnhub.io/api/news?id=7f8f32d0f302ae7dd86e5fdf6c1d2f1f93c595dc496e592a836e7330a42baf45
company,1778041149,From where you go to what you do: More ways to earn miles with Airbnb,140186202,,DAL,Finnhub,"* SkyMiles Members can now connect their SkyMiles and Airbnb accounts on deltaairbnb.com and earn miles on qualifying Airbnb Homes, Experiences and Services - expanding earning opportunities across...",https://finnhub.io/api/news?id=ba0d456e8377b29a69f18df6554499578b0319bed01a3376339c9c257c3271b5
