category,datetime,headline,id,image,related,source,summary,url
company,1778094304,Wednesday's session: top gainers and losers in the S&P500 index,140198713,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,DOC,ChartMill,"Let's delve into the developments on the US markets one hour before the close of the markets on Wednesday. Below, you'll find the top gainers and losers within the S&P500 index during today's session.",https://finnhub.io/api/news?id=2f3ba7ac4b93a09eb4ebdf551ee3e78e54dbb14ecca215aa142fee88c7bc331e
company,1778085304,Exploring the top movers within the S&P500 index during today's session.,140198707,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,DOC,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=ca0e74cb90ac62b9609f505eb1c920732e31ad909d462c61880409e730ba6bd7
company,1778079681,"Healthpeak Properties, Inc. (DOC) Q1 2026 Earnings Call Transcript",140194558,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,DOC,SeekingAlpha,"Healthpeak Properties, Inc. (DOC) Q1 2026 Earnings Call May 6, 2026 10:00 AM EDTCompany ParticipantsAndrew Johns - Senior Vice President of Investor...",https://finnhub.io/api/news?id=647417d9b744b463320625ec61851ce7680672edb01014fb1d64156c2c103ed5
company,1778079180,Healthpeak Properties Q1 FFOA Tops Estimates on Steady Leasing Momentum,140191802,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOC,Yahoo,"DOC beats Q1 FFOA estimates as leasing stays strong and Janus Living IPO boosts growth, prompting a higher 2026 outlook.",https://finnhub.io/api/news?id=76738bc5a35d62623cf669dd25761a3890a7cbd9194aad20e6bc3acafc26ba50
company,1778074536,"Stocks making the biggest moves midday: AMD, Corning, Arm Holdings, Cencora, Uber & more",140193204,https://image.cnbcfm.com/api/v1/image/108281726-1774286929697-045_2649mxf01_40_15_09still001.jpg?v=1774287066&w=1920&h=1080,DOC,CNBC,Here are the stocks making headlines in midday trading.,https://finnhub.io/api/news?id=0fd2c75ad3fed8d7de8625d85846423a35fca5017bf251dc9f43d8850a1395e4
company,1778070600,"Healthpeak Properties, Inc. Q1 2026 Earnings Call Summary",140204977,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DOC,Yahoo,"Moby summary of Healthpeak Properties, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=0b56ecc94ffc38c1f882b27e1e21747593fb2f275344390b077559d40af9ae82
company,1778068219,"Transcript : Healthpeak Properties, Inc., Q1 2026 Earnings Call, May 06, 2026",140191295,,DOC,Finnhub,"Presentation Operator MessageOperator Good morning, and welcome to the Healthpeak Properties, Inc. First Quarter 2026 Conference Call. [Operator Instructions] Please note, this event is being...",https://finnhub.io/api/news?id=9c10970c63b520e917d2f9b9551307371c3d40678cbbc849186f986eff92198c
company,1778063947,"Davita, Bloomin' Brands, Compass And Other Big Stocks Moving Higher On Wednesday",140190794,https://cdn.benzinga.com/files/images/story/2026/05/06/Milan--Italy---August-10--2017-Davita-Lo.jpeg?width=2048&height=1536,DOC,Benzinga,"Dow Jones up 500 points, DaVita Inc (DVA) shares rise after better-than-expected earnings and raised guidance. Other gaining stocks include EVC, BLMN, MNKD, FLEX, HUT, AVTX, COMP, VCYT, and SSRM.",https://finnhub.io/api/news?id=a9c0fa15b8491817febcdab2dad06647a52fb674ab90c6a495a055eec846297f
company,1778060816,Buy 5 S&P500 May Top Dividend Dogs,140189625,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1252670521/image_1252670521.jpg?io=getty-c-w1536,DOC,SeekingAlpha,"Five 'safer' S&P 500 dividend dogsâVICI, VZ, F, BEN, Tâoffer free cash flow coverage and attractive yields, meeting the dogcatcher ideal.",https://finnhub.io/api/news?id=ca2cd39b5405f799804630377012aaf40dbc7c745445dfbf8d80ed12bfd86529
company,1778052668,Wall Street's Most Accurate Analysts Spotlight On 3 Real Estate Stocks With Over 7% Dividend Yields,140190330,https://cdn.benzinga.com/files/images/story/2026/05/06/Reit--Real-Estate-Investment-Trust-Conce.jpeg?width=2048&height=1536,DOC,Benzinga,"High-dividend stocks are popular in uncertain markets. Benzinga has analyst ratings for many stocks, including accurate ones for high-yield real estate stocks.",https://finnhub.io/api/news?id=5b978f87209807ace9c150f6e887e4b7a0fd21b9de5da33a15a1f40ffc20f0a2
