category,datetime,headline,id,image,related,source,summary,url
company,1778104860,DaVita Inc. to Participate in the BofA Securities 2026 Health Care Conference,140197669,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,"DaVita Inc. (NYSE: DVA) today announced that its chief financial officer, Joel Ackerman, and its group vice president of investor relations, Nic Eliason, will participate in a fireside chat with investors at the BofA Securities 2026 Health Care Conference on Tuesday, May 12th, 2026 at 5:20 pm Eastern Daylight Time.",https://finnhub.io/api/news?id=1c51e03bbe1f13fa664a0c69c6464d11df859a3c0f2a5b13e1ebc6d1fd452d3e
company,1778097150,Sector Update: Health Care Stocks Advance Late Afternoon,140195342,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,"Health care stocks were higher late Wednesday afternoon, with the NYSE Health Care Index increasing",https://finnhub.io/api/news?id=f23dc8b0690de09c494ebc17039208f893f131ddaa55d7b2aad4331679587267
company,1778068781,"Stock Market Today: Dow Jumps, Oil Prices Plunge On U.S.-Iran Deal Hopes; AMD Surges On Earnings (Live Coverage)",140188584,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,Stock Market Today: The Dow Jones index jumped Wednesday on hopes of a U.S.-Iran deal. AMD stock soared on earnings.,https://finnhub.io/api/news?id=01c81db05b39d48b3f90236b284632c692afecd0c9c5686dcacad2cfc8ac14d0
company,1778094304,Wednesday's session: top gainers and losers in the S&P500 index,140198713,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,DVA,ChartMill,"Let's delve into the developments on the US markets one hour before the close of the markets on Wednesday. Below, you'll find the top gainers and losers within the S&P500 index during today's session.",https://finnhub.io/api/news?id=2f3ba7ac4b93a09eb4ebdf551ee3e78e54dbb14ecca215aa142fee88c7bc331e
company,1778088815,Stock Market Today: Dow Up 1% On U.S.-Iran Deal Hopes; Berkshire Hathaway Holding Soars (Live Coverage),140193384,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,Stock Market Today: The Dow Jones index jumped Wednesday on hopes of a U.S.-Iran deal. AMD stock soared on earnings.,https://finnhub.io/api/news?id=7b51b6ba4944a60eabd282bfcf6e5bbe09819ea2965d4aed358ee9931339ae14
company,1778088230,DaVita raises annual guidance on robust dialysis demand,140196868,,DVA,Finnhub,"DaVita has lifted its full-year profit forecast after posting quarterly results that beat expectations, bolstered by strong demand for its dialysis services. Shares in the group, which specializes in...",https://finnhub.io/api/news?id=0b0e1ce555c2889161a214a845f89c5188a13fe892dc4dfa16fee3c32f2d5f2b
company,1778087139,Warren Buffett Stock DaVita Pumps Out A Powerful Earnings Breakout,140193903,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,"DaVita earnings jumped on rebounding dialysis treatment volumes. Here is what gives the firm a ""Buffett-style"" quality.",https://finnhub.io/api/news?id=f6ea0827bd73039f600199174c768655777b1c0ed0e0dc3f814d26be0a88abc1
company,1778087102,Which S&P500 stocks have an unusual volume on Wednesday?,140198709,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,DVA,ChartMill,Discover the S&P500 stocks that are experiencing unusual trading volume in today's session. Find out more about these stocks below.,https://finnhub.io/api/news?id=7d6218c27f1d8cac9099abff53d13a798642a2f4cae91b297d81db188da60192
company,1778085304,Exploring the top movers within the S&P500 index during today's session.,140198707,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,DVA,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=ca0e74cb90ac62b9609f505eb1c920732e31ad909d462c61880409e730ba6bd7
company,1778084760,"DaVita Stock Up Following Q1 Earnings & Revenue Beat, Margins Expand",140195458,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,DVA's first-quarter 2026 results benefit from expanding margins and steady dialysis demand across its broad clinic network.,https://finnhub.io/api/news?id=a92c3ed408ebe001dd3611951329f342672396d7cfa743739ec04babdf70e700
