category,datetime,headline,id,image,related,source,summary,url
company,1778094304,Wednesday's session: top gainers and losers in the S&P500 index,140198713,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,DVN,ChartMill,"Let's delve into the developments on the US markets one hour before the close of the markets on Wednesday. Below, you'll find the top gainers and losers within the S&P500 index during today's session.",https://finnhub.io/api/news?id=2f3ba7ac4b93a09eb4ebdf551ee3e78e54dbb14ecca215aa142fee88c7bc331e
company,1778094077,Devon Energy Corporation (DVN) Q1 2026 Earnings Call Transcript,140198810,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,DVN,SeekingAlpha,"Devon Energy Corporation (DVN) Q1 2026 Earnings Call May 6, 2026 11:00 AM EDTCompany ParticipantsChristopher Carr - Director of Investor RelationsClay...",https://finnhub.io/api/news?id=099d88bce63f8d8b63754edc5bfa6dbd74c620c5cb6aacd0e5aa7c52a3646c0d
company,1778086292,Devon Energy (DVN) Q1 2026 Earnings Transcript,140193823,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVN,Yahoo,"Clay Gaspar: Today, we will focus on Devon Energy Corporation's strong first quarter 2026 results, which once again demonstrate the operational excellence and financial discipline that define this organization.  After walking through our Q1 results, I will turn to a quick update on our transformative merger with Cotera Energy.  As you can see on the slide, beating on production and capital once again resulted in impressive free cash flow for the quarter.",https://finnhub.io/api/news?id=49d7699dceb3dc90626e0a9e599341ae75e36c19083f36e28eaa3cd055942f55
company,1778085304,Exploring the top movers within the S&P500 index during today's session.,140198707,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,DVN,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=ca0e74cb90ac62b9609f505eb1c920732e31ad909d462c61880409e730ba6bd7
company,1778078104,Which S&P500 stocks are gapping on Wednesday?,140198705,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,DVN,ChartMill,Wondering which stocks are making significant price gaps? Explore the S&P500 index on Wednesday to find the gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=4a8c9979e2ad280a3cdedd6b5ccd7ac90d56507ba3b3ead0ea8acba3d9b73ee9
company,1778077020,"Devon Energy's Q1 Earnings Beat Estimates, Coterra Merger on Course",140191696,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVN,Yahoo,"DVN tops Q1 EPS estimates despite a revenue miss, as production rises and the Coterra merger nears a close.",https://finnhub.io/api/news?id=b93f16a30e3ea27c1467819a0f1d8e69cbb81619b3689bb316c307f5d6480980
company,1778074536,"Stocks making the biggest moves midday: AMD, Corning, Arm Holdings, Cencora, Uber & more",140193204,https://image.cnbcfm.com/api/v1/image/108281726-1774286929697-045_2649mxf01_40_15_09still001.jpg?v=1774287066&w=1920&h=1080,DVN,CNBC,Here are the stocks making headlines in midday trading.,https://finnhub.io/api/news?id=0fd2c75ad3fed8d7de8625d85846423a35fca5017bf251dc9f43d8850a1395e4
company,1778072718,"Transcript : Devon Energy Corporation, Q1 2026 Earnings Call, May 06, 2026",140192507,,DVN,Finnhub,"Presentation Operator MessageOperator Welcome to Devon Energy's First Quarter 2026 Conference Call. [Operator Instructions] This call is being recorded. [Operator Instructions]I'd now like to turn...",https://finnhub.io/api/news?id=228050b9ba65dbe3f4f2dcdbd0ed8b0d32ad2d2acfbf16a6d76c9ba0656b99cc
company,1778070904,These S&P500 stocks that are showing activity before the opening bell on Wednesday.,140198691,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,DVN,ChartMill,Stay updated with the S&P500 stocks that are on the move in today's pre-market session.,https://finnhub.io/api/news?id=ffd59d9916c79f919e51bc1d28eab653cbb25ef28f7a9f14601add20aa241e8e
company,1778070600,Devon Energy Corporation Q1 2026 Earnings Call Summary,140197508,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVN,Yahoo,Moby summary of Devon Energy Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=fc1eaa7d3fd33ca6c2af416f7b1d8b90de93e8b73183650d711d0e4b832af6ab
