category,datetime,headline,id,image,related,source,summary,url
company,1778093196,"Which Oil and Gas Stock Has Dominated in 2026: Occidental Petroleum, ConocoPhillips, or EOG Resources?",140194977,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EOG,Yahoo,"The 2026 leaderboard among U.S. exploration and production heavyweights has a twist. Occidental Petroleum (NYSE:OXY), ConocoPhillips (NYSE:COP), and EOG Resources (NYSE:EOG) have each delivered hefty year-to-date share-price gains. The surprise is that the smallest of the trio is running out front. As of May 6, OXY stock is up 35% year to date (YTD), EOG ... Which Oil and Gas Stock Has Dominated in 2026: Occidental Petroleum, ConocoPhillips, or EOG Resources?",https://finnhub.io/api/news?id=a832cc9eb354862abf9c90bd5dd66d8baaf2f99c7aed40fc11e2ea7f6581ba6d
company,1778083508,EOG (EOG) Q1 2026 Earnings Call Transcript,140193746,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EOG,Yahoo,"Ezra Y. Yacob: Good morning, and thank you for joining us.  EOG Resources, Inc. is off to an exceptional start in 2026.  Consistent with our commitment to disciplined capital allocation and enhancing shareholder value, we returned nearly $950 million during the quarter through our regular dividend and opportunistic share repurchases.",https://finnhub.io/api/news?id=a38a874ab8110c1bdfc721f268d89b5b9f8ad7d199c53aaf73d5b036d940fa2c
company,1778077043,Is It Too Late To Consider EOG Resources (EOG) After Strong Multi Year Share Gains?,140191640,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EOG,Yahoo,"If you are wondering whether EOG Resources at around US$140 per share still offers value, the starting point is understanding what the current price actually reflects. The stock has returned 3.7% over the last week, 31.3% year to date and 34.1% over the past year, with a 1.3% decline over the last 30 days reminding you that short term swings can quickly change how the risk and reward trade off feels. Recent headlines around EOG Resources have focused on its positioning within the broader US...",https://finnhub.io/api/news?id=c0bad03fbe34ec0c7a587154bb06123575a653378c02e925122c3fdae374f5dc
company,1778076076,"EOG Resources, Inc. (EOG) Q1 2026 Earnings Call Transcript",140193930,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,EOG,SeekingAlpha,"EOG Resources, Inc. (EOG) Q1 2026 Earnings Call May 6, 2026 10:00 AM EDTCompany ParticipantsPearce Hammond - Vice President of Investor RelationsEzra Yacob...",https://finnhub.io/api/news?id=a6ab719f37e9d3ae93a529ba4f91d3c39e8f93b7b8295a962482668870e2ca0c
company,1778073360,Best Income Stocks to Buy for May 6th,140191641,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EOG,Yahoo,"EOG and UVE made it to the Zacks Rank #1 (Strong Buy) income stocks list on May 6, 2026.",https://finnhub.io/api/news?id=2ce590ab2abc8476a63da57831b12f2876161776c1e06d75be98488d04b2c6db
company,1778070600,"EOG Resources, Inc. Q1 2026 Earnings Call Summary",140204764,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EOG,Yahoo,"Moby summary of EOG Resources, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=b65a452932358e45ea6c9763fb8320def2618e237dfe4d5ae89d55127f233078
company,1778068694,Occidental Petroleum: Time To Take Profits At Fair Value (Rating Downgrade),140191525,,EOG,SeekingAlpha,,https://finnhub.io/api/news?id=978ffcb0a10f44cd8a8f8a520ab5844540a3037417231b6f624588467f66498c
company,1778067317,"Transcript : EOG Resources, Inc., Q1 2026 Earnings Call, May 06, 2026",140191218,,EOG,Finnhub,"Presentation Operator MessageOperator Good day, everyone and welcome to EOG Resources First Quarter 2026 Earnings Results Conference Call. As a reminder, this call is being recorded. For opening...",https://finnhub.io/api/news?id=d31b2aa71d1683ed35f18b32e96d536e3023dcd4ad2707de44a3046e83ea3b5a
company,1778065796,EOG Resources Q1 2026 Earnings Call: Complete Transcript,140193604,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_4.jpg?width=2048&height=1536,EOG,Benzinga, ,https://finnhub.io/api/news?id=c940d84ddd2dff9921f030b785aa4b733b2269ef44dedb438bd920fc5f1e7d69
company,1778065581,EOG Resources expects U.S. natural gas demand to grow at a 3% - 5% compound annual growth rate - conf call,140190878,,EOG,Finnhub,EOG Resources Inc: EOG Resources says supply and flows through the Strait of Hormuz are estimated to remove nearly 900 million barrels from global markets through June - conf call EOG Resources...,https://finnhub.io/api/news?id=6b3cfb804573bac396884c3c3dac7a6126480729dd3dd65f1ad227e0b43a9a74
