category,datetime,headline,id,image,related,source,summary,url
company,1778087275,"Eaton Datacenter Orders Surge, Growth Outlook Strengthens Into H2, RBC Says",140193671,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,"Eaton (ETN) is executing well across datacenters, utility and electrification, with strong order mom",https://finnhub.io/api/news?id=5b0d8af3ba308601fc23ff9a94fd8bdb9e04a43fefdc2b15af93cb67ad6d6ca6
company,1778085240,"Eaton: The Report Is Bullish, The Market Is Right",140196106,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2254890728/image_2254890728.jpg?io=getty-c-w1536,ETN,SeekingAlpha,"Eaton Corporation reported strong Q1 2026 results, with revenue and EPS beats driven by robust demand and record backlogs. Read more on ETN stock here.",https://finnhub.io/api/news?id=9771cebad0b1ea9170087d10fe522ef5e4e42bd44b52c4acbd72b37d4d8aff22
company,1778084805,"JP Morgan Maintains Overweight on Eaton Corp, Raises Price Target to $445",140206977,,ETN,Benzinga,JP Morgan  analyst Stephen Tusa   maintains Eaton Corp (NYSE:ETN) with a Overweight and raises the price target from $406 to $445.,https://finnhub.io/api/news?id=8acb4615ce171f725a585d2c88143467eb0b427fe2fa4e5f029d0bd8948aa9f6
company,1778080260,AI Data Centers Need to Stay Cool. These Stocks Could Benefit.,140191531,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,"Carrier, Trane, Vertiv, Eaton, and other companies are seeing a surge in demand as AI data centers require more advanced cooling technology.",https://finnhub.io/api/news?id=f0d293f900c780b3c951ceaf844d7ce64dad9da41dca38b5f0b7a1764f7755a4
company,1778079118,"Citigroup Maintains Buy on Eaton Corp, Raises Price Target to $471",140206978,,ETN,Benzinga,Citigroup  analyst Andrew Kaplowitz   maintains Eaton Corp (NYSE:ETN) with a Buy and raises the price target from $464 to $471.,https://finnhub.io/api/news?id=a583f5d5d533e46d249b89c111f4675224c03af76bcff477913f4571303279ce
company,1778066940,"Data Center UPS Market Research and Global Forecast Report 2026-2036: 5G Edge Infrastructure, Hyperscale Facility Growth and Advanced Grid Monitoring Technologies Unlock New Opportunities",140188136,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,"The 'Data Center UPS Market by Topology,' report forecasts significant growth, reaching USD 11.86 billion by 2036, at a CAGR of 6.8% from 2026. Key growth drivers include the surge in AI, cloud computing, and 5G infrastructure. The study dissects market trends, segmenting by topology (online double conversion, line-interactive), modularity (modular, monoblock), battery type (VRLA, lithium-ion), and application (hyperscale, colocation). North America leads the market, with Asia-Pacific set for ra",https://finnhub.io/api/news?id=2788a5ddcb8def54ab4a320679ba681af5927376ffb98c556e32c6eb77624e29
company,1778066558,"RBC Capital Maintains Outperform on Eaton Corp, Raises Price Target to $484",140206979,,ETN,Benzinga,RBC Capital  analyst Deane Dray   maintains Eaton Corp (NYSE:ETN) with a Outperform and raises the price target from $457 to $484.,https://finnhub.io/api/news?id=0fb5a1730d9286c504c507ddf2434385d15a09eebdaefd559bef3239701dc6f3
company,1778065764,Eaton Q1 Earnings Call Highlights,140188137,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,"Eaton (NYSE:ETN) reported first-quarter 2026 results that management described as a solid start to the year, pointing to accelerating demand, record backlog levels, and raised full-year organic growth and earnings guidance. Chief Executive Officer Paulo Ruiz said rolling 12-month orders increased ac",https://finnhub.io/api/news?id=d1c255608427614c159de6d8b7a074fb802da3a40b17ba623ac563fa85946a61
company,1778064605,"Barclays Maintains Equal-Weight on Eaton Corp, Raises Price Target to $392",140190962,,ETN,Benzinga,Barclays  analyst Julian Mitchell   maintains Eaton Corp (NYSE:ETN) with a Equal-Weight and raises the price target from $340 to $392.,https://finnhub.io/api/news?id=1cab91029a6380c2fe8f8ba035f556060819044baac54abdb4e8d21be7521aaa
company,1778063498,You Just Missed The SanDisk And Micron Memory Trade: These 10 Stocks Could Ride The Next AI Wave,140190963,https://cdn.benzinga.com/files/images/story/2026/05/06/Ai-Stock-Market-Graph-Trading-Analysis-I.jpeg?width=2048&height=1536,ETN,Benzinga,"Memory is yesterday&#39;s trade. Liquid cooling is the next AI backlog story — Carrier orders up 500%, Trane lead times doubled. Here are 10 stocks.",https://finnhub.io/api/news?id=324e770f112f0e160ef4dac33732b0864926ecbe8f24423ef4dab5e8cf9f1da4
