category,datetime,headline,id,image,related,source,summary,url
company,1778089412,Utilities Down After Exelon Earnings - Utilities Roundup,140197093,,EXC,Finnhub,Shares of power producers fell as traders looked beyond earnings from one major power producer. Exelon shares fell even after the Chicago utility logged better-than-anticipated adjusted earnings...,https://finnhub.io/api/news?id=afd27c7458e1fbea5246aa5b0d235c9f617142c5cff8478d8f61ab7637cb489a
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,EXC,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778082855,Exelon Q1 Earnings Call Highlights,140191680,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EXC,Yahoo,"Exelon (NASDAQ:EXC) reported first-quarter 2026 adjusted operating earnings of $0.91 per share, with management saying results exceeded expectations due primarily to “net favorable weather and timing-related items,” while reaffirming full-year guidance of $2.81 to $2.91 per share. On the company’s",https://finnhub.io/api/news?id=ad6d67924fbeb79284dbd64f16da946a55934f828d642208ffd278b22947eabb
company,1778081640,Exelon (EXC) Q1 2026 Earnings Transcript,140191681,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EXC,Yahoo,"Leading the call today are Calvin G. Butler, Exelon Corporation's President and Chief Executive Officer, and Jeanne M. Jones, Exelon Corporation's Chief Financial Officer.  Other members of Exelon Corporation's senior management team are also with us today and will be available to answer your questions following our prepared remarks.",https://finnhub.io/api/news?id=b98b790f2cfbb6ed1145aadc53b367271f3183071696614e00f1f3367420404f
company,1778076087,Exelon Corporation 2026 Q1 - Results - Earnings Call Presentation,140193920,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,EXC,SeekingAlpha,2026-05-06. The following slide deck was published by Exelon Corporation in conjunction with their 2026 Q1 earnings call.,https://finnhub.io/api/news?id=ff4400fb6ca0cf2a09d80f8ed5defd21386b044a8112a23ccefe98b7a9ea2db9
company,1778076081,Exelon Corporation (EXC) Q1 2026 Earnings Call Transcript,140193921,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,EXC,SeekingAlpha,"Exelon Corporation (EXC) Q1 2026 Earnings Call May 6, 2026 10:00 AM EDTCompany ParticipantsRyan Brown - Vice President of Investor RelationsCalvin Butler -...",https://finnhub.io/api/news?id=79e8a9f63eb6f8ae9f6ec7036ff8044c0db1400e08d9b27919e60ce57a81c87a
company,1778072400,"Exelon raises capex plan on data center demand, tops quarterly estimates",140192490,,EXC,Finnhub,"U.S. utility Exelon raised itscapital expenditure plan and beat Wall Street estimates forfirst-quarter adjusted profit on Wednesday, driven by higherelectricity prices, strong demand and favorable...",https://finnhub.io/api/news?id=d3ec634c007554829693956014b44c6da7b751188b411426836eeff6c3b8e711
company,1778069105,Exelon (EXC) Surpasses Q1 Earnings and Revenue Estimates,140190038,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EXC,Yahoo,"Exelon (EXC) delivered earnings and revenue surprises of +2.63% and +4.75%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=7affeadc8b8945e262d06f9ea31f3825ea73d408cba01507d1100b9419195ab5
company,1778067317,"Transcript : Exelon Corporation, Q1 2026 Earnings Call, May 06, 2026",140191219,,EXC,Finnhub,"Presentation Operator MessageOperator Hello, and welcome to Exelon's First Quarter Earnings Call. My name is Michelle, and I'll be your event specialist today. [Operator Instructions] Please note",https://finnhub.io/api/news?id=cbf9db918b277d0869289978c6add3f3c78fbc7631a29fe605946b150a99d0e8
company,1778067101,EXLON (NASDAQ:EXC) Q1 Earnings Beat Fails to Spark Rally as Shares Dip,140198639,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_17_c249efcc18.webp,EXC,ChartMill,"Exelon Q1 earnings beat estimates with $0.91 EPS and strong revenue of $7.24B, but shares slipped 1.1% pre-market amid mixed segment results.",https://finnhub.io/api/news?id=6c0145a01214c9a93dda0475c20f9c3b718e0c5070727cbb5250517858189c75
