category,datetime,headline,id,image,related,source,summary,url
company,1778106000,McDonald’s Leaned on Value Meals. Earnings Will Show Whether It Worked.,140199322,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"For the three months ended in March, analysts polled by FactSet expect the company to report net revenue of $6.47 billion, up 8.4% from the year-ago quarter.",https://finnhub.io/api/news?id=55b666508c7c4919cc6a84ba6dd5da946c1102e18500831da78e0695a872704e
company,1778103258,"Tourmaline Oil Reports Higher Profit, Lower Revenue for First Quarter; June Dividend Anticipated",140197664,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,Tourmaline Oil (TOU.TO) after trade Wednesday said its first-quarter profit rose while revenue from,https://finnhub.io/api/news?id=6f7688956ee12b7d21fc2f9254b2a64c1d7ba520a8803ed17f23227e1da9d42b
company,1778102738,"WSP Global Q1 Earnings Rise 30%, Revenue Tops Estimates; Backlog Hits Record Level",140197665,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,WSP Global (WSP.TO) after trade on Wednesday said its first-quarter revenue and profit rose year-ove,https://finnhub.io/api/news?id=a7a45d4a0091416ef6238c28c9125d6aa0e87f0a11a8e73f2248d5f637d9781a
company,1778101195,"5N Plus Posts Higher Profit, Revenue for First Quarter; Adjusted EBITDA Guidance Maintained",140197666,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,5N Plus (VNP.TO) after trade Wednesday said its first-quarter profit and revenue rose year-over year,https://finnhub.io/api/news?id=a9cb3c6c9e7b600f1a6a809b4839e7eab1d2558e04583c2ab3d6d87f59dc4989
company,1778100900,DoorDash Stock Jumps on Strong Earnings Report,140197459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"Shares of delivery service  DoorDash  popped 13% in after-hours trading Wednesday after it beat analysts expectations for its first-quarter earnings, even though it missed on revenue.  It reported earnings of 42 cents a share, handily beating expectations for 36 cents a share.  The company credited “continued product improvements and healthy consumer demand trends” for its solid results which come as consumers continue to face higher costs.",https://finnhub.io/api/news?id=74c1c3799c2d08be2f5b61ec809e6a01d2c85ebd6f8dee1695c07c19e2871dc5
company,1778099280,Zillow Stock Slides After Earnings Beat. The Focus Is on the Outlook.,140197668,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"The quarterly results come as Zillow integrates its varied businesses including rentals, search, and mortgages.",https://finnhub.io/api/news?id=ee3af2e2c7920c9fc2e1bd60ec537b8c0a18be0c65319304a4a5f4682e991f51
company,1778082302,FactSet Research (FDS) Could Be a Great Choice,140193897,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does FactSet (FDS) have what it takes? Let's find out.",https://finnhub.io/api/news?id=8b7ce451d42e26695f9be9b953feaf7a0c071cff7c5158106f6da8c6f87343b8
company,1778078913,CVS Health Raises 2026 Outlook After First-Quarter Beat,140191605,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,CVS Health (CVS) raised its full-year earnings outlook after reporting better-than-expected first-qu,https://finnhub.io/api/news?id=b7a843ce0893503271fade153cfee26a483faa0120c2cd7bae8421fde976e312
company,1778078238,Uber Issues Upbeat Bookings Outlook as First-Quarter Earnings Rise,140191555,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,Uber Technologies (UBER) on Wednesday issued a bookings growth outlook that surpassed Wall Street's,https://finnhub.io/api/news?id=18ba007c0f2fda998773a5d3e9df3929f70710ab9b4f207cf5918fcc41c4f9e7
company,1778074518,"Canfor Reports Wider Q1 Net loss On Lower, But Better Than Expected, Sales; Flags Improvement, Though Demand Still An Issue",140190162,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,Forest products company Canfor (CFP.TO) reported wider net loss and lower sales in the first quarter,https://finnhub.io/api/news?id=18c3905ffe92d86cbb2af5a430b4d2fd6457743175d50e95ce039809e4f8d3a5
