category,datetime,headline,id,image,related,source,summary,url
company,1780439467,Highly Quant Rated Dividend Growth Stocks - Industrial Sector,140509070,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2210232423/image_2210232423.jpg?io=getty-c-w1536,FDX,SeekingAlpha,"Discover 5 top-rated industrial stocks (Buy/Strong Buy) from Seeking Alpha Quant ratings, with yields near 1.2% and one up ~90% YTDâread now.",https://finnhub.io/api/news?id=ac4b2cce6b839cd9cdecbdd96d826c36a30d807cd0e22981f6e607ee44715ad3
company,1780437269,CNBC Daily Open: Nvidia stars at Computex as markets hit records,140514043,https://image.cnbcfm.com/api/v1/image/108315152-1780405409943-gettyimages-2279396667-042a7029_nhdiseyi.jpeg?v=1780405436&w=1920&h=1080,FDX,CNBC,"AI momentum drove Wall Street to fresh records, even as conflicting U.S.-Iran signals and new tariff threats on Brazil kept geopolitical tensions in focus.",https://finnhub.io/api/news?id=e3d84bd6c7f51c3ec8222a0a533691f1886068bc0b43ca188e7dfdfe5460893a
company,1780426560,FedEx Freight initiated at ‘Buy’ by Bank of America on margin expansion potential,140504279,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,FedEx Freight (NYSE:FDXF) shares traded around $152 on Tuesday afternoon after Bank of America initiated coverage of the newly independent less-than-truckload (LTL) carrier with a ‘Buy’ rating and a $185 price target. The initiation comes one day after FedEx Freight was spun off from FedEx...,https://finnhub.io/api/news?id=f697f0a66eeb497464dcd9fd217ddebcc87a4dc58fb2fbf1f2205706ef1f8681
company,1780423593,"FedEx Freight Starts Trading Independently. FDXF Stock Is Poised to Win, But It Faces a Key Amazon Threat.",140508713,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,FedEx Freight was spun off from FedEx to operate independently.,https://finnhub.io/api/news?id=f743ad60dbeee2f8fbbc381329fb3d80609bd5cf002e8747d4575af2185ecc98
company,1780418048,"Truist starts FedEx Freight at Hold, Investor Day reinforces measured approach",140502577,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,Investing.com -- Truist Securities initiated coverage of FedEx Freight Holding Company (FDXF) with a Hold rating and a $155 price target in a note on Tuesday following the company's completed spin-off from FedEx Corporation (FDX).,https://finnhub.io/api/news?id=673f690e89fb524a2041e089dcca6db0adeaba3523ade753fd109f7fc488be29
company,1780417200,Should You Buy FedEx Stock Before June 23?,140502578,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,The logistics company reports earnings in a few weeks.,https://finnhub.io/api/news?id=b240da45c81548122b3b15e5dcb03efc3aafc2a8dd292ff26f4b043ee51f75ed
company,1780411020,Wall Street Weighs In on FedEx Freight Stock. It’s a Show-Me Story.,140500627,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"FedEx Freight began trading as an independent company this week, but analysts say stronger margins and operating performance are needed before they become more bullish on the stock.",https://finnhub.io/api/news?id=73b5739902a38e03c0b27d10d80c15a36a2042bb8068d4868873995a8bd04074
company,1780408962,"B of A Securities Maintains Buy on FedEx, Lowers Price Target to $376",140513682,,FDX,Benzinga,B of A Securities  analyst Ken Hoexter   maintains FedEx (NYSE:FDX) with a Buy and lowers the price target from $440 to $376.,https://finnhub.io/api/news?id=1946a86235d508ab9517e7046d70da7192680ea119d68b90b19ca034cbcb8d5d
company,1780404650,"FedEx Freight Spin-Off Unlocks Cost Savings, Buyback Potential At FedEx",140513683,https://cdn.benzinga.com/files/images/story/2026/06/02/Fedex.jpeg?width=2048&height=1536,FDX,Benzinga,"BofA Securities maintains Buy rating on FedEx, cuts price target. Begins coverage of FedEx Freight citing huge potential for growth.",https://finnhub.io/api/news?id=1fcec6c3ae70ae3a125df198294555a6850a016d162d68abe7625de8783c18a5
company,1780404360,Do Options Traders Know Something About FedEx Stock We Don't?,140499342,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,Investors need to pay close attention to FDX stock based on the movements in the options market lately.,https://finnhub.io/api/news?id=46b1900f6b6208cef91f126ada0618a51671290c28990205b11e7b90233abab2
company,1780401720,SiftedAI turns parcel cost monitoring from reactive to automatic,140499343,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"SiftedAI, the leading logistics intelligence platform trusted by thousands of businesses, today announced the availability of Actions & Alerts within SiftedAI Copilot, an agentic AI platform for parcel shipping management that runs analyses, pulls the data it needs, and surfaces what requires attention without waiting to be asked. The new capability automates recurring shipping analysis and sends proactive notifications when costs shift, giving logistics teams a clear view of what's changing bef",https://finnhub.io/api/news?id=d83495b44ccd3fadea6f9f159586513c28d4b289d9ba064623488c9c550ba9d2
company,1780390296,"BMO Capital Maintains Market Perform on FedEx, Lowers Price Target to $340",140499984,,FDX,Benzinga,BMO Capital  analyst Fadi Chamoun   maintains FedEx (NYSE:FDX) with a Market Perform and lowers the price target from $410 to $340.,https://finnhub.io/api/news?id=e316600a3707e23a7410ef917edee906ef58046f285bc75bb776813fa3f522fa
company,1780389658,"FedEx Freight: Spinoff Makes Sense, But I Need More Numbers",140498740,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2156287067/image_2156287067.jpg?io=getty-c-w1536,FDX,SeekingAlpha,"FedEx Freight joins major indices post-spin, but LTL volumes and profits are down amid macro headwinds. Click for more on the new issue FDXF.",https://finnhub.io/api/news?id=d660de8be2ea372b540e7667bd57b1e1aef844e7757b632172642a075f3afd29
