category,datetime,headline,id,image,related,source,summary,url
company,1778103074,"Fortinet, Inc. (FTNT) Q1 2026 Earnings Call Transcript",140200075,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,FTNT,SeekingAlpha,"Fortinet, Inc. (FTNT) Q1 2026 Earnings Call May 6, 2026 4:30 PM EDTCompany ParticipantsAnthony Luscri - Vice President of Investor RelationsKen Xie -...",https://finnhub.io/api/news?id=48d310240630a03d6e6a67f4bbb5634fbf250ddf4856509f8e13d45efe5edf78
company,1778102970,"Fortinet Stock Surges On Cybersecurity Firm's Q1 Earnings Beat, Strong Guidance",140197479,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Fortinet stock surged after the cybersecurity firm reported first-quarter earnings, revenue and billings that topped Wall Street estimates.",https://finnhub.io/api/news?id=0d1400694de730b1a6354d5008b8ca84fb29e6db71ded9260e64fe1f7010e00e
company,1778102705,Fortinet (FTNT) Surpasses Q1 Earnings and Revenue Estimates,140199444,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Fortinet (FTNT) delivered earnings and revenue surprises of +33.51% and +6.79%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=15e68486cdf56aa96eccb53da1bac0a8760884a740e263a3458a9125afa1f992
company,1778101200,What's going on in today's after hours session,140198748,https://www.chartmill.com/images/uploads/CM_Aftermarket_Movers_Small_free_e077945a19.webp,FTNT,ChartMill,"The regular session of the US market on Wednesday is now over, but let's get a preview of the after-hours session and explore the top gainers and losers driving the post-market movements.",https://finnhub.io/api/news?id=884fd86702a05285837f18762046c10d20876ec27f4fab5d7ee24b190a61dfb1
company,1778100397,Fortinet Inc (NASDAQ:FTNT) Surges After Crushing Q1 Estimates and Raising Guidance,140198737,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,FTNT,ChartMill,"Fortinet (FTNT) crushed Q1 2026 estimates with EPS of $0.82 and revenue of $1.85B, shares surged 16% after-hours on strong guidance and record free cash flow.",https://finnhub.io/api/news?id=68ea0740219d297081d4c1bbbd5b9bf0aab56de77d539a8dc7cd587f11355bd7
company,1778098699,Fortinet : 1Q26 Earnings Prepared Remarks - Master,140199594,,FTNT,Finnhub,"Fortinet Q1 2026 Earnings Prepared Remarks Anthony Luscri, VP, Investor Relations Thank you. Good afternoon and thank you for joining us on today's conference call...",https://finnhub.io/api/news?id=8526738d8ebaf2c6cfb5a9c0b59816daef15ed1b10cd3afbf91022d60d81b9f5
company,1778097900,Fortinet Reports Strong First Quarter 2026 Financial Results,140197480,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,Exceeds high end of first quarter guidance on revenue and profitability Raises 2026 revenue guidance to 15% year over year growth Highlights Revenue grew 20% year over year to $1.85 billion Product revenue grew 41% year over year to $645 millionBillings grew 31% year over year to $2.09 billion1GAAP operating margin of 31%Non-GAAP operating margin of 36%1GAAP earnings per share grew 29% year over year to $0.72Non-GAAP earnings per share grew 41% year over year to $0.821Record operating cash flow,https://finnhub.io/api/news?id=9115d6c2e203ec1d2d4870446567c479c21df90cfa3794470da353c90980107d
company,1778095480,Fortinet : Q1 2026 Earnings Presentation,140199406,,FTNT,Finnhub,"i=‹:tRvinev O1 2026 Earnings Presentation May 6, 2026 Q1'26 Key Financial Highlights ...",https://finnhub.io/api/news?id=d9e6f22ed14fa28ff87a078328175d650a371ec0e1b2ddb233c98d452c9824d5
company,1778095478,Fortinet : FTNT Q1-2026 Press Release,140199409,,FTNT,Finnhub,‌Press Release Fortinet Reports Strong First Quarter 2026 Financial Results Exceeds high end of first quarter guidance on revenue and profitability Raises 2026...,https://finnhub.io/api/news?id=c9739f98f24769baac5e122250283974c388c832a383b3c373984216479c67a4
company,1778090603,S&P 500 pulls back from record as oil prices gain momentum: Live updates,140209769,https://image.cnbcfm.com/api/v1/image/108303730-1778166785436-Traders-Photo-20260507-KK-011.jpg?v=1778166925&w=1920&h=1080,FTNT,CNBC,The S&P 500 and Nasdaq Composite rallied yet again to new intraday and record closing highs on Wednesday.,https://finnhub.io/api/news?id=788d15542d6db05a08aa5481399f819bc37204272ddd2771e09a44966fe46d3c
company,1778087349,"Stocks making the biggest moves after hours: DoorDash, Zillow Group, ARM Holdings, Fortinet and more",140209770,https://image.cnbcfm.com/api/v1/image/108103876-1739907921225-JP3_9069.jpg?v=1739908771&w=1920&h=1080,FTNT,CNBC,See which stocks are posting big moves after the bell.,https://finnhub.io/api/news?id=9cad065372b5b30f8ca677f25e875cb56dc09ffc7908169131708c63b4bf8c4f
