category,datetime,headline,id,image,related,source,summary,url
company,1780442723,"Generac (GNRC) Stock Trades Up, Here Is Why",140507775,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GNRC,Yahoo,Shares of power generation products company Generac (NYSE:GNRC) jumped 5.9% in the afternoon session after the company announced it had secured a global supply agreement with a leading hyperscale data center operator to supply backup power generators.,https://finnhub.io/api/news?id=0c5ff74f489929b0db6ddc9ebf8559103e27b6909acf795ee54886da484ab4e0
company,1780432354,Stock Indexes Post New Record Highs Amid AI Enthusiasm,140509474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GNRC,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.13%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.45%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +0.48%. June E-mini S&P futures (ESM26 ) rose +0.14%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=96cb56dea8cd225ccd9fa9fa537bf8f06353dc30d772de14741f4d863c9c2f5f
company,1780413943,Stocks Push Higher on US Labor Market Strength and AI Spending,140506192,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GNRC,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.24%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +0.26%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +0.29%. June E-mini S&P futures (ESM26 ) are up +0.20%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=55d7af628b73d70bf86aa7192673d2df25611841953752dbcc9fd0a53f162159
company,1780409330,Stocks Pressured by Uncertainty of US-Iran Ceasefire Prospects,140506194,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GNRC,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.20%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.33%. June E-mini S&P futures (ESM26 ) are down -0.18%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=6fc72df72d8a231b36309fc2398f3d8d087b2c30604a756a7611ccddf00eaaf4
company,1780405545,"Exchange-Traded Funds, Equity Futures Lower Pre-Bell Tuesday as Traders Assess AI Momentum",140499101,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GNRC,Yahoo,The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was down 0.2% and the actively tr,https://finnhub.io/api/news?id=309ed926afd80df31a68a673ad440e789e72df230bc57e0a8ef26ff26c79991e
company,1780405456,Trade Tracker: Joe Terranova sells Uber and buys Twilio and Generac,140501804,https://image.cnbcfm.com/api/v1/image/108315329-17804193541780419349-46309242136-1080pnbcnews.jpg?v=1780419353&w=1920&h=1080,GNRC,CNBC,"Joe Terranova, Senior Managing Director for Virtus Investment Partners, joins CNBC's ""Halftime Report"" to detail his latest portfolio moves.",https://finnhub.io/api/news?id=8800042649fdf794378aaa50064146993d8782b29f2461ac19b4ce6dc88b84cf
company,1780404673,Generac Joins Data Center Fracas; Soars On Generator Deal With AI Hyperscaler,140499352,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GNRC,Yahoo,Generac signed a deal to supply a major AI hyperscaler with backup generators. The stock is up about 100% in 2026.,https://finnhub.io/api/news?id=460ea240f30596a11b3e96454f43d5d6660db87a84b1c055d10c3a119b0b7198
company,1780403744,"Stocks making the biggest moves midday: Coherent, Victoria's Secret, Marvell, HPE, Generac, Intuit & more",140501553,https://image.cnbcfm.com/api/v1/image/108152016-1748537855777-gettyimages-2189636231-20241213_fashionvalley_163.jpeg?v=1780420549&w=1920&h=1080,GNRC,CNBC,Here are the companies making headlines in midday trading.,https://finnhub.io/api/news?id=4ba1e96500bde92774af696fa398bcbb86ebae5525b4b67798a4574c037fb5dd
company,1780403700,These S&P500 stocks are moving in today's pre-market session,140498735,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,GNRC,ChartMill,"The US market session of Tuesday has yet to be opened, let's have a look at the top S&P500 gainers and losers in the pre-market session today.",https://finnhub.io/api/news?id=f63e4f09c34bff442d883c8978f0d33d49fd950ecefedda16e11e22f81b6ff4f
company,1780401423,Generac CEO Aaron Jagdfeld on power supply agreement with mystery hyperscaler,140501755,https://image.cnbcfm.com/api/v1/image/108315283-17804155321780415528-46308374856-1080pnbcnews.jpg?v=1780415530&w=1920&h=1080,GNRC,CNBC,"Generac CEO Aaron Jagdfeld joins ‘Squawk on the Street’ to discuss the company’s global supply agreement to provide generators to a major hyperscaler, how the deal could transform the business, and more.",https://finnhub.io/api/news?id=437c3dab4651a756487050635cefedc56522fd45e46de92e6c7457e15aafaaa1
