category,datetime,headline,id,image,related,source,summary,url
company,1778094510,Global Payments (GPN) Q1 2026 Earnings Transcript,140195469,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GPN,Yahoo,"Cameron Bready: Good morning, and thank you for joining us today.  Overall, our results exceeded our expectations, reinforcing our confidence in the trajectory of the business and demonstrating strong integration progress following the closing of the Worldpay acquisition in January.",https://finnhub.io/api/news?id=16b30b7b00a14851465d7a3a12d00009b06eacc553e3f0a97455a9b474fedef4
company,1778093279,PayPal Q1: Still An Attractive Opportunity Despite Headwinds,140198239,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2213752844/image_2213752844.jpg?io=getty-c-w1536,GPN,SeekingAlpha,"PayPal Holdings, Inc. stock stays undervalued after an earnings beat and resilient checkout growth. Click for this PYPL earnings update.",https://finnhub.io/api/news?id=c094b38480bb1a5e76389f40c0d83af2b8a68c6b4c373751729d70dca2ed16bc
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,GPN,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778086351,Global Payments Inc. Q1 2026 Earnings Call Summary,140193866,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GPN,Yahoo,Moby summary of Global Payments Inc.'s Q1 2026 earnings call,https://finnhub.io/api/news?id=7d082c639195d2d3bc8970fa7b9e4c36c1c5d583a214bcba88fa29468287e8cf
company,1778082540,Global Payments Q1 Earnings Beat Estimates on Worldpay Momentum,140193522,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GPN,Yahoo,GPN posts Q1 EPS beat as Worldpay momentum and Genius platform growth lift revenues despite rising expenses and higher debt levels.,https://finnhub.io/api/news?id=9780abe57fa82166dbc8db107b728a393aab6f262a73d02b126c2c64f872346c
company,1778071274,Global Payments Inc. (GPN) Q1 2026 Earnings Call Transcript,140192319,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,GPN,SeekingAlpha,"Global Payments Inc. (GPN) Q1 2026 Earnings Call May 6, 2026 8:00 AM EDTCompany ParticipantsNathan Rozof - Head of Investor RelationsCameron Bready - CEO...",https://finnhub.io/api/news?id=d888928bb78fb2116f4b90889f181ab4e972aaa8b0d6e517dc4df7d0e3bd6277
company,1778070768,Global Payments Inc (NYSE:GPN) Q1 Adjusted Profit Beats Estimates But GAAP Results Show Loss After Worldpay Deal Costs,140198688,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,GPN,ChartMill,"Global Payments reported Q1 2026 adjusted EPS of $2.96, beating estimates, though GAAP showed a loss due to Worldpay deal costs. Shares rose 4.7% pre-market.",https://finnhub.io/api/news?id=21b2e469cdc6574387547a83e2d40b7bdb10400216a80bf6689c3a7e1962b3ed
company,1778070304,Global Payments (GPN) Q1 Earnings and Revenues Top Estimates,140190113,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GPN,Yahoo,"Global Payments (GPN) delivered earnings and revenue surprises of +4.83% and +1.25%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=a0658d1341895bd3b71e70a44fcba7c30b7bec719cf23c8ef012ae003e9de5c2
company,1778067777,Global Payments: The Market Is Getting This Wrong - Still A Strong Buy,140191300,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2153419814/image_2153419814.jpg?io=getty-c-w1536,GPN,SeekingAlpha,Global Payments Inc. is a Strong Buy: undervalued despite strong Q1 results and Worldpay integration. Click for this GPN stock update and earnings review.,https://finnhub.io/api/news?id=e9ef0c84128cec3eca44ea089036d600a70cc1d5e3ee06b4f23de19ae722df22
company,1778067596,Global Payments quarterly profit rises on resilient consumer spending,140188382,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GPN,Yahoo,"Payment technology company Global Payments reported a rise in first-quarter adjusted ‌profit on Wednesday, helped by resilient consumer ‌spending despite geopolitical tensions in the Middle East and a ​volatile economic backdrop. Consumer spending remained broadly steady during the quarter, helping support payment processors even as inflation and broader economic uncertainty weighed on lower-income ‌consumers. Consumer spending trends ⁠are closely watched because they directly influence earnings across the payments industry.",https://finnhub.io/api/news?id=a6d1af283993c81df7edf7cc84f4aacdd3a3e0dfc6e6eb540b2b421b3299452b
