category,datetime,headline,id,image,related,source,summary,url
company,1778106622,Host Hotels (HST) Tops Q1 FFO and Revenue Estimates,140199483,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HST,Yahoo,"Host Hotels (HST) delivered FFO and revenue surprises of +7.01% and +0.86%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=40dd1a498d8e1d3903c6c7b0fc365347de6ac92e9d8ad0113325ec9f887a0c40
company,1778104804,"Compared to Estimates, Host Hotels (HST) Q1 Earnings: A Look at Key Metrics",140199484,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HST,Yahoo,"Although the revenue and EPS for Host Hotels (HST) give a sense of how its business performed in the quarter ended March 2026, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=5aa9eb6ddf87f9617fec01829321953553c1574240b63cc85da01e9ab9f65e21
company,1778101641,Host Hotels & Resorts (NASDAQ:HST) Soars on Q1 Earnings Beat and Raised Guidance,140198775,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,HST,ChartMill,"Host Hotels & Resorts crushed Q1 2026 estimates with $1.645B revenue and $0.67 EPS, driven by 4.4% RevPAR growth. The REIT raised full-year guidance and declared a special dividend.",https://finnhub.io/api/news?id=1d36a32faffa7219d33ad73b70cf1ff91664f9b063dad1fde55875ee56b5b92f
company,1778099400,"Host Hotels & Resorts, Inc. Reports Results for the First Quarter 2026",140197656,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HST,Yahoo,"Delivered Comparable Hotel Total RevPAR Growth of 4.6% and Comparable Hotel RevPAR Growth of 4.4% Raises Full Year 2026 Comparable Hotel RevPAR Guidance Range to 3.0% to 4.5%Announces $0.20 Quarterly Dividend and $0.72 Special Dividend BETHESDA, Md., May 06, 2026 (GLOBE NEWSWIRE) -- Host Hotels & Resorts, Inc. (NASDAQ: HST) (the “Company”), the nation’s largest lodging real estate investment trust (“REIT”), today announced results for first quarter of 2026. OPERATING RESULTS(unaudited, in millio",https://finnhub.io/api/news?id=780a19a0fd60177b7bcd4c188318459e69270bab0a7b8020b42b53f3a84aa5ac
company,1778088724,3 Dividend Stocks Yielding Over 3.2% To Enhance Your Portfolio,140193701,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HST,Yahoo,"The United States market has experienced a notable upswing, rising 1.8% over the last week and showing an impressive 30% increase over the past year, with earnings projected to grow by 16% annually in the coming years. In this vibrant market environment, dividend stocks yielding over 3.2% can be a strategic choice for investors seeking to enhance their portfolios with reliable income streams and potential long-term growth.",https://finnhub.io/api/news?id=11a248916fa5503d236d13c70ac4d4e02842d6cdbd84b501da00dabfacba2df8
company,1778088338,Host Hotels raises annual FFO forecast on luxury segment strength,140196862,,HST,Finnhub,"Real estate investment trust HostHotels & Resorts raised its forecast for 2026 adjustedfunds from operations on Wednesday, helped by strong bookingsfor luxury hotels. The Bethesda,...",https://finnhub.io/api/news?id=082db12799fe75f32ed6b9f14aa644c9b1b6299c48217e0d4d8fd3c61406a5f6
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,HST,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778085809,Host Hotels: Q1 Earnings Snapshot,140196151,,HST,Finnhub,"BETHESDA, Md. — BETHESDA, Md. — Host Hotels & Resorts Inc. on Wednesday reported a key measure of profitability in its first quarter. The results surpassed Wall Street expectations. The...",https://finnhub.io/api/news?id=ad160cca1074176a18293e2761409558b65c3a37948af6192bf20dc52515f046
company,1778085165,Host Hotels & Resorts Raises FY2026 Adj. FFO Guidance from $2.03-$2.11 to $2.10-$2.16 vs $2.08 Est; Raises FY2026 Sales Guidance from $6.030B-$6.120B to $6.097B-$6.184B vs $6.039B Est,140211112,,HST,Benzinga,Host Hotels &amp; Resorts (NASDAQ:HST) raises FY2026 FFO guidance from $2.03-$2.11 to $2.10-$2.16 vs $2.08 analyst estimate. Raises FY2026 sales outlook from $6.030 billion-$6.120 billion to $6.097 billion-$6.184 billion vs,https://finnhub.io/api/news?id=64994eab1bb5d1ba50b3abf3753fa0500453258e4eb63cefda68737a7e4b2cc9
company,1778085083,"Host Hotels & Resorts Q1 Adj. FFO $0.67 Beats $0.62 Estimate, Sales $1.645B Beat $1.600B Estimate",140211113,,HST,Benzinga,Host Hotels &amp; Resorts (NASDAQ:HST) reported quarterly earnings of $0.67 per share which beat the analyst consensus estimate of $0.62 by 8.06 percent. This is a 4.69 percent increase over earnings of $0.64 per share from,https://finnhub.io/api/news?id=7a64ea328e7cb613a35f26d7c74f98c18110dc8257d729abcd65e80efbec7965
company,1778067123,Qfin Holdings And 2 Other Dividend Stocks To Enhance Your Portfolio,140188161,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HST,Yahoo,"The United States market has experienced a notable uptrend, climbing 1.8% in the past week and 30% over the last year, with earnings forecasted to grow by 16% annually. In such a robust environment, selecting dividend stocks like Qfin Holdings can be an effective strategy for investors seeking to enhance their portfolios through reliable income streams while potentially benefiting from capital appreciation.",https://finnhub.io/api/news?id=8f611f9c1b572f729efbeafbd2cb99a5d0e48b342c53771445cb21ff3b311f3e
