category,datetime,headline,id,image,related,source,summary,url
company,1778094000,"Best Stocks for May: QBTS, RGTI With 75% Target Upside Before Earnings",140197390,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,QBTS and RGTI surge back into focus as improving risk appetite and AI-quantum momentum drive over 75% upside targets ahead of Q1 earnings.,https://finnhub.io/api/news?id=37ad33ba9961ecb7714995700be1f066b5f0a7a97d45c11029e4001c39d1b37a
company,1778086582,"Kyndryl Holdings, Inc. Q4 2026 Earnings Call Summary",140193642,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"Moby summary of Kyndryl Holdings, Inc.'s Q4 2026 earnings call",https://finnhub.io/api/news?id=63a4673f595e1ade23118091b4190ec9d2ef94b23c103dfa4b892d4f4f944f7d
company,1778082590,"Top Midday Stories: AMD Q1 Earnings, Q2 Guidance Top Estimates; Nvidia, Corning Enter Multiyear Commercial and Technology Partnership",140191344,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"All three major US stock indexes were up over 1% in late-morning trading Wednesday, as investors sho",https://finnhub.io/api/news?id=654b64eec4b4d6a780019ebe824f4e3f85801cffbc95cd8690737a530e6ef124
company,1778074732,"Kyndryl plans job cuts, forecasts pretax profit below estimates",140189863,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"Software provider Kyndryl said it would cut jobs as part of a new cost-saving plan and forecast annual ‌pretax profit below Wall Street estimates on Wednesday.  • The cuts come after the software provider ⁠delayed the filing of its October-December report, made several management changes, and launched an accounting review over ""potential weaknesses"" found in its internal controls.  ​Kyndryl did not disclose how ‌many jobs would be affected by the move.",https://finnhub.io/api/news?id=e21998032d217ee25a7b3dafea02a3edb1b305e3c41fa1fc5dc8b6d23ee8023e
company,1778070300,"AMD Beats on Earnings, Raises Guidance on AI and Data Center Growth",140189791,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,Advanced Micro Devices beats Q1 estimates and lifts outlook as AI-driven data center demand fuels strong revenue growth and record cash flow.,https://finnhub.io/api/news?id=ff7dfa2108f8b0a2e81bf9feec0cf5a86b9245bbbdf5a5d32b4a1e3000777bd3
company,1778067216,"RBC Capital Maintains Outperform on IBM, Lowers Price Target to $300",140211623,,IBM,Benzinga,RBC Capital  analyst Matthew Swanson    maintains IBM (NYSE:IBM) with a Outperform and lowers the price target from $330 to $300.,https://finnhub.io/api/news?id=acb1a2137353ea3f8ea212129141c11ed2247a041104f2ab02a3fb38816654e1
company,1778062240,How Arm’s First In‑House AI Data Center CPU Could Impact Arm Holdings (ARM) Investors,140188104,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"In recent weeks, Arm Holdings has accelerated its push into artificial intelligence by unveiling its first in-house AGI CPU for data centers, announcing plans to design proprietary AI chips, and deepening enterprise AI collaboration with IBM ahead of its now-imminent fiscal Q4 2026 earnings release. These moves mark a shift from Arm’s traditional licensing-only model toward capturing more of the full-chip economics in AI infrastructure, while also introducing fresh competitive and execution...",https://finnhub.io/api/news?id=1d2a0e176e7419064f5867e2ce42986cdf9c778abc9d51f8ba93aa5f4bfe1c1a
company,1778061600,Is OpenAI showing red flags? IBM vice chair discusses,140188106,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"Leaders in finance, technology, and politics are gathered at the Milken Institute Global Conference this week to discuss the most pressing social and economic challenges.IBM (IBM) vice chair Gary Cohn sits down with Yahoo Finance Executive Editor Brian Sozzi to discuss OpenAI's (OPAI.PVT) future and IBM's role in the artificial intelligence (AI) landscape.",https://finnhub.io/api/news?id=96cf982df6566f3a7da4f07b835f9b47b8144e90e8aa913ce22d767e3852212d
company,1778061600,IBM Consulting Expands AI Capabilities to Accelerate Enterprise Transformation,140188105,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"At Think 2026, IBM (NYSE: IBM) announced new capabilities delivered through IBM Enterprise Advantage, a first-of-its-kind asset-based consulting service that helps clients build and operate their own hybrid-AI platforms. IBM also introduced updates across IBM Consulting Advantage, its internal hybrid-AI platform for delivering consulting services to clients. Pearson, Providence, and Amazon Web Services (AWS) joined IBM Consulting on the Think stage today to share how they are using these capabil",https://finnhub.io/api/news?id=10c3291014654164ab6261d84363d6bb001c266080a5602902a943d1d05af63e
company,1778060048,Idealist Announces Professional Development Collaboration With IBM SkillsBuild,140189473,,IBM,Finnhub,"NEW YORK - Idealist and IBM's SkillsBuild platform have teamed up to bring Idealist users access to over 1,000 free online courses. Through this collaboration, members of Idealist's social-impact...",https://finnhub.io/api/news?id=2338bc52682cab9370fe00518891c03f3c36ba3ad3f46f76d02b66d83be6c49c
company,1778057508,"Wedbush Reiterates Outperform on IBM, Maintains $320 Price Target",140191005,,IBM,Benzinga,Wedbush  analyst Dan Ives   reiterates IBM (NYSE:IBM) with a Outperform and maintains $320 price target.,https://finnhub.io/api/news?id=d056f80a9b35428101b0f0ec1c4af4e880170d35541569c7777ab3dc7dc9a79f
company,1778044475,IBM Doubles Down On AI And Quantum As Valuation Gap Persists,140185179,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"IBM (NYSE:IBM) has launched IBM Sovereign Core, a software platform aimed at helping enterprises and public sector entities run AI workloads with tighter control over data and compliance. The company, together with Cleveland Clinic and RIKEN, reported a quantum computing milestone by simulating the largest biologically meaningful molecule yet on IBM quantum hardware using new hybrid algorithms. IBM also announced an intended collaboration with Aramco focused on applying AI, automation, and...",https://finnhub.io/api/news?id=3c57c5cd42ad182b64300c517ef6389c2a813adf6e15fd1d952771135e2e53f7
