category,datetime,headline,id,image,related,source,summary,url
company,1778094304,Wednesday's session: top gainers and losers in the S&P500 index,140198713,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,IFF,ChartMill,"Let's delve into the developments on the US markets one hour before the close of the markets on Wednesday. Below, you'll find the top gainers and losers within the S&P500 index during today's session.",https://finnhub.io/api/news?id=2f3ba7ac4b93a09eb4ebdf551ee3e78e54dbb14ecca215aa142fee88c7bc331e
company,1778085304,Exploring the top movers within the S&P500 index during today's session.,140198707,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,IFF,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=ca0e74cb90ac62b9609f505eb1c920732e31ad909d462c61880409e730ba6bd7
company,1778081797,IFF Q1 2026 Earnings Call Transcript,140191767,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IFF,Yahoo,"During the call, we will be making forward-looking statements about the company's performance and business outlook.  Even amid uncertain market conditions around the world, we are making solid progress on our commitments as we continue to strengthen International Flavors & Fragrances Inc. for long-term success.",https://finnhub.io/api/news?id=32bbbc2351519789519f6adc030bb626e4b6fcd57f6475b0379bbf878032c386
company,1778078104,Which S&P500 stocks are gapping on Wednesday?,140198705,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,IFF,ChartMill,Wondering which stocks are making significant price gaps? Explore the S&P500 index on Wednesday to find the gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=4a8c9979e2ad280a3cdedd6b5ccd7ac90d56507ba3b3ead0ea8acba3d9b73ee9
company,1778074523,"S&P 500, Nasdaq 100 Smash Records As AMD Jumps 16% On AI Hype: Stock Market Today",140193568,https://cdn.benzinga.com/files/images/story/2026/05/06/Charlotte--North-Carolina---November-11-_3.jpeg?width=2048&height=1536,IFF,Benzinga,"U.S. stocks hit records as Trump&#39;s Iran memo sinks oil 6%, AMD soars 17% on data-center beat.",https://finnhub.io/api/news?id=c3e975c900dfcbe366bfd1c16209b749b2d175371ab40b07f0e34a104890875e
company,1778070600,International Flavors & Fragrances Inc. Q1 2026 Earnings Call Summary,140197644,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IFF,Yahoo,Moby summary of International Flavors & Fragrances Inc.'s Q1 2026 earnings call,https://finnhub.io/api/news?id=dae8a4d6fa0227e28b89094ca720659498019882ebc256dbc6dd3f6fd226eac6
company,1778070077,International Flavors & Fragrances Inc. (IFF) Q1 2026 Earnings Call Transcript,140192133,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,IFF,SeekingAlpha,"International Flavors & Fragrances Inc. (IFF) Q1 2026 Earnings Call May 6, 2026 9:00 AM EDTCompany ParticipantsMichael Bender - Director of Investor...",https://finnhub.io/api/news?id=a597d51673cb5489ec0f8fb73f661e0a8abec7891fe0f4ea81347b744e43e75d
company,1778069280,IFF Q1 Earnings Beat Estimates on Volume Growth & Productivity Gains,140190008,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IFF,Yahoo,"International Flavors beats Q1 estimates on volume growth and productivity gains, boosting margins and cash flow while reaffirming 2026 outlook despite a softer sales decline.",https://finnhub.io/api/news?id=32020bf7023f5a88a87d1a544534ca02b7885f47e7e84ac6dbe1be537b10e9dd
company,1778067159,Intl Flavors &amp; Fragrances Q1 2026 Earnings Call Transcript,140193571,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_1.jpg?width=2048&height=1536,IFF,Benzinga, ,https://finnhub.io/api/news?id=4f1f7cbc15d8b045374e7a8cc54af988c3d9a97dda22df2bc2db1922bfb9006d
company,1778063947,"Davita, Bloomin' Brands, Compass And Other Big Stocks Moving Higher On Wednesday",140190794,https://cdn.benzinga.com/files/images/story/2026/05/06/Milan--Italy---August-10--2017-Davita-Lo.jpeg?width=2048&height=1536,IFF,Benzinga,"Dow Jones up 500 points, DaVita Inc (DVA) shares rise after better-than-expected earnings and raised guidance. Other gaining stocks include EVC, BLMN, MNKD, FLEX, HUT, AVTX, COMP, VCYT, and SSRM.",https://finnhub.io/api/news?id=a9c0fa15b8491817febcdab2dad06647a52fb674ab90c6a495a055eec846297f
company,1778062821,"Transcript : International Flavors & Fragrances Inc., Q1 2026 Earnings Call, May 06, 2026",140190534,,IFF,Finnhub,"Presentation Operator MessageOperator At this time, I would like to welcome everyone to the IFF First Quarter 2026 Earnings Conference Call. [Operator Instructions] I would now like to introduce...",https://finnhub.io/api/news?id=227884ef9485b2ffa751682d661978ba4e76a46e5b56db5506bf50ef907f096f
company,1778060226,International Flavors & Fragrances Inc. 2026 Q1 - Results - Earnings Call Presentation,140189512,,IFF,SeekingAlpha,,https://finnhub.io/api/news?id=a6d120ab891c74a8b212cb33b89c4cd90167b2c6fbcbb744843a7399a596d705
