category,datetime,headline,id,image,related,source,summary,url
company,1780437269,CNBC Daily Open: Nvidia stars at Computex as markets hit records,140514043,https://image.cnbcfm.com/api/v1/image/108315152-1780405409943-gettyimages-2279396667-042a7029_nhdiseyi.jpeg?v=1780405436&w=1920&h=1080,INTU,CNBC,"AI momentum drove Wall Street to fresh records, even as conflicting U.S.-Iran signals and new tariff threats on Brazil kept geopolitical tensions in focus.",https://finnhub.io/api/news?id=e3d84bd6c7f51c3ec8222a0a533691f1886068bc0b43ca188e7dfdfe5460893a
company,1780432354,Stock Indexes Post New Record Highs Amid AI Enthusiasm,140509474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.13%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.45%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +0.48%. June E-mini S&P futures (ESM26 ) rose +0.14%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=96cb56dea8cd225ccd9fa9fa537bf8f06353dc30d772de14741f4d863c9c2f5f
company,1780432160,"US Equity Markets Extend Rally to Records on AI Momentum, Jobs Data",140506371,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"US equity indexes closed higher Tuesday as the three major gauges extended a rally to records, fuele",https://finnhub.io/api/news?id=ce83be2f55c09b5f16b5f052bbd7307e1f9484708e6d61bb8691bca2f73a7bc2
company,1780427101,Uncover the latest developments among S&P500 stocks in today's session.,140503590,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,INTU,ChartMill,Curious about the top performers within the S&P500 index one hour before the close of the markets on Tuesday? Dive into the list of today's session's top gainers and losers for a comprehensive overview.,https://finnhub.io/api/news?id=16a9eee97aeb42c5148c3a7f2a2b2964d966c9e7f6c4244f3ad2762ea69a42a2
company,1780418100,Top S&P500 movers in Tuesday's session,140501252,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,INTU,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Tuesday.,https://finnhub.io/api/news?id=957bd0c7422ec605a7c79bdbe2db072b9589e4da0ea2c05f63816c1c2570a6a6
company,1780413943,Stocks Push Higher on US Labor Market Strength and AI Spending,140506192,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.24%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +0.26%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +0.29%. June E-mini S&P futures (ESM26 ) are up +0.20%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=55d7af628b73d70bf86aa7192673d2df25611841953752dbcc9fd0a53f162159
company,1780412635,Brown Advisory Global Leaders Strategy Sold Intuit (INTU) on AI Substitution Concerns,140500625,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"Brown Advisory, an investment management company, released its “Brown Advisory Global Leaders Strategy” for the first quarter of 2026 investor letter. A copy of the letter can be downloaded here. The strategy focused on delivering strong long-term performance by investing in a focused portfolio of companies that solve customer problems and provide good returns for […]",https://finnhub.io/api/news?id=22f1e9cf02b393c91f44d2883349c930bb52809bc5c80deef1179bfb04aaa4cd
company,1780410901,What's going on in today's session: S&P500 gap up and gap down stocks,140499827,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,INTU,ChartMill,Seeking insights into today's market movers? Discover the S&P500 gap up and gap down stocks in today's session on Tuesday. Stay informed about the latest market trends.,https://finnhub.io/api/news?id=b89fb308be105c9a23d5fca0f80211d10f38173c4bb721f6c9df29054bf195e8
company,1780409330,Stocks Pressured by Uncertainty of US-Iran Ceasefire Prospects,140506194,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.20%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.33%. June E-mini S&P futures (ESM26 ) are down -0.18%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=6fc72df72d8a231b36309fc2398f3d8d087b2c30604a756a7611ccddf00eaaf4
company,1780409047,Intuit Stock Slides After Goldman Downgrades To Sell,140513730,https://cdn.benzinga.com/files/images/story/2026/06/02/Dhaka--Bangladesh--19-Sep-2025-A-Close-U.jpeg?width=2048&height=1536,INTU,Benzinga,Intuit Inc (NASDAQ:INTU) shares are under pressure on Tuesday as the stock moves lower following a downgrade from Goldman Sachs.,https://finnhub.io/api/news?id=1f59a0bb9b8dbb1cf0bb06d38fc4f0486a854ee07ffc11abde96be0bf3e80f3c
