category,datetime,headline,id,image,related,source,summary,url
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,JCI,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778086755,Johnson Controls (JCI) Q2 2026 Earnings Transcript,140193729,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JCI,Yahoo,"While early in the journey, our proprietary business system is beginning to strengthen how we lead and execute throughout parts of the organization.  It's the next step in a comprehensive set of global design guides mapping the full data center thermal chain, providing clear design parameters to enable high-performance, efficient operation as customers plan and scale AI with greater clarity.  Adjusted EBIT margin expanded 310 basis points to 15.5%, and adjusted EPS was up 45% and exceeded our guide.",https://finnhub.io/api/news?id=3c841d9c3bd070431d3b3eff55eab563d5c933142172f827e3b9cc52403a1c5d
company,1778086536,Johnson Controls International plc Q2 2026 Earnings Call Summary,140193730,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JCI,Yahoo,Moby summary of Johnson Controls International plc's Q2 2026 earnings call,https://finnhub.io/api/news?id=e0c7ffa53aa5a22c6fdc3de28f310b5c5b3e06437f91ea1042bb3424cc03cd5e
company,1778080260,AI Data Centers Need to Stay Cool. These Stocks Could Benefit.,140191531,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JCI,Yahoo,"Carrier, Trane, Vertiv, Eaton, and other companies are seeing a surge in demand as AI data centers require more advanced cooling technology.",https://finnhub.io/api/news?id=f0d293f900c780b3c951ceaf844d7ce64dad9da41dca38b5f0b7a1764f7755a4
company,1778079660,"Johnson Controls Tops Q2 Earnings & Revenue Estimates, Raises FY26 View",140193731,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JCI,Yahoo,JCI beats Q2 estimates and raises FY26 outlook as strong HVAC and services demand boosts growth across all regions.,https://finnhub.io/api/news?id=b52fe5d81e05d7cc4f76f8fdb3816753319c84e03c02b755a45c38a62e5b808a
company,1777034850,"X-Energy IPO Opens For Trade At $30.11/Share; IPO Priced At $23/Share On 44,254,659 Shares",139983169,,JCI,Benzinga,,https://finnhub.io/api/news?id=975af2f337d72d70b61a69fd97e5afeca128898f530aa00c65a97c1b2b4f3894
company,1778077188,Johnson Controls Stock Slips Despite Q1 Earnings Beat,140209352,https://cdn.benzinga.com/files/images/story/2026/05/06/Warsaw--Poland--14-March-2022--Sign-John.jpeg?width=2048&height=1536,JCI,Benzinga,Johnson Controls (JCI) beats Q2 estimates and lifts its full-year outlook as an explosion of AI data center cooling orders pushes its total backlog to a record $20 billion.,https://finnhub.io/api/news?id=f5108d932023904da7149d49715894b9f23bceee96309fb7ebdcd664fde73de3
company,1778076677,Johnson Controls International plc (JCI) Q2 2026 Earnings Call Transcript,140194035,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,JCI,SeekingAlpha,"Johnson Controls International plc (JCI) Q2 2026 Earnings Call May 6, 2026 8:30 AM EDTCompany ParticipantsMichael Gates - Senior Director of Investor...",https://finnhub.io/api/news?id=ca1b2b1d18394aa2753b6ec3b6c885804892d95665260fdd64282710fd9de3d6
company,1778074523,"S&P 500, Nasdaq 100 Smash Records As AMD Jumps 16% On AI Hype: Stock Market Today",140193568,https://cdn.benzinga.com/files/images/story/2026/05/06/Charlotte--North-Carolina---November-11-_3.jpeg?width=2048&height=1536,JCI,Benzinga,"U.S. stocks hit records as Trump&#39;s Iran memo sinks oil 6%, AMD soars 17% on data-center beat.",https://finnhub.io/api/news?id=c3e975c900dfcbe366bfd1c16209b749b2d175371ab40b07f0e34a104890875e
company,1778070708,Johnson Controls International (NYSE:JCI) Tops Q2 Estimates and Raises Full-Year Guidance,140198685,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,JCI,ChartMill,"Johnson Controls beat Q2 earnings estimates with $1.19 EPS and $6.14B revenue, raised full-year guidance, though shares dipped pre-market.",https://finnhub.io/api/news?id=62e2915e8057ae7487c5ca340b8719608a81d4977634dd1994070160455b718a
