category,datetime,headline,id,image,related,source,summary,url
company,1778098800,Safer Dividend King to Buy Now: AbbVie or Johnson & Johnson?,140197176,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,They have combined for 118 years of consecutive dividend increases.,https://finnhub.io/api/news?id=002d0e512332d1358b4049ca8b1c7536c57990ec3e53970355d04d0d13adb999
company,1778092445,J & J Snack Foods Q2 Earnings Call Highlights,140195060,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,"J & J Snack Foods (NASDAQ:JJSF) reported fiscal second-quarter 2026 results that showed margin expansion and higher adjusted earnings despite a decline in sales, as management pointed to benefits from its “Project Apollo” transformation and ongoing portfolio reshaping. Chief Executive Officer D",https://finnhub.io/api/news?id=7996832215d2f1295d60a7942c982a5790c8e7296f402c096fe2ac9d86dccb01
company,1778090580,Is Johnson & Johnson Still the Ultimate Safe Dividend Stock to Buy?,140195061,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,It's hard to argue against its reliability.,https://finnhub.io/api/news?id=5fb7a65b9636edd135b2cc31a02ba98ee2df19e2688aa695635a5b92de36704f
company,1778077951,6 Pharma Dividend Stocks Yielding Up to 6.44% — and They’ve Survived Every Market Crash,140191445,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,"Dividend income arrives whether markets rally or sell off. For investors seeking recurring cash flow, high-yield equities remain the cleanest source outside a paycheck. They settle in cash, clear immediately, and can be redeployed or spent without selling property or waiting on private placements. Pharma is one of the few sectors where mature franchises, regulatory ... 6 Pharma Dividend Stocks Yielding Up to 6.44% — and They’ve Survived Every Market Crash",https://finnhub.io/api/news?id=4e09d8ab6bb836c11253912678951eee7781a9a74dfdf34fc85e358cc30d34d7
company,1778075438,These 3 Dividend Stocks Have Raised Their Payouts for a Combined 187 Years. Here’s Why That Matters To Passive Income Lovers,140189798,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,"Earned income disappears the moment you stop working. Dividend income keeps arriving every quarter. That distinction drives serious investors toward portfolios built around cash-generative businesses with multi-decade payout histories, where the check arrives every quarter regardless of market conditions. Starting fresh today, the temptation is to chase double-digit yields from leveraged BDCs and mortgage REITs. ... These 3 Dividend Stocks Have Raised Their Payouts for a Combined 187 Years. Here",https://finnhub.io/api/news?id=689f139cbe8d4721d90dbaa29f9858be62fb4fa7fecd85201ba592ccb0735f2a
company,1778073347,Can Pfizer Stock Outrun A $17B Revenue Void?,140189759,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,"The true narrative for Pfizer (PFE) is not its recent top line earnings beat but the escalating structural tension between its required research spending and an impending revenue void. First quarter 2026 results showed an adjusted earnings per share of $0.75 on $14.5 billion in revenue. While these numbers exceeded consensus estimates, they mask a deeper profitability issue. The primary insight hiding within the earnings noise is that Pfizer is funding its future growth at the direct expense of",https://finnhub.io/api/news?id=d24510dacd9f86d4bc2443c67032898ed4484be2eb62892acb578316290a9f6e
company,1778071078,"CVS Health's Lower Medical Cost Ratio Lift Profit, Outlook",140196203,https://cdn.benzinga.com/files/images/story/2026/05/06/Chandler--Arizona---April-08-2023cvs-Hea.jpeg?width=2048&height=1536,JNJ,Benzinga,"CVS Health Q1 tops estimates, lifts 2026 outlook, and sees gains in Health Care Benefits and Health Services segments.",https://finnhub.io/api/news?id=2346412b39ae2c8422905de4ae1abdda0ae07e7d0fe1277cdaec9b3a6e4096ec
company,1778065200,Royalty Pharma reports first quarter 2026 results,140188078,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,"Portfolio Receipts growth of 10% to $925 million; Royalty Receipts growth of 13%Net cash provided by operating activities of $718 millionRaised full year 2026 guidance: Portfolio Receipts expected to be $3,325 million to $3,450 million NEW YORK, May 06, 2026 (GLOBE NEWSWIRE) -- Royalty Pharma plc (Nasdaq: RPRX) today reported financial results for the first quarter of 2026 and raised full year 2026 guidance for Portfolio Receipts. “Royalty Pharma has delivered a strong start to 2026 across multi",https://finnhub.io/api/news?id=6406e5a9c948a7b60afb26977c89379617e022f7aedc68c7b6c306b30193b894
company,1778063400,Avalo shares spike on skin drug data; BioNTech to cut staff,140191446,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,"Avalo reported study success in what’s proven to be a tough-to-treat skin disease. Elsewhere, BioNTech announced plans to close multiple plants and Madrigal picked up an RNA-based drug for MASH.",https://finnhub.io/api/news?id=71335b29ef3774944d026975fe31607fb5b23e801aabb6cc2bb241005a18c36c
company,1778061000,Trump's Drug Pricing Deals Could Lead To $529 Billion Savings For The Economy Over The Decade: Report,140192250,https://cdn.benzinga.com/files/images/story/2026/05/06/Stethoscope-Laying-On-Medicine-White-Pil.jpeg?width=2048&height=1536,JNJ,Benzinga,"White House estimates Trump&#39;s drug pricing agreements could save $529 billion in next decade, but analysis draws scrutiny.",https://finnhub.io/api/news?id=f1208b5c8fd66ecf40591baab52f7bf23992d41e41eb1c2258694b2b1d9622e9
