category,datetime,headline,id,image,related,source,summary,url
company,1780436702,JPMorgan Chase & Co. (JPM) Exceeds Market Returns: Some Facts to Consider,140507601,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"JPMorgan Chase & Co. (JPM) closed the most recent trading day at $300.96, moving +1.48% from the previous trading session.",https://finnhub.io/api/news?id=857701040b2037436c440cc2c4c57d8277bc818ea92c21a4fb31bdd29e760bff
company,1780428551,Jim Cramer looks at stocks that will go higher if tech retreats,140514218,https://image.cnbcfm.com/api/v1/image/3ED3-MM-A-BLOCK-060226.jpg?v=1780488277&w=1920&h=1080,JPM,CNBC,'Mad Money' host Jim Cramer looks at buying opportunities outside of tech in the current market.,https://finnhub.io/api/news?id=1f28d7f137230234b0ecd887a19db893111bd33c7f848a427463525765e30d27
company,1780427403,Top dow jones movers in Tuesday's session,140503591,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,JPM,ChartMill,Stay updated with the movements of the dow jones index one hour before the close of the markets on Tuesday. Discover which stocks are leading as top gainers and losers in today's session.,https://finnhub.io/api/news?id=f3aa7355cabb85adb09e05122b406e9457a685b6944d1d51ba3e62a0a6270345
company,1780418513,Alphabet $80 Billion Equity Sale Set to Break Fundraising Record,140504202,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"(Bloomberg) -- Alphabet Inc.’s surprise $80 billion sale of equity to fund spending on artificial intelligence infrastructure is expected to become the biggest equity capital markets transaction of all time, according to data compiled by Bloomberg.Most Read from BloombergRussia Finance Officials Tell Putin War Spending Is UnaffordableCanada Dips Into Technical Recession for First Time Since 2020Andrew Left Found Guilty in Case That Spooked Short SellersAlphabet to Raise $80 Billion in Equity for",https://finnhub.io/api/news?id=4af303b39f199035805a53f5ba0de1c1c2be19b7d6e09d1aceee09f3f9bcbe37
company,1780418402,Uncover the latest developments among dow jones stocks in today's session.,140501253,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,JPM,ChartMill,Stay informed about the performance of the dow jones index in the middle of the day on Tuesday. Uncover the top gainers and losers in today's session for valuable insights.,https://finnhub.io/api/news?id=5df21e6ee982416bda0e46a33083d8a689c8f81625dab5b8bddf92028372e679
company,1780416726,JPMorgan Weighs US$20b Deal While Expanding In Europe And Crypto Debate,140502441,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"JPMorgan Chase (NYSE:JPM) CEO Jamie Dimon flagged the possibility of a roughly US$20b acquisition, which would be the largest deal under his leadership. The bank is continuing to push into European retail banking, expanding its presence beyond its core US franchise. Dimon has also criticized current crypto-focused legislation, including the CLARITY Act, and questioned the influence of major crypto industry representatives. For a bank of JPMorgan Chase's size, talk of a US$20b acquisition...",https://finnhub.io/api/news?id=fd58fa587b2ab8e36d17425da918c88bd4f814d18d13cfab48cd3d95749cfb4f
company,1780414899,"Dear Future Quantinuum Stock Investors, Mark Your Calendars for June 3",140506237,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,Investors may want to keep an eye on June 3 as Quantinuum is set to price its IPO and make a big move toward its Wall Street debut.,https://finnhub.io/api/news?id=45b4940920785b232e0f7dcf266a688157c99b2b45043851344ab6908cfc735a
company,1780414632,"Ending soon: Earn 150,000 miles with this all-time-high Capital One Venture Business offer",140514246,https://image.cnbcfm.com/api/v1/image/108315457-1780428677958-gettyimages-1333512684-sw15-024.jpeg?v=1780428685&w=1920&h=1080,JPM,CNBC,"It's rare to see offers this large attached to credit cards with sub-$100 annual fees, like the Capital One Venture Business.",https://finnhub.io/api/news?id=e9d52ab0a63c6b67f2b9df59502ad2166c83b1dd8a87d50107576ce3657f8502
company,1780413189,Why Is IBM Up 30% In A Week? An Old Trump Clip May Have Something To Do With It,140506117,https://cdn.benzinga.com/files/images/story/2026/06/02/Dusseldorf--North-Rhine-westphalia--Germ_0.jpeg?width=2048&height=1536,JPM,Benzinga,Trump&#39;s praise of IBM CEO helped power stock&#39;s biggest weekly move in years. IBM&#39;s $10B quantum investment &amp; AI initiatives also driving growth.,https://finnhub.io/api/news?id=3bb688eb1b69e28514af851aca8a68c0dfc69e69fca2d923cb98c2797e15d5e2
company,1780402504,"Palo Alto CEO’s Pay, Now Nearly $100 Million, Is Most Rejected in Corporate America",140500347,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,(Bloomberg) -- Shareholders at Palo Alto Networks Inc. have a recurring beef with the company over how much it pays the chief executive officer and other senior leaders. Most Read from BloombergRussia Finance Officials Tell Putin War Spending Is UnaffordableCanada Dips Into Technical Recession for First Time Since 2020Alphabet to Raise $80 Billion in Equity for AI SpendingAndrew Left Found Guilty in Case That Spooked Short SellersUS Says Deals With Iran for Safe Hormuz Transit Are ProhibitedA ma,https://finnhub.io/api/news?id=833777bad450a2b01364f9009cb783b8c7809481bc337e03373ec3895f949ac3
