category,datetime,headline,id,image,related,source,summary,url
company,1778094304,Wednesday's session: top gainers and losers in the S&P500 index,140198713,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,J,ChartMill,"Let's delve into the developments on the US markets one hour before the close of the markets on Wednesday. Below, you'll find the top gainers and losers within the S&P500 index during today's session.",https://finnhub.io/api/news?id=2f3ba7ac4b93a09eb4ebdf551ee3e78e54dbb14ecca215aa142fee88c7bc331e
company,1778085304,Exploring the top movers within the S&P500 index during today's session.,140198707,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,J,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=ca0e74cb90ac62b9609f505eb1c920732e31ad909d462c61880409e730ba6bd7
company,1778079840,"Jacobs Q2 Earnings & Revenues Top Estimates, Up Y/Y, FY26 View Raised",140193759,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,J,Yahoo,"J tops Q2 estimates as EPS jumps 22% and backlog hits a record $27B, then lifts FY26 outlook again on broad demand.",https://finnhub.io/api/news?id=99c39bdd47e48c444c4add3044b8702e5a02af815be0c7059aabeea41742bbe5
company,1778079185,"Citigroup Maintains Buy on Jacobs Solutions, Raises Price Target to $181",140194734,,J,Benzinga,Citigroup  analyst Andrew Kaplowitz   maintains Jacobs Solutions (NYSE:J) with a Buy and raises the price target from $180 to $181.,https://finnhub.io/api/news?id=f88e1c5854626d3e37d1d997d3a52fd47fc15a00db2b45f91424596f9ab7b802
company,1778078104,Which S&P500 stocks are gapping on Wednesday?,140198705,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,J,ChartMill,Wondering which stocks are making significant price gaps? Explore the S&P500 index on Wednesday to find the gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=4a8c9979e2ad280a3cdedd6b5ccd7ac90d56507ba3b3ead0ea8acba3d9b73ee9
company,1778074536,"Stocks making the biggest moves midday: AMD, Corning, Arm Holdings, Cencora, Uber & more",140193204,https://image.cnbcfm.com/api/v1/image/108281726-1774286929697-045_2649mxf01_40_15_09still001.jpg?v=1774287066&w=1920&h=1080,J,CNBC,Here are the stocks making headlines in midday trading.,https://finnhub.io/api/news?id=0fd2c75ad3fed8d7de8625d85846423a35fca5017bf251dc9f43d8850a1395e4
company,1778067428,"RBC Capital Maintains Outperform on Jacobs Solutions, Raises Price Target to $169",140194735,,J,Benzinga,RBC Capital  analyst Sabahat Khan   maintains Jacobs Solutions (NYSE:J) with a Outperform and raises the price target from $160 to $169.,https://finnhub.io/api/news?id=df9f5a6657251ca85523e0c2932d6b5866515c97f0d3ed1a9d17734845bb1bd4
company,1778063700,Hut 8 to Lease Texas AI Data Center for at Least $9.8 Billion,140188394,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,J,Yahoo,"(Bloomberg) -- Hut 8 Corp., a cryptocurrency miner that is shifting to developing artificial intelligence data center capacity, has signed a lease worth at least $9.8 billion over 15 years to provide computing power to a “high-investment-grade company.”Most Read from BloombergUS Has Opened a Passage Through Hormuz, Central Command SaysUS Says Offensive Phase of Iran War Over as Ship Hit in StraitAnthropic Unveils AI Agents to Field Financial Services TasksTrump Pauses Plan to Guide Ships While S",https://finnhub.io/api/news?id=c30c2df8343e0da4e88510720703b62867093ca3a7c87538da014d4626227f68
company,1778063400,"Hut 8 Commercializes First Phase of 1 GW Beacon Point AI Data Center Campus with 15-Year, 352 MW IT Lease with Base-Term Contract Value of $9.8 Billion",140188009,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,J,Yahoo,"Hut 8 Corp. (Nasdaq, TSX: HUT) (""Hut 8"" or the ""Company""), an energy infrastructure platform integrating power, digital infrastructure, and compute at scale to fuel next-generation, energy-intensive technologies, today announced the commercialization of the first phase of its Beacon Point data center campus in Nueces County, Texas through a 15-year, $9.8 billion lease (the ""Agreement"") for 352 megawatts (MW) of IT capacity (the ""Transaction""). The tenant, a high-investment-grade company, will de",https://finnhub.io/api/news?id=c2b2137f22fae4521c20dd37e3589ffe44f8a5267a959abb405055ffddc85637
company,1778058566,"Keybanc Maintains Overweight on Jacobs Solutions, Lowers Price Target to $150",140194736,,J,Benzinga,Keybanc  analyst Sangita Jain   maintains Jacobs Solutions (NYSE:J) with a Overweight and lowers the price target from $154 to $150.,https://finnhub.io/api/news?id=e54cda437f6f6af3c280f99343ccc79a7c19182448d68d2efaf6ef880c0818a1
company,1778052471,"Stocks making the biggest moves premarket: AMD, Disney, Uber, Corning, Super Micro Computer & more",140192835,https://image.cnbcfm.com/api/v1/image/108260244-1770052587895-gettyimages-2259048430-US_STOCKS.jpeg?v=1776173571&w=1920&h=1080,J,CNBC,These are the stocks posting the largest moves premarket.,https://finnhub.io/api/news?id=3c3e2ae4c970e206d1b683796431a98f014cdfc9cd00aba6ad8530b40e64b216
company,1778026704,Jacobs Solutions Inc. Q2 2026 Earnings Call Summary,140188396,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,J,Yahoo,Moby summary of Jacobs Solutions Inc.'s Q2 2026 earnings call,https://finnhub.io/api/news?id=3015f84c422b11db744d1d5994156c8204f9caf3681527b20ab44e3dd0fc3e4b
