category,datetime,headline,id,image,related,source,summary,url
company,1778103060,The Best Stocks to Buy Right Now for May,140197164,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,Consumer goods companies don't typically get the headlines. But May 2026 is giving investors some of the clearest reasons in years to pay attention.,https://finnhub.io/api/news?id=33c94a337dc7360c033c7a94deded9f0d4fea3a8ea1e94393bac1b2232586dc0
company,1778099053,Inside India newsletter: Social media is reshaping the world's fastest-growing market for global brands,140209446,https://image.cnbcfm.com/api/v1/image/108303404-1778117979048-gettyimages-2237854452-DSC_4860.jpeg?v=1778118020&w=1920&h=1080,KO,CNBC,Social media influencers are urging consumers to read labels and pushing traditional companies to make healthier products or risk being replaced by newer entrants.,https://finnhub.io/api/news?id=01cd630750e0d1f2edb8898d254f8004bcb902626994af5a64904618bd5f3367
company,1778088550,Coca-Cola Consolidated: Q1 Earnings Snapshot,140196920,,KO,Finnhub,"CHARLOTTE, N.C. — CHARLOTTE, N.C. — Coca-Cola Consolidated, Inc. on Wednesday reported earnings of $111.6 million in its first quarter. The Charlotte, North Carolina-based company said it had...",https://finnhub.io/api/news?id=b3ed9e74f611029d6217f7f176b28534448cb0471d2f50a1debc194f6cea01dd
company,1778084414,Verneek Bolsters Its Advisory Board,140193516,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"The three board members are prominent veterans of the luxury, retail and consumer industries, and also investors in the AI-native tech company.",https://finnhub.io/api/news?id=fb924ba5ae276aac851d7c47af024f249c8932fff21d938c9c35c68b0c20475f
company,1778075438,These 3 Dividend Stocks Have Raised Their Payouts for a Combined 187 Years. Here’s Why That Matters To Passive Income Lovers,140189798,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Earned income disappears the moment you stop working. Dividend income keeps arriving every quarter. That distinction drives serious investors toward portfolios built around cash-generative businesses with multi-decade payout histories, where the check arrives every quarter regardless of market conditions. Starting fresh today, the temptation is to chase double-digit yields from leveraged BDCs and mortgage REITs. ... These 3 Dividend Stocks Have Raised Their Payouts for a Combined 187 Years. Here",https://finnhub.io/api/news?id=689f139cbe8d4721d90dbaa29f9858be62fb4fa7fecd85201ba592ccb0735f2a
company,1778074980,Best Growth Stocks to Buy for May 6th,140191490,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"FIVE, FMX and AR made it to the Zacks Rank #1 (Strong Buy) growth stocks list on May 6, 2026.",https://finnhub.io/api/news?id=c2df87c65c3c39dff2913c8e4e1659dd52903c8d60573acf19fd95cf8920055f
company,1778072405,Investors Heavily Search CocaCola Company (The) (KO): Here is What You Need to Know,140191491,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Coca-Cola (KO) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",https://finnhub.io/api/news?id=61f6f47a18f09ece72299530ce31418051aa8a85233720c31aff56f957c77c60
company,1778068800,Canmakers say capacity is tight as they gear up for big summer,140193623,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Ball, Crown and Ardagh are navigating higher input costs and inflationary pressures as beverage customers prepare promotions related to the World Cup and America250 celebrations.",https://finnhub.io/api/news?id=b15ea8def80a3f028b85a86352aad1e673c364712e5f5a418857e62d8d1df89e
company,1778062800,Best Dividend Stock to Buy Right Now: PepsiCo vs. Coca-Cola,140188010,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,The winner of this dividend stock battle may surprise you.,https://finnhub.io/api/news?id=aa21a1d8465eb86dd1968cef2542155d264e86bc6bef85e79ba5871e8f5e691d
company,1778059935,Global Dividend Stocks To Consider In May 2026,140186855,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"As global markets navigate the complexities of geopolitical tensions and economic policy shifts, major indices have shown resilience, with U.S. stocks posting solid gains despite uncertainties. This backdrop highlights the importance of dividend stocks as a potential source of steady income and stability in an environment where interest rates remain a focal point for investors.",https://finnhub.io/api/news?id=f1726c5a18446fa2d44d0d5345de92c7c8ac5b04da4bbf41879308f2812372b9
company,1778059500,"Warren Buffett Made This Surprising $35 Billion Bet 10 Years Ago, and It Turned into $185 Billion. Is It Still a Buy Today?",140186856,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,Investors probably didn't expect Buffett to choose this stock.,https://finnhub.io/api/news?id=29830e3259834b84c98c97e1965eb951bba17712cecdf3b4dcf12f7755b6205f
company,1778056200,"Tariff Refunds Are Coming, And They Could Keep Interest Rates Higher For Longer",140188945,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2210234081/image_2210234081.jpg?io=getty-c-w1536,KO,SeekingAlpha,"Supreme Court tariff reversal triggers ~$170B refunds: who benefits most (WMT, COST, PG, KO), margin impacts, and what it means for debt & policyâread now.",https://finnhub.io/api/news?id=b637931987e63aa11160f8299a94f829bd40e6d2c5bba8d8f3079de2e31079e4
company,1778037835,Iran-linked Diet Coke shortage sparks viral party trend in India,140192931,https://image.cnbcfm.com/api/v1/image/108302741-17780519021778051900-45740458791-1080pnbcnews.jpg?v=1778051901&w=1920&h=1080,KO,CNBC,"India’s Diet Coke shortage has triggered a viral social media trend, with “Diet Coke parties” popping up across major cities. Linked to shipping delays in the Strait of Hormuz, the shortage has turned the soft drink into a lifestyle symbol among young consumers. Bars, restaurants and influencers are cashing in with themed events, cocktails, raffles and exclusive merchandise driven by scarcity and online hype.",https://finnhub.io/api/news?id=0575df8277556fd1f4485e3dff304c1ede8fbdcd41dc377760d444cda213813f
