category,datetime,headline,id,image,related,source,summary,url
company,1778102220,Lumentum Earnings Paused the Stock’s Rally. Why Wall Street Isn’t Worried.,140199278,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LITE,Yahoo,"Lumentum shares fall after the optical networking giant reported fiscal third-quarter earnings, narrowly missing lofty revenue expectations.",https://finnhub.io/api/news?id=487fdb490af0de51777b4b803a16c1a5010cadba7b643c54d0a02bda78517c1a
company,1778101920,"First Lumentum, Now Coherent. Why Earnings Aren’t Boosting the AI Laser Stock.",140199279,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LITE,Yahoo,"Coherent reported quarterly earnings that were in-line with Wall Street’s expectations, with gross margins increasing slightly.  The optical networking company is benefiting from the artificial intelligence data center boom—but shares fell anyway.  Coherent posted adjusted earnings of $1.41 a share for the fiscal third-quarter, compared to 91 cents a year ago and Wall Street’s $1.40 a share prediction.",https://finnhub.io/api/news?id=ea89f5f5098975c4071d688f4631107f426b439a49590edbb0ff1a5b9bd82bc6
company,1778091713,"UBS Maintains Neutral on Lumentum Holdings, Raises Price Target to $960",140211234,,LITE,Benzinga,UBS  analyst David Vogt   maintains Lumentum Holdings (NASDAQ:LITE) with a Neutral and raises the price target from $455 to $960.,https://finnhub.io/api/news?id=eb02c197538420d5a6feddd3544647fde06a1ac61d3b2335244bed4a8f7e1802
company,1778087855,How The Lumentum Holdings (LITE) Narrative Is Shifting With Nvidia Deal And AI Demand,140193390,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LITE,Yahoo,"Lumentum Holdings just saw its modeled fair value estimate move from US$773.35 to US$904.89, a change of about 17% that puts a brighter spotlight on where analysts think the stock might be heading over the long term. That shift is coming alongside fresh Street research, higher price targets from several firms, and renewed attention on the company after new customer commitments and sector updates. In the sections that follow, you will see how this evolving narrative is taking shape and what to...",https://finnhub.io/api/news?id=852281ff517091e599e518f4f5aabb218a025cff51d1f7ac8955cd7a5e5f4ac6
company,1778085304,Exploring the top movers within the S&P500 index during today's session.,140198707,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,LITE,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=ca0e74cb90ac62b9609f505eb1c920732e31ad909d462c61880409e730ba6bd7
company,1778081758,"TD Cowen Maintains Hold on Lumentum Holdings, Raises Price Target to $995",140211235,,LITE,Benzinga,TD Cowen  analyst Sean O&#39;Loughlin   maintains Lumentum Holdings (NASDAQ:LITE) with a Hold and raises the price target from $875 to $995.,https://finnhub.io/api/news?id=6987fd16bb4a132df8443419f030a0be57e24c1cc17cda2994470d5d5625d532
company,1778081400,The Market Is Discovering The Industrial Supply Chain Of AI,140194804,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2258598400/image_2258598400.jpg?io=getty-c-w1536,LITE,SeekingAlpha,This is not just a speculative AI rally. The pattern running through the strongest performers is more specific: the market is beginning to reward the physical stack behind AI. Read more here,https://finnhub.io/api/news?id=8a9b24689a8ae7478093e266bb22effe2fcb3b7919429e230ada81a21d507c03
company,1778081362,Lumentum (LITE) Q3 2026 Earnings Transcript,140191651,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LITE,Yahoo,"The forward-looking statements provided during this call are based on Lumentum's reasonable beliefs and expectations as of today.  Lumentum undertakes no obligation to update or revise these statements, except as required by applicable law.",https://finnhub.io/api/news?id=13c7ec28a956dc45bfc0258881d7d7dca8ea8489242ce930da31fc8ab64c4975
company,1778079120,Lumentum Stock Has Soared Since Joining the S&P 500. Why Earnings Put a Pause in the Rally.,140191652,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LITE,Yahoo,"Lumentum shares fall after the optical networking giant reported fiscal third-quarter earnings, narrowly missing lofty revenue expectations.",https://finnhub.io/api/news?id=039ec955c4e160f5d7706f50ec73328e6fbc1ff5a2b3f006422794c647d249b8
company,1778078104,Which S&P500 stocks are gapping on Wednesday?,140198705,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,LITE,ChartMill,Wondering which stocks are making significant price gaps? Explore the S&P500 index on Wednesday to find the gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=4a8c9979e2ad280a3cdedd6b5ccd7ac90d56507ba3b3ead0ea8acba3d9b73ee9
