category,datetime,headline,id,image,related,source,summary,url
company,1780434018,Tracking Jeremy Grantham's GMO Capital Portfolio - Q1 2026 Update,140508339,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/186805810/image_186805810.jpg?io=getty-c-w1536,MA,SeekingAlpha,"GMOâs $39B 13F shows shifts into quality large-cap tech & healthcareâadding Microsoft, Broadcom, Salesforce while trimming Lam, Wells Fargo. See more.",https://finnhub.io/api/news?id=6348ce27d58f95fda929e273b69a03104e78a5d032b601f3f1146cce1660706e
company,1780430134,Payment sovereignty and the relationship with cash,140504248,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MA,Yahoo,"Neil Martin explains why digital rails and cash must work together, if the National Payments Vision goal of enabling consumers and businesses to have genuine choice in how they pay, is to be realised",https://finnhub.io/api/news?id=6e36dd13f4e6f97c881f0cb35f91a9bba5facb4a8fce274c5bbfd8d1946c598e
company,1780417158,Mastercard (MA) flashes major signal on New York BitLicense,140502470,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MA,Yahoo,"Most traditional finance companies treat crypto as a side project. They run a pilot, publish a press release, and move on. Mastercard (MA) has spent the past two months doing something harder. First, it spent up to $1.8 billion to buy a stablecoin firm. Then it got licensed to handle digital assets ...",https://finnhub.io/api/news?id=1ace81b0f701c34c3e98cde46798bd3e3b322cc3fde49382b7970fc1f3664356
company,1780415220,Can Mastercard's TIPS Pilot Improve Cross-Border Payment Efficiency?,140502443,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MA,Yahoo,"MA tests instant euro-krona payments on TIPS, validating atomic settlement and end-to-end cross-border processing.",https://finnhub.io/api/news?id=3365cc5cf63b318e3a9777a300e3b868deb52eaf957e6e765688b2825cc12390
company,1780410780,WORLDLINE : Worldline and ING complete a live end-to-end European agentic payment in production - Press release,140500483,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MA,Yahoo,"Worldline and ING complete a live end-to-end European agentic payment in production Demonstrating with Mastercard that secure and compliant agentic payment is a deployable reality today Paris-La Défense & Amsterdam - 2 June 2026 – At Money 20/20, Worldline [Euronext: WLN], a European leader in payment services, and ING, a global financial institution with a strong European base, announce the successful execution of Europe's first end-to-end agentic payment transaction in production with Masterca",https://finnhub.io/api/news?id=015fbf7e8df6945b24e43b2a7c7562d4cd695919aee62e0b033001a0ecf6edbf
company,1780409619,"Mastercard names Ling Hai CFO, moves Sachin Mehra to new role",140500484,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MA,Yahoo,"Ling Hai, who led Mastercard's business across Asia Pacific, Europe, the Middle East and Africa, will take over as CFO on August 3",https://finnhub.io/api/news?id=bf4a98a9ca9fad15c41e83e3e2c23d8c027b112d1da8b53bb87bcf5a1429bafe
company,1780406100,Mastercard announces leadership updates to advance strategy and support continued growth,140499243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MA,Yahoo,"PURCHASE, N.Y., June 02, 2026--These moves reinforce the depth of Mastercard’s executive bench and the real value the company brings to its customers and partners.",https://finnhub.io/api/news?id=a9f6f9dfcc0a15c891ab17b2629cab0db026d86659d41d290ae97bdd3fb4cf64
company,1780403400,Mastercard: Gen Z and Financial Confidence,140499244,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MA,Yahoo,"By Mastercard Research Center NORTHAMPTON, MA / ACCESS Newswire / June 2, 2026 /Article at a glance Gen Z's relationship with money is cautious and control‑oriented-debit‑first behavior, preference for low/transparent fees, and aversion to hidden ...",https://finnhub.io/api/news?id=efe3b5d31ca170ec6bdc7274d69f548a590445736cfa644cca7086b75141e3a5
company,1780399822,Mastercard rearranges leadership,140500485,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MA,Yahoo,"The card network promoted a pack of new leaders, including to the chief financial officer post, as the old guard moved into other roles.",https://finnhub.io/api/news?id=581e3a8f6e117081029b6322ea1ceff5c0e74dbb0184db79388b4e0d45b45748
company,1780398000,Plot Raises $10M to Scale Social Video Intelligence for Marketing Teams at Fortune 500 Brands,140498385,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MA,Yahoo,"Plot, the social video intelligence platform trusted by Visa, Mastercard, PepsiCo, Fenty Beauty, Benefit Cosmetics, and CAVA, today announced $10M in new funding to meet enterprise demand for its expanding platform. The seed round brings Plot's total raised to $14M and was co-led by XYZ Venture Capital and Mischief Ventures, with participation from Seven Seven Six and Acme Capital.",https://finnhub.io/api/news?id=aa294bcfa9a9b3d5262e95905814ae022d6cfc14350c6f2d11899ac946256133
