category,datetime,headline,id,image,related,source,summary,url
company,1780440879,"Stock Market Today, June 2: Marvell Technology Surges After Nvidia CEO Highlights AI Infrastructure Role",140507560,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"The Teralynx launch gives Marvell a product-level AI networking catalyst, with custom silicon revenue now central to whether data center growth can support the stock’s higher expectations.",https://finnhub.io/api/news?id=f7fe942a90b2ccbf885e770c33f6502993ad99d5b3ce27bf1397fcacb39cd997
company,1780440323,"Microchip Technology (MCHP) Stock Is Up, What You Need To Know",140507714,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,Shares of analog chipmaker Microchip Technology (NASDAQ:MCHP) jumped 4.8% in the afternoon session after the company revealed strong growth expectations for its data center business and announced a new line of products aimed at AI infrastructure.,https://finnhub.io/api/news?id=90a3ba61d24ad0f577c0aaebf462042725abf13cc8183cc5585a64bbe371d4a1
company,1780432354,Stock Indexes Post New Record Highs Amid AI Enthusiasm,140509474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.13%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.45%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +0.48%. June E-mini S&P futures (ESM26 ) rose +0.14%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=96cb56dea8cd225ccd9fa9fa537bf8f06353dc30d772de14741f4d863c9c2f5f
company,1780431300,Microchip Technology to Present at the 2026 Evercore Global TMT Conference,140506434,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"CHANDLER, Ariz., June 02, 2026 (GLOBE NEWSWIRE) -- (NASDAQ:MCHP) – Microchip Technology Incorporated, a leading provider of smart, connected, and secure embedded control solutions, today announced that the Company will present at the 2026 Evercore Global TMT Conference on Wednesday, June 3, 2026 at 1:20 p.m. (Pacific Time). Presenting for the Company will be Mr. Steve Sanghi, President, CEO and Chair, and Mr. Eric Bjornholt, Senior Vice President and Chief Financial Officer. A live webcast of th",https://finnhub.io/api/news?id=bc5e43fb4fadc43e949929b40619b717a5c1d2a20bec23e63cbc92dad9714d1a
company,1780431112,Microchip Technology Incorporated (MCHP) Presents at Bank of America 2026 Global Technology Conference Transcript,140507940,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MCHP,SeekingAlpha,"Microchip Technology Incorporated (MCHP) Bank of America 2026 Global Technology Conference June 2, 2026 5:40 PM EDTCompany ParticipantsSteve Sanghi - CEO,...",https://finnhub.io/api/news?id=cfe15e553dfe06d690f44bbf9ff63bfcdf35d2f1a6f82bf26039e1d842a46234
company,1780413943,Stocks Push Higher on US Labor Market Strength and AI Spending,140506192,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.24%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +0.26%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +0.29%. June E-mini S&P futures (ESM26 ) are up +0.20%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=55d7af628b73d70bf86aa7192673d2df25611841953752dbcc9fd0a53f162159
company,1780409330,Stocks Pressured by Uncertainty of US-Iran Ceasefire Prospects,140506194,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.20%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.33%. June E-mini S&P futures (ESM26 ) are down -0.18%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=6fc72df72d8a231b36309fc2398f3d8d087b2c30604a756a7611ccddf00eaaf4
company,1780403744,"Stocks making the biggest moves midday: Coherent, Victoria's Secret, Marvell, HPE, Generac, Intuit & more",140501553,https://image.cnbcfm.com/api/v1/image/108152016-1748537855777-gettyimages-2189636231-20241213_fashionvalley_163.jpeg?v=1780420549&w=1920&h=1080,MCHP,CNBC,Here are the companies making headlines in midday trading.,https://finnhub.io/api/news?id=4ba1e96500bde92774af696fa398bcbb86ebae5525b4b67798a4574c037fb5dd
company,1780403700,These S&P500 stocks are moving in today's pre-market session,140498735,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,MCHP,ChartMill,"The US market session of Tuesday has yet to be opened, let's have a look at the top S&P500 gainers and losers in the pre-market session today.",https://finnhub.io/api/news?id=f63e4f09c34bff442d883c8978f0d33d49fd950ecefedda16e11e22f81b6ff4f
company,1780398360,XpressConnect™ PCIe® 6.0 and CXL 3.1 Retimers Address Latency and Signal‑Integrity Challenges in AI Data Centers,140498481,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCHP,Yahoo,"Strengthening Microchip Technology’s data center solutions portfolio, the retimers support high‑bandwidth architectures while helping reduce integration complexityCHANDLER, Ariz., June 02, 2026 (GLOBE NEWSWIRE) -- As AI workloads continue to scale, data center architects are increasingly constrained by limited signal reach and rising latency, which can leave valuable memory resources underutilized across large GPU clusters. These challenges are amplified as interconnect speeds increase. At 64 GT",https://finnhub.io/api/news?id=299a7a1c1c1677dedb284790b18002299ccf79dee5b1aa2d420667f3ee7f4f29
