category,datetime,headline,id,image,related,source,summary,url
company,1780431203,"Stocks making big moves yesterday: Everpure, Nvidia, AMC Entertainment, Redwire, and MGM Resorts",140506508,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,Check out the companies making headlines yesterday:,https://finnhub.io/api/news?id=d418b15c40f2a50ccf16b0f39df0da3cccddd5e29408f8b7ca59c1b53e2dd1b6
company,1780424306,MGM’s $18B Bid Proves Las Vegas Sands Is Undervalued,140504498,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,"Investors often mistake a declining stock chart for a broken business, over-penalizing short-term operational hurdles while ignoring the immense value of an irreplaceable physical footprint. That structural mispricing was laid bare on June 1, when People Incorporated launched an $18 billion buyout proposal to take MGM Resorts (MGM) private. The bid sent an institutional-grade signal to the market: public equities are severely undervaluing premium physical gaming moats. [1] The core thesis relies",https://finnhub.io/api/news?id=56ad2ec6fe53d37dc00e10f8d27cb7454a365c6f69e3c9b058314ad81b233686
company,1780413120,4 Gaming Stocks Worth Watching Despite Industry Headwinds,140502700,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,"Robust online betting demand and robust Macau gaming revenues bode well for the Gaming industry. Stocks like LVS, MGM, CHDN and RSI benefit from improving industry trends.",https://finnhub.io/api/news?id=4ed5e2c2ec32b81fb0b0ee6feee6431018d8182a8580e50fd9734e51ea42ae62
company,1780407000,MGM Buyout: The House Doesn't Always Win,140512239,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,The recent buyout proposal for a major casino operator highlights the immense underlying value of real estate and digital assets in the gaming sector today.,https://finnhub.io/api/news?id=91d966a129fe05211cc636ed972488f4a6c28ebfb84caea0b049065c207969b5
company,1780403782,MGM Resorts: A Better Business Than The Bid Suggests,140501136,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1482858962/image_1482858962.jpg?io=getty-c-w1536,MGM,SeekingAlpha,MGM Resorts International is a Buy as BetMGM profitability boosts earnings and lowers risk. Click for this updated look at MGM stock in light of takeover bids.,https://finnhub.io/api/news?id=9400a9962ba5d88094d26aea6842e863a71076e2883e3e47e6fc2c2fe541ebf8
company,1780396724,"Stock Index Futures Muted as Investors Parse Middle East Developments, U.S. JOLTS Report in Focus",140502501,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,"June S&P 500 E-Mini futures (ESM26) are down -0.14%, and June Nasdaq 100 E-Mini futures (NQM26) are down -0.01% this morning, taking a breather after a recent rally, while investors assess the prospects for an end to the Middle East conflict.",https://finnhub.io/api/news?id=d9bd843b4ff7c4c84c9e8dac91cc963f6cc32ce6e3df5257c1cfc48b8dbd94ac
company,1780393205,People Inc. plots $18B go-private bid for MGM Resorts,140499450,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,"Barry Diller, owner of People Inc., said MGM represents a ""rare kind of business: one with real world assets that AI cannot easily replicate or disintermediate and exceptional digital growth opportunities.”",https://finnhub.io/api/news?id=462d8824a8c5614193e1953463ee315639d1155887e77275e6f369fc9331c337
company,1780387080,Entain rises as MGM bid speculation fuels online gambling sector interest,140497333,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,"Entain PLC (LSE:ENT) shares climbed 3.4% to 582p on Tuesday after Deutsche Bank flagged that a proposed acquisition of MGM Resorts by People Inc, the renamed IAC, could have positive read-across implications for the FTSE 100 gambling group. People Inc, chaired by media executive Barry Diller,...",https://finnhub.io/api/news?id=f01946d61cbeb5870d229b8d36c54b2155518aa324905b12478df5ab1fae92aa
company,1780373963,MGM Stock Is Already Trading Above Barry Diller's $48.30 Bid — Analyst Says Board Should Ask For Even More,140496852,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,"While Stifel says MGM’s buyout offer is too low and could be raised, Truist sees benefits from private ownership.",https://finnhub.io/api/news?id=bc9a0ccc0da0b0c69d3e4bd410fe4dcbdac081f9e82ea49eb26b486399952b9c
company,1780372964,MGM Resorts (MGM) Soars to Fresh High as Firm Reviews Sale Bid,140496296,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,"MGM Resorts International (NYSE:MGM) is one of the 10 Stocks Entering June on Fire. MGM Resorts extended its winning streak to an 8th straight session on Monday, to notch a new two-year high, as investors resumed buying positions following confirmation that it would review a sale offer. In intra-day trading, the stock climbed to a […]",https://finnhub.io/api/news?id=28fa7eae9dafb22f7b59626ce20509c0e2c4b2a6895410dad3504c398b00395b
company,1780372860,M&A Is Back in a Big Way. These Are the Sectors in Play.,140496755,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MGM,Yahoo,"Deals total $2.5 trillion so far this year. Casinos and home builders are hot right now, but watch for more action in biotechs and financials.",https://finnhub.io/api/news?id=2c63126cbe2e0cb2e9165f55c332a7f4f70742eba61e661e080394b18232b958
