category,datetime,headline,id,image,related,source,summary,url
company,1778099482,NiSource Inc. (NI) Q1 2026 Earnings Call Transcript,140199732,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NI,SeekingAlpha,"NiSource Inc. (NI) Q1 2026 Earnings Call May 6, 2026 11:00 AM EDTCompany ParticipantsDurgesh Chopra - Vice President of Investor RelationsLloyd Yates -...",https://finnhub.io/api/news?id=074fc85127cc422e9ca3cedf1f983b97d827feb49f7d4da28fb15fec3da47273
company,1778087102,Which S&P500 stocks have an unusual volume on Wednesday?,140198709,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,NI,ChartMill,Discover the S&P500 stocks that are experiencing unusual trading volume in today's session. Find out more about these stocks below.,https://finnhub.io/api/news?id=7d6218c27f1d8cac9099abff53d13a798642a2f4cae91b297d81db188da60192
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,NI,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778085965,NiSource (NI) Q1 2026 Earnings Call Transcript,140193845,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NI,Yahoo,"Lloyd M. Yates: Thank you, Durgesh, and good morning, everyone.  At NiSource Inc., our mission is to deliver safe, reliable, and competitive energy that drives value for our customers.  NiSource Inc.’s value proposition is anchored in regulated utility operations across six highly constructive jurisdictions, providing diversification in both asset mix and regulatory environment.",https://finnhub.io/api/news?id=7fa4fdb784a375d20bc649d98174a88336d97436d49df7eb3436021cea01902d
company,1778083320,"NiSource Q1 Earnings Match Estimates, Revenues Lag, EPS Growth Rate Up",140193647,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NI,Yahoo,NI matches Q1 EPS estimates as revenues rise 9%. The company has lifted its long-term EPS growth outlook and mapped $28.6B in 2026-30 capex.,https://finnhub.io/api/news?id=1364308bb4f21cfa35510160726217ee46207070b7dfb9baa9945ffdfb940f5e
company,1778082305,NiSource (NI) Could Be a Great Choice,140193847,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NI,Yahoo,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does NiSource (NI) have what it takes? Let's find out.",https://finnhub.io/api/news?id=e6ac018b58b8dc25babd9a22368ede2e9237ccbb97581c7fd5a5dfa59862f5cc
company,1778070916,"Transcript : NiSource Inc., Q1 2026 Earnings Call, May 06, 2026",140192169,,NI,Finnhub,"Presentation Operator MessageOperator Hello, and welcome to NiSource First Quarter 2026 Earnings Conference Call. Please note that this call is being recorded. [Operator Instructions]. Thank you. I...",https://finnhub.io/api/news?id=d082b0b7830480cc82837d85042e2a6181560d8c85c017a5b4f425f25794ec5c
company,1778069197,NiSource adds another 400 mw of capacity serving Amazon - conf call,140191780,,NI,Finnhub,NiSource Inc: NiSource adds another 400 mw of capacity serving Amazon - conf call...,https://finnhub.io/api/news?id=5a7b7d94330d4935c49ce574bc369bcbc79cb4fe4982dee856727330c83cec1e
company,1778069106,NiSource (NI) Q1 Earnings Match Estimates,140190059,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NI,Yahoo,"NiSource (NI) delivered earnings and revenue surprises of +0.47% and -2.47%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=7284ec0f3b4a9df36d37f970c78f58638dc5732b017fdfd54a3302e5db7afd29
company,1778068681,NiSource Reports Q1 2026 Results: Full Earnings Call Transcript,140196482,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_4.jpg?width=2048&height=1536,NI,Benzinga, ,https://finnhub.io/api/news?id=4d1e3ac113f509f43735b9f7c1b7ad03bb6866e74f7e07a4209a4d56bd0f62e6
