category,datetime,headline,id,image,related,source,summary,url
company,1778100885,"NRG Energy, Inc. Q1 2026 Earnings Call Summary",140197503,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NRG,Yahoo,"Moby summary of NRG Energy, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=afdc5167318fbe3ed144dc5be287ff573a37ba4118915a80374497e34f805cb9
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,NRG,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778086897,"NRG Energy, Inc. (NRG) Q1 2026 Earnings Call Transcript",140196634,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NRG,SeekingAlpha,"NRG Energy, Inc. (NRG) Q1 2026 Earnings Call May 6, 2026 9:00 AM EDTCompany ParticipantsBrendan Mulhern - Head of Investor RelationsRobert Gaudette -...",https://finnhub.io/api/news?id=a71f0003c41a7aaad9a238c491df973886975b56013250c8a61c3103f74264fd
company,1778080920,"NRG Energy Q1 Earnings Lag Estimates, Revenues Increase Y/Y",140193813,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NRG,Yahoo,"NRG's Q1 EPS misses estimates, and revenues surge past forecasts, while cash declines, debt rises, and the company reaffirms the 2026 earnings guidance.",https://finnhub.io/api/news?id=c8aa821c1abfc074d64c86fe7784c02f333befc1b1a52a836382b0df4deaf2ab
company,1778074523,"S&P 500, Nasdaq 100 Smash Records As AMD Jumps 16% On AI Hype: Stock Market Today",140193568,https://cdn.benzinga.com/files/images/story/2026/05/06/Charlotte--North-Carolina---November-11-_3.jpeg?width=2048&height=1536,NRG,Benzinga,"U.S. stocks hit records as Trump&#39;s Iran memo sinks oil 6%, AMD soars 17% on data-center beat.",https://finnhub.io/api/news?id=c3e975c900dfcbe366bfd1c16209b749b2d175371ab40b07f0e34a104890875e
company,1778071598,"What Hurt NRG's Quarterly Earnings Despite Higher Revenue, Asset Contributions",140212095,https://cdn.benzinga.com/files/images/story/2026/05/06/NRG-Energy--Inc-.jpeg?width=2048&height=1536,NRG,Benzinga,"NRG reported revenue growth and contributions from acquired assets, but weather pressures offset these gains.",https://finnhub.io/api/news?id=2edf6a28493c0b0311bf54e7c752d7fcf0961e3fdf5e0844ca5f12c20e9f5012
company,1778070306,NRG Energy (NRG) Q1 Earnings Miss Estimates,140190084,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NRG,Yahoo,"NRG (NRG) delivered earnings and revenue surprises of -16.85% and +44.21%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=fc5d0513c04a591de51ae0f14d88bd914d0fbec1c1e6a08f08b31af0ed72e5f5
company,1778070069,NRG Energy (NYSE:NRG) Shares Rise as Q1 Revenue Beat Offsets Adjusted EPS Miss,140198648,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,NRG,ChartMill,"NRG Energy beats Q1 revenue estimates but misses on adjusted EPS, reaffirms 2026 guidance, and boosts investor confidence with strategic capital moves and Texas projects.",https://finnhub.io/api/news?id=5ef27f0f496864d431db562a3907de3692d27808add9d0957a47838e665a29e4
company,1778065380,NRG Energy Reports First Quarter 2026 Results and Reaffirms 2026 Financial Guidance,140188321,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NRG,Yahoo,"HOUSTON, May 06, 2026--NRG Energy, Inc. (NYSE: NRG) today announced financial results for the first quarter ended March 31, 2026, and reports GAAP Net Income of $125 million, GAAP Earnings per Share (EPS) — basic of $0.52, and GAAP Cash Used by Operating Activities of $(169) million. The Company's non-GAAP metrics are Adjusted Net Income of $308 million, Adjusted EPS of $1.49, Adjusted EBITDA of $1,080 million, and Free Cash Flow before Growth Investments (FCFbG) of $(66) million for the first q",https://finnhub.io/api/news?id=48c546905152ab3b5cc1f8775de2c9a5fad15f01dd9dfdf0ee626c266c6ee261
company,1778062821,"Transcript : NRG Energy, Inc., Q1 2026 Earnings Call, May 06, 2026",140190533,,NRG,Finnhub,"Presentation Operator MessageOperator Good day, and thank you for standing by. Welcome to the NRG Energy, Inc. First Quarter 2026 Earnings Call. [Operator Instructions] Please be advised that",https://finnhub.io/api/news?id=b8c2d133a13149737f8f5d7a729e9309336d066a083bad6239b4098711bc8933
company,1778062688,Transcript: NRG Energy Q1 2026 Earnings Conference Call,140190763,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_1.jpg?width=2048&height=1536,NRG,Benzinga, ,https://finnhub.io/api/news?id=1b14dbd08afe750ea49515715ab58d848db604f1a315a3a25e28074e0d772fc9
company,1778059293,NRG Energy expects to execute nearly $1 billion for debt repayments throughout the year - conf call,140189390,,NRG,Finnhub,NRG Energy expects to execute nearly $1 billion for debt repayments throughout the year - conf call...,https://finnhub.io/api/news?id=1183aff6a5c04793e3b19ffd176f3cc38bac3db503a9e3fa55b56c12f2f236d5
company,1778058930,NRG Energy sees up to 2 gigawatts of upgrade and commercial conversion opportunities within its existing fleet - conf call,140189269,,NRG,Finnhub,NRG Energy sees up to 2 gigawatts of upgrade and commercial conversion opportunities within its existing fleet - conf call...,https://finnhub.io/api/news?id=89515e36a173efb14bcb392e63191f1f2f9d18a2b6e147cabd81c4c18676e486
company,1778056215,"NRG Energy misses quarterly profit estimates on mild Texas weather, higher costs",140188648,,NRG,Finnhub,"Power producer NRG Energy onWednesday missed Wall Street estimates for first-quarteradjusted profit, hurt by milder weather in Texas and increasedcosts. The company's interest...",https://finnhub.io/api/news?id=86c6c329e41eb22465af14e17f25fe260ae29e7ae01471dcc8d8acf678693ec2
company,1778053457,NRG Energy : First Quarter 2026 Earnings Presentation (5a0bfd),140187936,,NRG,Finnhub,"Q 1 2 0 2 6 E A R N I N G S N R G E N E R G Y , I N C . FIRST QUARTER 2026 EARNINGS PRESENTATION M A Y 6 , 2 0 2 6 T.H. Wharton ...",https://finnhub.io/api/news?id=20dd1dcba8385fb980bf00a328958ff80a96aa0f0ed67b18263eba7ed8784e82
