category,datetime,headline,id,image,related,source,summary,url
company,1780438089,Oracle Reshapes AI Data Centers With Clean Power And Arm Shift,140507614,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"Oracle (NYSE:ORCL) is partnering with Bloom Energy to supply gigawatt-scale clean fuel-cell power for its data centers, targeting lower on-site emissions and greater energy resilience. The company is also rolling out Arm-based CPUs across its AI data centers, expanding beyond traditional server chips for certain next-generation workloads. Both moves mark a shift in how Oracle plans and powers its infrastructure for AI and cloud services. These infrastructure changes come as NYSE:ORCL trades...",https://finnhub.io/api/news?id=7f40bddce4add8649f82e40086e476a094f1b612c1b3fa3c69bd290caef4becd
company,1780437269,CNBC Daily Open: Nvidia stars at Computex as markets hit records,140514043,https://image.cnbcfm.com/api/v1/image/108315152-1780405409943-gettyimages-2279396667-042a7029_nhdiseyi.jpeg?v=1780405436&w=1920&h=1080,ORCL,CNBC,"AI momentum drove Wall Street to fresh records, even as conflicting U.S.-Iran signals and new tariff threats on Brazil kept geopolitical tensions in focus.",https://finnhub.io/api/news?id=e3d84bd6c7f51c3ec8222a0a533691f1886068bc0b43ca188e7dfdfe5460893a
company,1780436701,Oracle (ORCL) Stock Sinks As Market Gains: Here's Why,140507615,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"Oracle (ORCL) concluded the recent trading session at $244.58, signifying a -1.44% move from its prior day's close.",https://finnhub.io/api/news?id=401d905b8c01da5f10a2b2d7500a35ff060327cbbc0a8a1ab3d8148372112f24
company,1780432354,Stock Indexes Post New Record Highs Amid AI Enthusiasm,140509474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.13%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.45%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +0.48%. June E-mini S&P futures (ESM26 ) rose +0.14%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=96cb56dea8cd225ccd9fa9fa537bf8f06353dc30d772de14741f4d863c9c2f5f
company,1780430940,Alphabet Is Selling $80 Billion of Stock to Feed Its AI Ambitions—and the Rest of Big Tech May Follow,140506163,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,Alphabet plans to raise $80 billion through equity sales to fund its 2026 and 2027 capital expenditures.,https://finnhub.io/api/news?id=f4970768fba79bd8ff1a6606a4b7c856ee615c8d22add8b65455f24a19d23acf
company,1780430232,Oracle Stock's Rally Vaults Larry Ellison Past Bezos to World's Third-Richest Person,140506169,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"Oracle's late-May surge lifted Larry Ellison's fortune to $302 billion, vaulting him past Jeff Bezos and Sergey Brin to be the world's third-richest.",https://finnhub.io/api/news?id=4b0d40000a7f285bb0ed2207073f7b7134c3869490a1476fa0589a9f7cb474cc
company,1780428551,Jim Cramer looks at stocks that will go higher if tech retreats,140514218,https://image.cnbcfm.com/api/v1/image/3ED3-MM-A-BLOCK-060226.jpg?v=1780488277&w=1920&h=1080,ORCL,CNBC,'Mad Money' host Jim Cramer looks at buying opportunities outside of tech in the current market.,https://finnhub.io/api/news?id=1f28d7f137230234b0ecd887a19db893111bd33c7f848a427463525765e30d27
company,1780423305,Dow falls 400 points as oil prices and bond yields creep higher: Live updates,140514154,https://image.cnbcfm.com/api/v1/image/108313259-1779982389071-Traders-Photo-20260528-KK-PRESS-022.jpg?v=1779982579&w=1920&h=1080,ORCL,CNBC,The Dow Jones Industrial Average fell on Wednesday as oil prices and Treasury yields moved higher amid worries the U.S.-Iran conflict could keep lifting inflation.,https://finnhub.io/api/news?id=7248553eb74fd571070a6b48ef0c86bdba66ff231314a53072d613ea3bfd6d82
company,1780422780,Google’s $80 Billion Equity Plan Suggests Bond Markets Are Feeling the Strain of AI Spending,140504186,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,Alphabet’s latest fundraising move suggests the AI buildout is becoming so capital-intensive that even one of the world’s richest companies is looking beyond debt markets.,https://finnhub.io/api/news?id=001db593554667471cc422f31c153291df55771bb011b82795037f3fa595117d
company,1780421402,Investors Bearish on Oracle Ahead of Earnings - Unusually Heavy ORCL Put Options Trading,140507616,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"A Barchart report today shows unusually heavy trading in Oracle put options ahead of its earnings due out next Wednesday, June 10, after the market closes. This may signal that investors are bearish.",https://finnhub.io/api/news?id=df096f4092ce154d827288482cb794069fd3424a463cb6156166eec71c08d79a
