category,datetime,headline,id,image,related,source,summary,url
company,1778095898,Why Occidental Petroleum Retreated Today,140195423,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OXY,Yahoo,"The company reported earnings last night, but a big profit beat was overshadowed by reports of a potential deal to end the war with Iran.",https://finnhub.io/api/news?id=29fd0ef042b76276cedcd6a7c4b9de61c92535a0b792ca3c85960d11e059cbd4
company,1778093520,"Occidental Petroleum: Buy, Sell, or Hold?",140195424,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OXY,Yahoo,Occidental's stock has rebounded nicely in 2026 after a tough couple of years.,https://finnhub.io/api/news?id=4b3b5b42ccf063eaf046dbfc2850cfa48145bd82d26896074445a3d068cc9c58
company,1778093476,Occidental Petroleum Corporation (OXY) Q1 2026 Earnings Call Transcript,140198238,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,OXY,SeekingAlpha,"Occidental Petroleum Corporation (OXY) Q1 2026 Earnings Call May 6, 2026 1:00 PM EDTCompany ParticipantsBabatunde ColeVicki Hollub - President, CEO &...",https://finnhub.io/api/news?id=1d9f74e74b742e191c4b00b4c7ed328d031609b96cb11894f93112f80ed83a98
company,1778093196,"Which Oil and Gas Stock Has Dominated in 2026: Occidental Petroleum, ConocoPhillips, or EOG Resources?",140194977,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OXY,Yahoo,"The 2026 leaderboard among U.S. exploration and production heavyweights has a twist. Occidental Petroleum (NYSE:OXY), ConocoPhillips (NYSE:COP), and EOG Resources (NYSE:EOG) have each delivered hefty year-to-date share-price gains. The surprise is that the smallest of the trio is running out front. As of May 6, OXY stock is up 35% year to date (YTD), EOG ... Which Oil and Gas Stock Has Dominated in 2026: Occidental Petroleum, ConocoPhillips, or EOG Resources?",https://finnhub.io/api/news?id=a832cc9eb354862abf9c90bd5dd66d8baaf2f99c7aed40fc11e2ea7f6581ba6d
company,1778081760,Occidental Tops Q1 Earnings Estimates on Strong Production Volumes,140193801,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OXY,Yahoo,"OXY's Q1 EPS beats estimates on strong production volumes, revenues miss forecasts, and oil & gas contributions fall year over year.",https://finnhub.io/api/news?id=2d20d224009ce2c8103ecdd4e31c109fa97f84bb172f00b8a286e175a4f2749e
company,1778078120,"Transcript : Occidental Petroleum Corporation, Q1 2026 Earnings Call, May 06, 2026",140194313,,OXY,Finnhub,"Presentation Operator MessageOperator Good afternoon, and welcome to Occidental's First Quarter 2026 Earnings Conference Call. [Operator Instructions] Please note this event is being recorded.I",https://finnhub.io/api/news?id=20624b6d9fc54734d99ef7d863e7ad28f3553e4d8a48af23f7dc37e842ab3d19
company,1778077210,Occidental does not expect higher equipment and services costs to have an impact on capex budget conf call,140194063,,OXY,Finnhub,Occidental Petroleum Corp: Occidental says identified an issue related to non-process components at Stratos facility; does not expect repairs to impact capex outlook: conf call Occidental says...,https://finnhub.io/api/news?id=a04c3d3301eb6fe25b4cee6622dd782bbb516ffb2baa78f53b8c411387f8fe13
company,1778077201,Occidental Petroleum Q1 2026 Earnings Call Transcript,140198019,https://cdn.benzinga.com/files/images/story/2025/11/06/movers_3.jpg?width=2048&height=1536,OXY,Benzinga, ,https://finnhub.io/api/news?id=4115fd43b2f7844921f395cfe13ae0a94d4210d79003ddcd714f53ad1cf4704f
company,1778077020,"Devon Energy's Q1 Earnings Beat Estimates, Coterra Merger on Course",140191696,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OXY,Yahoo,"DVN tops Q1 EPS estimates despite a revenue miss, as production rises and the Coterra merger nears a close.",https://finnhub.io/api/news?id=b93f16a30e3ea27c1467819a0f1d8e69cbb81619b3689bb316c307f5d6480980
company,1778075936,Charlie Munger’s Protege Put 43% of His Portfolio in One Stock — and It’s Up 133% in a Year,140191388,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,OXY,Yahoo,"Li Lu, a man also known as the Chinese Warren Buffett and a close friend of the late, great Charlie Munger, is having quite a solid year. Lu runs the show over at Himalaya Capital, which has a relatively small, concentrated portfolio of some outstanding businesses. Clearly, Li Lu isn’t afraid to overweight his best ... Charlie Munger’s Protege Put 43% of His Portfolio in One Stock — and It’s Up 133% in a Year",https://finnhub.io/api/news?id=d615548f53ea45077a8fe2450194892ff700d4fad988d87d8a7d1a5a590e2803
company,1778074536,"Stocks making the biggest moves midday: AMD, Corning, Arm Holdings, Cencora, Uber & more",140193204,https://image.cnbcfm.com/api/v1/image/108281726-1774286929697-045_2649mxf01_40_15_09still001.jpg?v=1774287066&w=1920&h=1080,OXY,CNBC,Here are the stocks making headlines in midday trading.,https://finnhub.io/api/news?id=0fd2c75ad3fed8d7de8625d85846423a35fca5017bf251dc9f43d8850a1395e4
