category,datetime,headline,id,image,related,source,summary,url
company,1778106817,Realty Income (O) Q1 2026 Earnings Transcript,140199440,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,O,Yahoo,"Sumit Roy: Thank you, Alex, and welcome, everyone.  In the first quarter, we delivered AFFO per share of $1.13, up 6.6% year-over-year, and invested approximately 2.8 billion dollars, or 2.6 billion dollars on a pro rata basis, at a 7.1% initial weighted average cash yield.",https://finnhub.io/api/news?id=6136b22e195575427158704ab17a17d2af361d174eef4528cc10cf727ae91774
company,1778105480,Realty Income Corporation (O) Q1 2026 Earnings Call Transcript,140200289,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,O,SeekingAlpha,"Realty Income Corporation (O) Q1 2026 Earnings Call May 6, 2026 5:00 PM EDTCompany ParticipantsAlexander WatersSumit Roy - President, CEO &...",https://finnhub.io/api/news?id=c635f74abd15ae2e4e39c55df44303fb7a394b7582df177c598ac09228e93ccf
company,1778102706,Realty Income Corp. (O) Q1 FFO and Revenues Beat Estimates,140199427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,O,Yahoo,"Realty Income Corp. (O) delivered FFO and revenue surprises of +3.04% and +3.36%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=c85c8b4dd0fb58730260ec3efc44f3596abfbf0ec98dd7db1fef5c76f37f403d
company,1778100318,Realty Income Corp (NYSE:O) Surges After Hours as Q1 Earnings Beat Estimates by a Wide Margin,140198732,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,O,ChartMill,"Realty Income beats Q1 estimates with $1.549B revenue and $1.13 EPS, surpassing analyst expectations. Stock rises slightly in after-hours trading, driven by strong net lease portfolio performance.",https://finnhub.io/api/news?id=5038173dce00757bdba49f7f1d0cc24526d4f0ddeaae84d2796c3a9768fb10c3
company,1778099964,"How Much Do You Really Need Invested to Replace an $80,000 Salary With Dividends?",140197475,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,O,Yahoo,"An $80,000 annual income sits at a meaningful threshold. It roughly matches the combined Social Security benefit. It is higher than the typical individual paycheck, but close enough to the middle-class mainstream that replacing it with portfolio income is a practical retirement question rather than a fantasy exercise. The question this piece answers is concrete: ... How Much Do You Really Need Invested to Replace an $80,000 Salary With Dividends?",https://finnhub.io/api/news?id=b24492fde5e095bb1333d3fe64c9e1307c0e7db63186c590e5cf3af0b4be1bb9
company,1778097900,"Realty Income Announces Operating Results for the Three Months Ended March 31, 2026",140197476,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,O,Yahoo,"Realty Income Corporation (Realty Income, NYSE: O), The Monthly Dividend Company®, today announced operating results for the three months ended March 31, 2026. All per share amounts presented in this press release are on a diluted per common share basis unless stated otherwise.",https://finnhub.io/api/news?id=e0962caab1d2b09da12edb35f864b0b4349bee0c991e032415de31d81c97a1a3
company,1778093594,"A $500,000 REIT Portfolio That Pays You Rent Without Owning a Single Property",140195388,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,O,Yahoo,"A $500,000 rental property can generate meaningful monthly cash flow, but the net amount depends heavily on rent, financing, taxes, insurance, repairs, vacancies, and management costs. A $500,000 REIT basket offers a different version of real estate income: publicly traded shares, professional management, daily liquidity, and no direct landlord duties. The tradeoff is that the ... A $500,000 REIT Portfolio That Pays You Rent Without Owning a Single Property",https://finnhub.io/api/news?id=b7f9b0299d67c6993e8b647a190a1b46d40fe9d6c9ba9a9041bdb82cfdb5b6a1
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,O,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
company,1778085000,"How to Build $2,000 a Month in Dividend Income",140193772,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,O,Yahoo,"Two thousand dollars a month in dividend income is the threshold where passive cash flow stops being a hobby and starts changing how you live. It can cover the carrying costs of a paid-off house, bridge the years between early retirement and Social Security, or buy back the hours of a part-time schedule at 55. ... How to Build $2,000 a Month in Dividend Income",https://finnhub.io/api/news?id=51b652a0483edafd4200c390424db635e4b55927bb73efbdc50c8f3804e58650
company,1778084055,Realty Income Raises FY2026 FFO Guidance from $4.38-$4.42 to $4.41-$4.44 vs $4.45 Est,140209428,,O,Benzinga,Realty Income (NYSE:O) raises FY2026 FFO guidance from $4.38-$4.42 to $4.41-$4.44 vs $4.45 analyst estimate..,https://finnhub.io/api/news?id=f2f5b084cce376363a7975b304b7d1d5b662ccee8d0cf5dc97d7c40d6e938da8
