category,datetime,headline,id,image,related,source,summary,url
company,1780409500,Is Pfizer Inc. (PFE) Expanding Its Cancer Pipeline Through a Landmark Innovent Partnership?,140500582,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"We recently compiled a list of the 11 Most Undervalued Pharma Stocks to Invest In. Pfizer Inc. (NYSE:PFE) is one of the most undervalued stocks on this list. TheFly reported on May 27 that PFE and Innovent Biologics announced a global strategic licensing and collaboration agreement covering the research and development of 12 early-stage oncology programs, including […]",https://finnhub.io/api/news?id=a3130fd1bdff714f92c7e15b14e8b5bcd8d20446e5dae8bdcadd139dbc34c94a
company,1780408993,Why Pfizer’s Current Price May Be Too Cheap to Ignore,140500583,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Pfizer (NYSE:PFE) is one of those names where the headline narrative (COVID hangover, patent cliff) keeps overshadowing what is actually a defensive cash machine trading at a single-digit forward multiple. After running the numbers, my view leans constructive, and the 24/7 Wall St. price target reflects that. PFE stock trades at $26.18, and our 24/7 ... Why Pfizer’s Current Price May Be Too Cheap to Ignore",https://finnhub.io/api/news?id=4636c0ee9ee12ba0cf3c52c2c3b7926cb100c8075093817e328ea8b5bce439ce
company,1780407111,Revolution Medicines: More Landmark Data Doesn't Dispel Doubts Around Valuation,140502105,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1466113549/image_1466113549.jpg?io=getty-c-w1536,PFE,SeekingAlpha,"Revolution Medicines is rated a Hold due to valuation concerns, uncertain acquisition prospects, and solo commercialization. Read more on RVMD stock here.",https://finnhub.io/api/news?id=5315b65a5856b7510b1f89bc82b8dc6019eaa9a705e191cd86d1a467773d31c0
company,1780405680,Pfizer's Obesity and Oncology Pipeline Sets Up a Catalyst-Rich 2026,140500448,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"PFE targets a catalyst-rich 2026 with pivotal obesity and oncology studies, key data readouts, and regulatory decisions across its pipeline.",https://finnhub.io/api/news?id=f2be34ad38fe8ec5ea02f74f86c50d676e85aa9b4ee07e431127816ecd87eb6f
company,1780405206,Here is What to Know Beyond Why Pfizer Inc. (PFE) is a Trending Stock,140500585,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Recently, Zacks.com users have been paying close attention to Pfizer (PFE). This makes it worthwhile to examine what the stock has in store.",https://finnhub.io/api/news?id=4cf1a0e80e8741c2119f3b0add8e0dd6c28706413ba946cc20860878cec3cad0
company,1780397892,"C4 Therapeutics ""Buy"" On Cemsidomide Advancement And Competitor's Positive Readout",140499916,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2224678667/image_2224678667.jpg?io=getty-c-w1536,PFE,SeekingAlpha,"I initiate C4 Therapeutics (CCCC) with a Buy rating, driven by robust progress of its next-gen CELMoD cemsidomide in relapsed/refractory multiple myeloma.",https://finnhub.io/api/news?id=e29ab5981753581a6ffb08f386bff2b50ba3ce252768d6cea818b17c8f148ba3
company,1780388314,Pfizer CEO Albert Bourla on the company's obesity drug pipeline,140501913,https://image.cnbcfm.com/api/v1/image/108315107-17804013281780401325-46305235905-1080pnbcnews.jpg?v=1780401327&w=1920&h=1080,PFE,CNBC,Pfizer CEO Albert Bourla joins 'Squawk Box' to discuss the company's obesity drug pipeline.,https://finnhub.io/api/news?id=27c743c3f2bf479edca0ccb89c4fdca0642c9794e85e92c1fab5b802821b17f0
company,1780386300,Zoetis: Potential Deep Value Play With 60%+ Upside Potential Dividend Investors Should Watch,140498248,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2205791995/image_2205791995.jpg?io=getty-c-w1536,PFE,SeekingAlpha,"Zoetis stock fell 50% amid inflation and demand worries. Click here to read more on the stock's dividend safety, valuation, upside potential, and risks.",https://finnhub.io/api/news?id=28aab3be6dd1d41cc2be9a84df21ab780d63ddcfddfd6d647a9d59d4a6196b87
company,1780384800,3 Dividend Stocks to Buy and Hold Forever,140497237,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"These aren't the most exciting businesses, but they have a lot to offer to long-term investors.",https://finnhub.io/api/news?id=f8a41c1f6d7e726b1ff869d230320fbb8854d9c0bf68ab2c7426f9ab12e60e67
company,1780384225,Pfizer CEO Albert Bourla on the company's oncology focus,140501914,https://image.cnbcfm.com/api/v1/image/108315071-17803976291780397626-46304432622-1080pnbcnews.jpg?v=1780397628&w=1920&h=1080,PFE,CNBC,Pfizer CEO Albert Bourla joins 'Squawk Box' to discuss the company's recent announcement about the lung cancer drug that has shown promising results on slowing the progression of the disease.,https://finnhub.io/api/news?id=ca7df77559c436868186a278c314bd78bed010c5289c3095b977dcbb829fb311
