category,datetime,headline,id,image,related,source,summary,url
company,1778100676,Tracking Ken Fisher's Fisher Asset Management Portfolio - Q1 2026 Update,140199824,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/186805810/image_186805810.jpg?io=getty-c-w1536,PG,SeekingAlpha,"Fisher Asset Managementâs Q1 2026 13F: top holdings NVDA, AAPL, GOOGL, MSFT, AMZN, plus key adds/cuts (PFE, BP, NFLX). See more details here.",https://finnhub.io/api/news?id=a94b9ea1bbe0c92ff6d55d2db9f729f630a754fdda7a65f8025f97c36a91d8a5
company,1778097660,PureCycle Technologies Reports First Quarter 2026 Results,140197364,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"Ironton turnaround completed ahead of schedule and under budgetRecord 8.4 million pounds of quarterly productionFifth consecutive quarter of sequential revenue growthAchieved final approval for commercialization of two Procter & Gamble (P&G) applicationsMacro environment is increasingly favorable as virgin resin prices rise significantly more than recycled feedstock costs ORLANDO, Fla., May 06, 2026 (GLOBE NEWSWIRE) -- PureCycle Technologies, Inc. (Nasdaq: PCT) (“PureCycle” or the “Company”), a",https://finnhub.io/api/news?id=bcd3ee1a2d1e087d404309a060c447ee3e0533c126756d7d6fc4cec98edcceda
company,1778073718,Is Amazon’s New End to End Supply Chain Services Platform Altering The Investment Case For Amazon.com (AMZN)?,140189700,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"In early May 2026, Amazon launched Amazon Supply Chain Services, opening its freight, distribution, fulfillment, and parcel delivery network to external businesses across sectors including healthcare, automotive, manufacturing, and retail, with early customers such as Procter & Gamble, 3M, Lands’ End, and American Eagle Outfitters. This move extends logistics capabilities first built for Amazon’s own operations into a standalone third-party offering, directly challenging incumbents like UPS...",https://finnhub.io/api/news?id=561fa8ad90f7756ced1d7d83b8386c1a19011169d25272ac9335f44596e71b33
company,1778073660,"$22.6 Bn Opportunities in the Global Male Toiletries Sector 2026-2029 Featuring Procter & Gamble, Edgewell Personal Care, Beiersdorf, Societe Bic, and Unilever",140189832,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"Growing consumer demand for personalized grooming, natural ingredients, and eco-friendly packaging in male toiletries presents key opportunities. Increasing focus on personal hygiene and grooming, along with sustainable packaging needs, can drive growth across Asia-Pacific, Americas, Europe, and MEA regions.Dublin, May 06, 2026 (GLOBE NEWSWIRE) -- The ""Opportunities in the Global Male Toiletries Sector 2026"" report has been added to ResearchAndMarkets.com's offering.This report provides an overv",https://finnhub.io/api/news?id=c4936b3e58118c7b7f3c7d5a4b8f0bd2a83ae346491318e45f34cf309d716f74
company,1778072762,"Got $5,000? These 3 High-Yielding Stocks Are Trading Near Their 52-Week Lows",140189833,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,These stocks pay more than double the S&P 500 average and have modest valuations relative to the overall market.,https://finnhub.io/api/news?id=979807a2f639ac4a9e7c3d1089b823d6e02d9037534587d9d55d2f79bcbe5cf6
company,1778072640,Deodorant for Stress Sweat: Secret Deodorant Partners with Intern Queen and Creator Corporate Natalie to Help Early-Career Professionals Stay Fresh and Dry,140189834,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"CINCINNATI, May 06, 2026--Secret, the #1 Clinical Antiperspirant Brand* has teamed up with Intern Queen, the leading Gen-Z and campus marketing platform, and Corporate Natalie, content creator and entrepreneur, to provide young women with the tools – and the confidence – to navigate the often sweat-inducing, ""unwritten rules"" of the corporate world.",https://finnhub.io/api/news?id=dd99217acbe05342ad3b38729a890de2b1e776ca0551f8268ea2617c85fa7c5f
company,1778072400,Native Launches Limited Edition Boba Cafe Collection Designed to Turn Daily Routines into Delightful Rituals Exclusively at Walmart,140189836,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"SAN FRANCISCO, May 06, 2026--Native, the personal care brand known for their clean, simple and effective formulas announces the launch of its limited-edition Boba Cafe Collection, now available at Walmart stores nationwide and online at Walmart.com.",https://finnhub.io/api/news?id=d8ae032d3ff50214056c95ac754a2cdff4e2acd1a96879e05802e9809eda804b
company,1778072400,"Native Launches Global Flavors Collection, a Limited Edition Personal Care Collection Inspired by Iconic Scents from Around the World Available Exclusively at Target",140189835,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"SAN FRANCISCO, May 06, 2026--Native, the personal care brand known for their clean, simple and effective formulas, announces the launch of its limited-edition Global Flavors Cafe Collection, now available at Target stores nationwide and online at Target.com.",https://finnhub.io/api/news?id=620fb75d8a8a8053769ba202960c22dfae75ef7e4691ae44f1dbe430fd3afc47
company,1778057580,P&G flags $150M hit from Iran war supply disruptions,140189837,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,The consumer goods manufacturer aims to blunt the impact by reformulating products and diversifying its supply base.,https://finnhub.io/api/news?id=8a1d844ef6928136c540497f9858a9cf5b68b7a1a4e28d1088f9f28e0d41647a
company,1778056200,"Tariff Refunds Are Coming, And They Could Keep Interest Rates Higher For Longer",140188945,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2210234081/image_2210234081.jpg?io=getty-c-w1536,PG,SeekingAlpha,"Supreme Court tariff reversal triggers ~$170B refunds: who benefits most (WMT, COST, PG, KO), margin impacts, and what it means for debt & policyâread now.",https://finnhub.io/api/news?id=b637931987e63aa11160f8299a94f829bd40e6d2c5bba8d8f3079de2e31079e4
company,1778027106,Pantene Sunkiss Glow Launch Puts Procter & Gamble Valuation In Focus,140183667,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"Pantene, a Procter & Gamble brand, has launched Sunkiss Glow, a new leave in hair protection spray tailored for summer use. The product targets damage from sun, salt, and chlorine using a Pro Vitamin Complex with niacinamide, biotin, and vitamin E. The launch adds a seasonal, outdoor focused option to Pantene's hair care lineup and is part of Procter & Gamble's broader product development pipeline. For investors tracking Procter & Gamble (NYSE:PG), the Sunkiss Glow launch sits against a...",https://finnhub.io/api/news?id=fa82284e838da2745fb00a7c004900c882af422bb54d4488cd94d2fbd06699a3
