category,datetime,headline,id,image,related,source,summary,url
company,1780442400,Palantir's role in UK public services branded 'unacceptable' by committee report,140509930,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"Britain's reliance on US tech firm Palantir in transforming public services is an ""unacceptable point of weakness"" that could leave people's private information ""at the mercy"" of foreign actors, MPs have warned.  The Commons Science, Innovation and Technology Committee has published a report about the firm's involvement in bodies including the Financial Conduct Authority and the NHS amid growing privacy concerns.  Founded in 2003, Palantir is a data analytics company contracted by governments, militaries and other large organisations around the world.",https://finnhub.io/api/news?id=bb9cd04ef008e36fa3e05cb024c9dfcc85d72c47ba3182bcb00d7660b18af2c5
company,1780435200,3 Overvalued AI Stocks I Would Stay Far Away From,140506137,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,The market has gotten a bit too enthusiastic about a few stocks.,https://finnhub.io/api/news?id=72c1ac86c41d28e3fd3f33f9c201fc4a0022caa5322038c891662726f3f70114
company,1780432354,Stock Indexes Post New Record Highs Amid AI Enthusiasm,140509474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.13%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.45%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +0.48%. June E-mini S&P futures (ESM26 ) rose +0.14%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=96cb56dea8cd225ccd9fa9fa537bf8f06353dc30d772de14741f4d863c9c2f5f
company,1780428299,Why Palantir Stock Is Sinking Today,140504160,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,President Trump's latest executive order on AI is having a negative effect on Palantir stock.,https://finnhub.io/api/news?id=a240dddb7117ff21036ed86db2300a6fda0fd66279e916d393a154010f356432
company,1780426409,Palantir's $369 Billion Valuation Requires Unprecedented Federal Market Share,140507047,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1426101020/image_1426101020.jpg?io=getty-c-w1536,PLTR,SeekingAlpha,Palantir at a $369B valuation requires federal market share and commercial scale that defy historical and regulatory precedent. Read more on PLTR stock here.,https://finnhub.io/api/news?id=17a951615ef93a37b76635bcd195cd7dbbd9c40d1b01660f703747ec1e3bc32e
company,1780425840,"Venture Capital's Role in the AI Boom: EisnerAmper Industry Leader Ryan Keating, Live at Nasdaq",140504183,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"Watch the interview below, or Click HERE: Exec Edge hosted a fireside chat on June 1 at Nasdaq MarketSite with Ryan Keating, Industry Leader, Venture Services at EisnerAmper. Mr. Keating was joined by Editor-at-Large Jarrett Banks and they discussed the newly-formed Venture Services group which Ryan leads and how AI is reshaping the venture ecosystem by […] The post Venture Capital's Role in the AI Boom: EisnerAmper Industry Leader Ryan Keating, Live at Nasdaq appeared first on ExecEdge.",https://finnhub.io/api/news?id=580ed50780dbc26a2129cfde03277b7ee08b25fd93f11ea7faa8e7178d66f897
company,1780423500,Curious about the most active S&P500 stocks in today's session?,140502913,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,PLTR,ChartMill,Curious about the most active S&P500 stocks in today's session? Join us as we explore the US markets on Tuesday and uncover the stocks that are leading the way in terms of trading volume and market attention.,https://finnhub.io/api/news?id=a28eb117784dfc09707f1bb23ace9c2cc4a34ca100ab401abebcd6bd3267c87c
company,1780420200,Palantir's AI Infrastructure Momentum: Is PLTR Stock Still a Buy?,140504275,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"PLTR's surging profitability, AI infrastructure positioning, and strong customer expansion continue fueling bullish momentum.",https://finnhub.io/api/news?id=d5d8277c421398e0dc435ab5dc01288eac5f6af639ada7b45d8581c4b30d7202
company,1780413943,Stocks Push Higher on US Labor Market Strength and AI Spending,140506192,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.24%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +0.26%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +0.29%. June E-mini S&P futures (ESM26 ) are up +0.20%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=55d7af628b73d70bf86aa7192673d2df25611841953752dbcc9fd0a53f162159
company,1780413417,Palantir Leads Software Stocks as Earnings Revisions Improve,140500493,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLTR,Yahoo,Sector momentum builds as AI adoption supports growth outlook.,https://finnhub.io/api/news?id=b138bb02b5a10e0bf9d310185103f1293964a0b31924094dd73696e3cc06d66e
