category,datetime,headline,id,image,related,source,summary,url
company,1778100180,Warner Bros. Posts Wider-Than-Expected Loss. The Stock Slides.,140197359,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Media companies across the board are seeing a fundamental change in how customers watch TV. Disney has found a way to capitalize on it.,https://finnhub.io/api/news?id=966decc93b78520c014e9c64a01da96de796ca4e88b556e96367439043cfa0d9
company,1778098867,Warner Bros. Discovery: Time To Look Forward To Paramount,140199678,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1411726508/image_1411726508.jpg?io=getty-c-w1536,PSKY,SeekingAlpha,"Paramount Skydance may acquire Warner Bros. Discovery, Inc. within a year. Click for this updated look at WBD and PSKY stocks and a look at the former's earnings.",https://finnhub.io/api/news?id=ae6e2de98dc729b7986379235ee722816ea054fc6df5922df2ba5d627a3c1418
company,1778090280,Warner Bros. Earnings Are on Deck. How Disney Turned Up the Heat.,140195088,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Media companies across the board are seeing a fundamental change in how customers watch TV. Disney has found a way to capitalize on it.,https://finnhub.io/api/news?id=05cfa1e6e21477d342131ba7caef1f3cdda6050b883ab67c8d70b0781f9d6aa3
company,1778089272,"Disney is still weak on engagement in streaming space, says media mogul Tom Rogers",140209529,https://image.cnbcfm.com/api/v1/image/108303360-17781032481778103244-45753971354-1080pnbcnews.jpg?v=1778103247&w=1920&h=1080,PSKY,CNBC,"Tom Rogers, Fmr. NBC Cable President, joins 'Fast Money' with reaction to Disney's first earnings report with CEO Josh D'Amaro at the helm.",https://finnhub.io/api/news?id=05550f143d9641cb18ee596f0ed69c828769056c46e31438ac1c58be66aad8cb
company,1778084457,"Warner Bros. Discovery books $2.9 billion net loss tied to Paramount deal, restructuring costs",140209531,https://image.cnbcfm.com/api/v1/image/108198373-1757707197145-gettyimages-2235091044-6l9a6052_gcuxneyz.jpeg?v=1770248618&w=1920&h=1080,PSKY,CNBC,"Paramount agreed to pay a Netflix termination fee, but the cost lives on WBD's books until the close of the deal.",https://finnhub.io/api/news?id=2628e94e3e3f4da2209e33f423758b8295c4cc49a772e29c33217993d57ab4e4
company,1778062127,Assessing Paramount Skydance (PSKY) Valuation After Recent Mixed Share Price Performance,140188429,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Paramount Skydance stock snapshot after recent performance With no single headline event driving attention to Paramount Skydance (PSKY), investors are focusing on how the stock’s mixed recent returns line up against the company’s current scale and profitability profile. Paramount Skydance carries a market value of about US$11.9b and last closed at US$10.66 per share. The stock shows a 4.2% decline over the past day, a 3.1% gain over the past week, and an 8.2% gain over the past month. See our...",https://finnhub.io/api/news?id=1ecdd6a7263542258e1bfd241f37a919229e5254d7f03b74bd443513b67d56df
company,1778055532,Barry Diller Says He'd Buy CNN 'Tonight' Before It Becomes 'Extinct' Amid Warner Bros-Paramount Deal: 'So Ripe For Innovation...',140197264,https://cdn.benzinga.com/files/images/story/2026/05/06/Kyiv--Ukraine---October-23--2021-In-This.jpeg?width=2048&height=1536,PSKY,Benzinga, ,https://finnhub.io/api/news?id=41775fb3038091de6eb9469dc3beaa48bcc153aae2d9f14db936b55aeaf53eff
company,1778054931,Warner Brothers: A Complete Review Of The Potential Risk/Reward,140188614,,PSKY,SeekingAlpha,,https://finnhub.io/api/news?id=2eb31f916768934bd9495eb7750a36556323b705486f77de4ab4dfd4b6ad0e7d
company,1778042354,Paramount Skydance Warner Deal Resets Valuation Debate After Analyst Upgrade,140185225,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Paramount Skydance (NasdaqGS:PSKY) is reported to be pursuing a proposed acquisition of Warner Bros. Discovery that is being described as transformative for global media. The potential deal is linked to plans for sizeable backing from global sovereign funds and a reworked content and technology roadmap, including expanded use of AI. Regulators and policymakers are expected to review the transaction closely, with particular attention on competition issues and foreign ownership...",https://finnhub.io/api/news?id=24ef43ac65908fc63b766d8f701559af830f385b99df9cb5e4fc782295cd2f79
company,1778030765,CNBC Daily Open: Kospi bull run rolls on,140192579,https://image.cnbcfm.com/api/v1/image/108285107-1774923211777-gettyimages-2265220234-AFP_A2LL866.jpeg?v=1774923220&w=1920&h=1080,PSKY,CNBC,South Korea's Kospi surges to a new peak as a rally in Samsung shares takes the chip giant's markets capitalization above $1 trillion. ,https://finnhub.io/api/news?id=7f0c830cd8ef7084e3de13934a2e83fb1bcbe75a236523eaab3120a38771aa5e
