category,datetime,headline,id,image,related,source,summary,url
company,1778108610,PTC Stock Surges Over 7% Overnight: Why Is It Moving?,140206996,https://cdn.benzinga.com/files/images/story/2026/05/06/Waterloo--Ontario--Canada---October-17--.jpeg?width=2048&height=1536,PTC,Benzinga,PTC shares jumped 7.53% in after-hours trading after the company beat Q2 fiscal 2026 revenue estimates by 8.63% and EPS expectations by 33.83%.,https://finnhub.io/api/news?id=a71d0821214e0d5668cf007e27089a761d1446ebdeaba570421f7a426d658776
company,1778104804,Here's What Key Metrics Tell Us About PTC Inc. (PTC) Q2 Earnings,140199477,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PTC,Yahoo,"While the top- and bottom-line numbers for PTC Inc. (PTC) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=7e0b5c0c534865f9813741b5db0710ac8837d97370a5c2a725abe60b10760455
company,1778103677,PTC Inc. (PTC) Q2 2026 Earnings Call Transcript,140200101,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,PTC,SeekingAlpha,"PTC Inc. (PTC) Q2 2026 Earnings Call May 6, 2026 5:00 PM EDTCompany ParticipantsMatthew Shimao - Senior Vice President of Investor RelationsNeil Barua -...",https://finnhub.io/api/news?id=e5496523587eff20faf0194afec405e73f5db19c5b828f2d1bd147d9ba46778e
company,1778102707,PTC Inc. (PTC) Surpasses Q2 Earnings and Revenue Estimates,140199478,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PTC,Yahoo,"PTC Inc. (PTC) delivered earnings and revenue surprises of +30.50% and +8.58%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=8a627c92d18c0e28c0e9efdf11543cc5e1666550efc874680639522616b4d42b
company,1778100955,PTC lifts annual revenue forecast on steady software demand,140197646,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PTC,Yahoo,"May 6 - PTC Inc on Wednesday raised its full-year revenue forecast, citing continued demand ‌from manufacturers using its software to digitize ‌their design and production processes. Shares of the Boston-based company rose ​nearly 4% in extended trading. PTC has benefited as manufacturing and industrial clients continue to invest in digital transformation tools to improve efficiency, reduce costs and speed ‌up time-to-market.",https://finnhub.io/api/news?id=ef1f76befc2c029467815cf509fe0dd024ad486797928f834889c9aeaeba9c57
company,1778100491,PTC Inc (NASDAQ:PTC) Shares Surge on FQ2 2026 Earnings Beat,140198743,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_17_c249efcc18.webp,PTC,ChartMill,"PTC reported strong fiscal Q2 2026 earnings, beating estimates with $774.3M revenue and $2.69 EPS, sending shares up 3.1% after-hours despite recent stock declines.",https://finnhub.io/api/news?id=f518a10ca31025a77cdefb89e7fb3fb2c628e473812dfc1064994c1236e836a1
company,1778098930,PTC (NASDAQ:PTC) Exceeds Q1 CY2026 Expectations,140197647,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PTC,Yahoo,"Product design software company PTC (NASDAQ:PTC) reported revenue ahead of Wall Street’s expectations in Q1 CY2026, with sales up 21.7% year on year to $774.3 million. The company expects next quarter’s revenue to be around $610 million, close to analysts’ estimates. Its non-GAAP profit of $2.69 per share was 27.5% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=ae27d93c3069aee909b8ec88abb56dfba4946f30875f791b71947c7c382f812d
company,1778097660,PTC ANNOUNCES SECOND FISCAL QUARTER 2026 RESULTS,140197648,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PTC,Yahoo,"PTC (NASDAQ: PTC) today reported financial results for its second fiscal quarter ended March 31, 2026.",https://finnhub.io/api/news?id=1d1769c100d1c38140e06c2450ffc42f33c50651b0ffd1e3c7eea7bdf5190e68
company,1778088706,PTC Inc. 2026 Q2 - Results - Earnings Call Presentation,140197052,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,PTC,SeekingAlpha,2026-05-06. The following slide deck was published by PTC Inc.,https://finnhub.io/api/news?id=8bd72861fb08f397e3dbb2f3cfde26c173f69f4f6e8d1300e3a634ee5a069f01
company,1778087009,"Earnings Scheduled For May 6, 2026",140196706,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_scheduled_1.jpg?width=2048&height=1536,PTC,Benzinga, ,https://finnhub.io/api/news?id=30f9341351401cc1ac99ead8bdabd4d620ac03c733acc63f9338c4e4bfd2055b
