category,datetime,headline,id,image,related,source,summary,url
company,1780434376,"Western Union, Visa, PayPal, Meta: why major payments giants are racing to Solana",140506212,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Kyle Samani, co-founder of Forward, breaks down his latest deal on the main stage at Solana, a minority stake in Henri, a reinsurance RWA yielding 12-13%, funded by a Galaxy debt facility at 3.5%. He makes the case for why Solana has quietly become the dominant chain for institutional payments, tokenized equities, and real world assets. From Western Union and Visa to Meta and PayPal, the biggest names in finance are all building on the same rails. Plus, why he thinks most altcoins are bleeding out, Ethereum L2s are in trouble, and why this bear market might be the best investing opportunity in crypto right now.",https://finnhub.io/api/news?id=f6b81c39de3b71bfdc644bedf1fbf8ea48690994a1d383bc63eb312f23b3f0a7
company,1780415522,"Apple Plans iPhone Bill Splitting as PayPal, Block Pare Gains",140500337,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,Apple could unveil a receipt-sharing payment tool for iOS 27 as early as next week.,https://finnhub.io/api/news?id=b86d968acb9cfb33fd9d1e45f37c587a2cbab233e2710c62000254f541b616da
company,1780412433,"Palantir, XAI, PayPal, and Robinhood stock analysis",140500423,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Shay Boloor, chief market strategist at Futurum, breaks down Palantir's strong earnings report and future guidance. He also analyzes Elon Musk's decision to merge XAI and SpaceX, and the implications for Tesla shareholders. Finally, Balor offers insights into the struggles of PayPal and the potential of Robinhood as a 'super app'.",https://finnhub.io/api/news?id=106e6241fce4baf6c2baf3e38b7af96cf15f26d38594107cb088277dc0a516df
company,1780405204,"Investors Heavily Search PayPal Holdings, Inc. (PYPL): Here is What You Need to Know",140500693,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Paypal (PYPL) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",https://finnhub.io/api/news?id=82ed46d7380f1c47478b5ae31f27ae358e40a06e2fe9e59a21e58d9e61a89830
company,1780398000,Hey Savi and PayPal Launch UK's First Agentic Commerce Platform with In-App Checkout; Debenhams Group Joins as First Retail Adopter,140498493,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Money20/20 -- Today Hey Savi launched UK's first agentic commerce experience with native checkout powered by PayPal. The app is the first of its kind AI-powered, brand agnostic fashion search platform for women, making it easier for shoppers to find, compare and buy must-have styles without leaving the app. Debenhams Group - including the Group brands Debenhams, Karen Millen, Boohoo and Pretty Little Thing – is the first retailer in the UK to bring end-to-end AI-powered shopping to UK consumers.",https://finnhub.io/api/news?id=d6f8def03c9f5ad427ecf7ad145184c98166d1e96c396b1405d74c0b83d5a3c9
company,1780396122,Michael Burry Bets On PayPal Stock As It Trades Over 80% Down From 2021 Highs,140498494,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Michael Burry, famed for his role in 'The Big Short,' is making a significant bet on PayPal ($PYPL) stock, which has seen a dramatic decline of over 80% since its 2021 peak. The video also explores PayPal's new partnership as the official peer-to-peer network of the NFL and the 'hot sauce trade' driven by GLP-1 drugs like Ozempic, leading to Tapatio's sale to private equity.",https://finnhub.io/api/news?id=fffdc8253c59a02de006cf61101081f7bfcc8301869555dd09474d15db340a6f
company,1780391430,PayPal Holdings Inc (NASDAQ:PYPL) Meets Caviar Cruise Quality Screen Criteria,140497572,https://www.chartmill.com/images/uploads/thumbnail_article_luc_kroeze_c1f44c837d.webp,PYPL,ChartMill,"PayPal passes the Caviar Cruise quality screen with strong profitability, 41% ROIC, low debt, and 139% profit quality, while trading at a cheap P/E of 8.5.",https://finnhub.io/api/news?id=9a33609af8025b50cf54765fcec341d09ffac7f9549d7cf69a2fddc65c370434
company,1780391180,"PayPal CEO Unveils AI Reset, $1.5B Savings Plan at Bernstein Conference",140497853,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"PayPal (NASDAQ:PYPL) President and CEO Enrique Lores outlined a broad operational and technology reset for the payments company at Bernstein’s 46th Annual Strategic Decisions Conference, saying the company has substantial opportunities to simplify its structure, modernize its technology platform and",https://finnhub.io/api/news?id=9e9bfa11b491827246ac8afe463f0dfa7d1534a0b6dd63b2421dc34afe841455
company,1780390675,PayPal: I Invite The Bulls To Go Over Some Accounting Basics,140498875,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1936795114/image_1936795114.jpg?io=getty-c-w1536,PYPL,SeekingAlpha,PayPal (PYPL) FQ1 2026: Hold rating despite an earnings beat as margins and cash flow concerns linger.,https://finnhub.io/api/news?id=21365f4127e08ba7a55e1729ab19d73eae261259fcda105901f58c7c71da233c
company,1780385729,PayPal's Reset Could Finally Reward Patient Buyers (Rating Upgrade),140498249,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1433738927/image_1433738927.jpg?io=getty-c-w1536,PYPL,SeekingAlpha,I'm upgrading PayPal Holdings (PYPL) back to 'Buy' due to excessive market pessimism and undervaluation.,https://finnhub.io/api/news?id=928d3abf9b86b4c86e9975c1f86d90319d75e033435d3a432dfcc74d5ba6c571
