category,datetime,headline,id,image,related,source,summary,url
company,1778089971,"UBS Maintains Neutral on Solventum, Lowers Price Target to $78",140198914,,SOLV,Benzinga,UBS  analyst Kevin Caliendo   maintains Solventum (NYSE:SOLV) with a Neutral and lowers the price target from $82 to $78.,https://finnhub.io/api/news?id=bbf2eb097a4a2a137539f93fdb3c5b9c950f958c8f3e326ca7bf115495bb346c
company,1778083800,Solventum Stock Down Despite Q1 Earnings & Revenues Beat Estimates,140193976,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SOLV,Yahoo,"SOLV beats Q1 earnings and revenue estimates as growth in MedSurg, Dental and HIS offset sales decline and margin pressure.",https://finnhub.io/api/news?id=e795710bc07e24ef179066b7f19d0eb51ba17523e109ae27d453cede67b6c081
company,1778075347,Solventum (SOLV) Q1 2026 Earnings Transcript,140190158,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SOLV,Yahoo,"Great, and thanks, Amy, and to all of our shareholders and everyone else following the Solventum Corporation story, I just want to say thanks and welcome to our first quarter 2026 earnings call.  This team's ability to drive outcomes while navigating ongoing separation efforts, ERP implementations, and acquisitions and divestitures is a testament to the strong talent we have in the organization.",https://finnhub.io/api/news?id=2e0041551a4e71835315342e2f461d890c3d36bcb6d77e349a9488491de2fdf9
company,1778074806,"Stifel Maintains Buy on Solventum, Lowers Price Target to $90",140198915,,SOLV,Benzinga,Stifel  analyst Rick Wise   maintains Solventum (NYSE:SOLV) with a Buy and lowers the price target from $105 to $90.,https://finnhub.io/api/news?id=a550f5a8066b39a7e360233501a45626858522a750be1a32305d7ee6f917cb5a
company,1778074502,Solventum (SOLV) Recently Broke Out Above the 20-Day Moving Average,140191807,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SOLV,Yahoo,Should investors be excited or worried when a stock crosses above the 20-day simple moving average?,https://finnhub.io/api/news?id=eb795523ac834e3d0d293a491ac18d9c320253f30f28b23e6ef6d151b3693977
company,1778074202,Solventum (SOLV) Recently Broke Out Above the 50-Day Moving Average,140191808,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SOLV,Yahoo,Should investors be excited or worried when a stock crosses above the 50-Day simple moving average?,https://finnhub.io/api/news?id=26558a85854e9bee8fa47f1a269c460c1afb5d7c808db227041f321c9f06a9fb
company,1778060137,"Wells Fargo Maintains Equal-Weight on Solventum, Lowers Price Target to $70",140198916,,SOLV,Benzinga,Wells Fargo  analyst Larry Biegelsen   maintains Solventum (NYSE:SOLV) with a Equal-Weight and lowers the price target from $83 to $70.,https://finnhub.io/api/news?id=3eb61c007da2f2ca3e5860a0f3109cde7a0611acdf2d211bb8c5f2140e10cdfa
company,1778059831,"Keybanc Maintains Overweight on Solventum, Raises Price Target to $93",140198917,,SOLV,Benzinga,Keybanc  analyst Brett Fishbin   maintains Solventum (NYSE:SOLV) with a Overweight and raises the price target from $92 to $93.,https://finnhub.io/api/news?id=5dcf6f136538e6b354d0bd177a5f89b276e78f19e06da215048d86f17b10264e
company,1778059220,Solventum : Shareholder Letter Q1 2026,140189381,,SOLV,Finnhub,"May 5, 2026 Fellow Solventum shareholders, Solventum delivered a strong start to 2026, with organic sales growth and adjusted earnings per share exceeding our...",https://finnhub.io/api/news?id=b6178b88c1551321b8bc7f424dea977cab9a05f2e449fdd2488bab882d27856d
company,1778047025,"BTIG Reiterates Buy on Solventum, Maintains $89 Price Target",140198918,,SOLV,Benzinga,BTIG  analyst Ryan Zimmerman   reiterates Solventum (NYSE:SOLV) with a Buy and maintains $89 price target.,https://finnhub.io/api/news?id=028c0ce7e628c0f22c9ca3e472c096cec674407c03cf213b43d95beebdc3466c
company,1778026827,Solventum Corporation Q1 2026 Earnings Call Summary,140188412,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SOLV,Yahoo,Moby summary of Solventum Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=f439bbd9c8de7010d8140a5e70e5f87cea30aa245343c85a72e34b1d38bf36ec
