category,datetime,headline,id,image,related,source,summary,url
company,1778106780,136-year-old bank expands its foothold to $18 billion,140199373,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SPGI,Yahoo,"Companies are always looking to make a buck. Sometimes that means expanding products, increasing prices, or opening new stores. And in some cases, it might mean merging with a company in the same sector. March saw a pickup in deals, with the number of transactions worth over $100 million rising 25% ...",https://finnhub.io/api/news?id=199452cade8b3fde22e4862c8470fc6095a0d6cda4b9a79ed591d2e7073d2cc3
company,1778105067,EXCLUSIVE: Private Equity's Restaurant Franchise Buying Spree Is Accelerating — But Not Everyone's Celebrating,140199374,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SPGI,Yahoo,"Private equity and venture capital firms have been increasingly acquiring restaurant franchises in recent years, with global investment in the sector doubling in 2025, according to an S&P Global report. The trend has drawn mounting criticism, as some argue that private equity ownership tends to emphasize rapid expansion and financial returns at the expense of food quality and everyday operations. When a franchisor is acquired by private equity, it's not inherently bad, but it does change the gam",https://finnhub.io/api/news?id=94ac44894274ea52f7ff39a57a22e0bcc470671e61c9e171027afaad506d2856
company,1778099053,Inside India newsletter: Social media is reshaping the world's fastest-growing market for global brands,140209446,https://image.cnbcfm.com/api/v1/image/108303404-1778117979048-gettyimages-2237854452-DSC_4860.jpeg?v=1778118020&w=1920&h=1080,SPGI,CNBC,Social media influencers are urging consumers to read labels and pushing traditional companies to make healthier products or risk being replaced by newer entrants.,https://finnhub.io/api/news?id=01cd630750e0d1f2edb8898d254f8004bcb902626994af5a64904618bd5f3367
company,1778082360,5 Stocks to Watch From the Prospering Securities & Exchanges Industry,140193688,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SPGI,Yahoo,"Zacks Securities and Exchanges industry players like SPGI, CME, ICE, NDAQ and CBOE gain from rising crypto adoption, trading volumes, a higher non-trading revenue base and tech investments.",https://finnhub.io/api/news?id=ccef0e377789a2079c4404482a1aeb3608fa624a8163b9fe77891a07b37cc9fc
company,1778074905,Nasdaq Hits Fresh Highs After AMD Earnings. The Dot-Com Bubble Parallels Keep Popping Up.,140189774,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SPGI,Yahoo,"Fresh off a record close on Tuesday, the Nasdaq was soaring to fresh highs on Wednesday after Advanced Micro Devices’ earnings report kept the chip rally rolling.  The Dow was up 461 points, or 0.9%.  The S&P and Nasdaq only need to close above yesterday’s level to establish new record closing highs.",https://finnhub.io/api/news?id=94a9a3ec9b730f402928fc1af67c8da5ab7c6798c50dd66d7ad836b4a5323795
company,1778073600,S&P Global's Ratings Business Just Got a Volatility Boost,140189667,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SPGI,Yahoo,Volatility in the first quarter was not a bad thing for S&P Global.,https://finnhub.io/api/news?id=29d617195023401028fd45d3955216816da723677b0db919509ba834d0acb90f
company,1778073551,Will Strong Q1 2026 EPS and Massive Buybacks Change S&P Global's (SPGI) Narrative,140189932,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SPGI,Yahoo,"S&P Global Inc. recently reported past first-quarter 2026 results, with sales of US$4,171 million and net income of US$1,395 million, alongside higher earnings per share versus a year earlier and updated full-year guidance that now reflects slightly lower expected FX benefits. The company also continued its capital return program by completing a multi-year share repurchase totaling 29,366,829 shares for about US$13.85 billion, which could meaningfully influence per-share metrics and investor...",https://finnhub.io/api/news?id=42643fc9fcfa51a27869538612b239d96c55592724fe70f70f0658d610ffd07e
company,1778072400,CARFAX Launches Homegrown™ Badge for Vehicles Consistently Cared for by One Dealership,140189933,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SPGI,Yahoo,"CARFAX is making it easier for car shoppers to find vehicles that a single dealership has known since Day 1. The new CARFAX Homegrown™ badge that appears on eligible CARFAX Reports, signals that a specific vehicle was sold new and received consistent care from the same dealership. These CARFAX Homegrown™ vehicles can offer greater long-term reliability and value, helping shoppers feel more confident in their buying, shopping, selling, and trade-in process.""The CARFAX Homegrown™ badge on a CARFAX",https://finnhub.io/api/news?id=840f4402018d64ef0b68ee6845b0a454a23c5e7d4536030c8543c19caf0b531b
company,1778069581,Equifax: Downgrading To Hold On Near-Term Uncertainty,140192082,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2182520744/image_2182520744.jpg?io=getty-c-w1536,SPGI,SeekingAlpha,"Equifax is downgraded to Hold after a strong Q1 2026, with concerns about the sustainability of growth and margin leverage. Read more on EFX stock here.",https://finnhub.io/api/news?id=03c0c89c9664da1a03fb74f63d3b3de0563f3b9aa50197da7ba4f5b223cc0fe5
company,1778057524,"Politics in focus as forint flies high, leu sinks to record low",140188993,,SPGI,Finnhub,"Hungary's forint hit a multi-year high against the euro, while the Romanian leu sank to a record low on Wednesday, as domestic political factors influenced the currencies' moves.The landslide...",https://finnhub.io/api/news?id=b39a3c5b977ca9caccaa6bc3424aa1f55925c9be3cf88fab16a6f7bbdeb130a1
company,1778053090,"Record Highs, Punished Results, and One Very Consequential Apple Rumor",140198580,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_30_e0925ebfb2.webp,SPGI,ChartMill,"Tuesday delivered one of those sessions that looks clean in the headline numbers but gets more interesting the closer you look. New records across the board, a chip sector on fire, and two companies that reported strong quarterly results only to watch their stocks fall 7–8%.",https://finnhub.io/api/news?id=539c5b599a9921d7c86c63513194a6a5652f8cd42ef504b9d3f3911a07c47d35
company,1778051786,S&P Global: collapse of Romania's coalition government 'could complicate budget discussions for 2027',140187631,,SPGI,Finnhub,S&P Global: collapse of Romania's coalition government 'could complicate budget discussions for 2027'...,https://finnhub.io/api/news?id=564a86c681260a14aa33a0e28d62c1b5d734a3dce4c8129425fd956514f77cdc
company,1778051771,S&P Global: Negative outlooks on Hungary and Romania's ratings and recent downgrade of Slovakia reflect fiscal risks in CEE,140187617,,SPGI,Finnhub,S&P Global: Negative outlooks on Hungary and Romania's ratings and recent downgrade of Slovakia reflect fiscal risks in CEE...,https://finnhub.io/api/news?id=c1051a8f2cff6a7e59d034d5612f23b70f2128649a8f37f9d89757855835acad
company,1778051731,S&P Global: Romania's commitment to cut fiscal deficit implies additional consolidation measures in the coming years,140187618,,SPGI,Finnhub,S&P Global: Romania's commitment to cut fiscal deficit implies additional consolidation measures in the coming years...,https://finnhub.io/api/news?id=c587e2aad58119ce6f63046df0b220da587300542f00d7058b0d388821b5accd
company,1778050907,Venezuela's bonds rally as US authorises debt restructuring advisors,140187525,,SPGI,Finnhub,Venezuela's bonds rallied onWednesday after the U.S. government gave Caracas the green lightto hire advisers for what is expected to be one of the biggestsovereign debt restructuring efforts ever...,https://finnhub.io/api/news?id=e382467a26884ef5ecdfda895d86c4b83a2e9aae0dc452024b343424fe36dbed
company,1778043748,"UK composite and services PMIs rise in April, beat flash estimates",140186472,,SPGI,Finnhub,"The UK services and composite purchasing managers' indices moved further into growth territory in April, survey publisher S&P Global reported on Wednesday. The headline seasonally adjusted services...",https://finnhub.io/api/news?id=eb91ce1ee6af5c8d9aa101597818d676a3ce6a82a6cdd280297ac6c7d64a88f0
company,1778042219,UK services firms report sharpest rise in costs since late 2022,140186286,,SPGI,Finnhub,"British services firms last month reported the sharpest acceleration in cost pressures in three-and-a-half years as the Iran war drove up prices for fuel and raw materials, a closely watched survey...",https://finnhub.io/api/news?id=55b4d4ecdd7aed9d077210f049f2ff9cf10be3364e642e6e60add4357a25a4ae
company,1778040472,"Euro zone services activity slumps in April on weak demand, PMI shows",140186207,,SPGI,Finnhub,"Euro zone services activity contracted in April for the first time in almost a year, hit by weakening demand and deteriorating export business as the Middle East war weighed on consumer-facing...",https://finnhub.io/api/news?id=5625ec94d9e9414372c29af97a2d6eeb4903a438346b80696c85d623963f2089
company,1778040240,"Spain services contract for first time in nearly 3 years, PMI shows",140186092,,SPGI,Finnhub,"Spain's services sectorcontracted in April for the first time since August 2023 asuncertainty linked to the U.S.-Israeli war with Iran hampereddemand and confidence, a business survey showed on...",https://finnhub.io/api/news?id=9408e74dffbe71b5cd543cf612a64ce92a36e7e6bfc92fa50e02cf434f176c91
company,1778039610,"France's services sector contracts further in April, final PMI shows",140185933,,SPGI,Finnhub,"France's services sector contracted in April, as demand weakened amid economic and political uncertainty linked to the Iran war, a monthly survey by S&P Global showed on Wednesday. The...",https://finnhub.io/api/news?id=aafd33111304c4950bc7c1f388fafba6033fbec3f6cc73953df202331e84111a
company,1778033391,"Russian services confidence drops to 40-month low, PMI shows",140185241,,SPGI,Finnhub,"Russia's services sector contracted for a second straight month in April as weak client demand led to declines in output and new sales, while business confidence plumbed a 40-month low, a survey...",https://finnhub.io/api/news?id=92e670789fbdcd5d1711a8bee4d4e7ec91111aa55222513450cb8ba6cd13d847
company,1778029439,"India services growth picks up in April on strong domestic demand, PMI shows",140184796,,SPGI,Finnhub,"India's services sectorgrowth picked up in April after falling to a 14-month low inMarch, driven by strong demand at home that offset slowingglobal orders, but optimism about the year ahead fell on...",https://finnhub.io/api/news?id=256867b4fcaa41d779eb0d719dc569970631fc26eb7660eae592428a2ef68ccb
