category,datetime,headline,id,image,related,source,summary,url
company,1778086360,Jim Cramer on Seagate: “They’re Practically Printing Money”,140193666,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"Seagate Technology Holdings plc (NASDAQ:STX) was one of the stocks Jim Cramer looked at during Mad Money’s episode. Cramer highlighted the company’s fall and impressive rise in earnings, as he commented: The storage stocks, Sandisk, Western Digital, and Seagate, being the big three, just don’t know when to quit. They’ve been on insane runs because […]",https://finnhub.io/api/news?id=b926d883bc6026660eb950b84552803130c5e196d070984a17cd2f6c545a2924
company,1778083620,Meet the Artificial Intelligence (AI) Infrastructure Stock Crushing Micron Technology in 2026. Its Red-Hot Earnings Growth Could Send It Even Higher,140193489,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,The incredible demand for hard disk drives and a favorable pricing environment have supercharged Seagate stock in 2026.,https://finnhub.io/api/news?id=bd0f5c4660d1b1c8fc7d91afebc3dad4d8db92b9a064099380b1f0445d26ded8
company,1778081400,The Market Is Discovering The Industrial Supply Chain Of AI,140194804,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2258598400/image_2258598400.jpg?io=getty-c-w1536,STX,SeekingAlpha,This is not just a speculative AI rally. The pattern running through the strongest performers is more specific: the market is beginning to reward the physical stack behind AI. Read more here,https://finnhub.io/api/news?id=8a9b24689a8ae7478093e266bb22effe2fcb3b7919429e230ada81a21d507c03
company,1778076536,CBOE VIX Slides Toward 17 as Oil Retreat and Tech Stock Surge Restore Risk Appetite,140191419,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"The CBOE Volatility Index (^VIX) is drifting back toward the 17 line as optimism returns to the S&P 500 and capital rotates into stocks. The VIX closed near 18 on Monday after dipping to almost 17 late last week, well below the peak above 31 recorded in late March. In a display of a shifting ... CBOE VIX Slides Toward 17 as Oil Retreat and Tech Stock Surge Restore Risk Appetite",https://finnhub.io/api/news?id=25d359e4705088b7f1506073ff4f7c62c2bd5b0cc67ab732efc475dc0352dff8
company,1778071451,"Is Semi Mania Leading To A 2000-Style Crash? US-Iran Proposal Lifts Market, Pressures Oil",140192386,,STX,Benzinga,"



Semiconductor Mania Grows


",https://finnhub.io/api/news?id=4402222c5e7defbd765dd583c13329a0f424a83c179fda57ce5b6172a69a6c19
company,1778070812,SanDisk Back In The Spotlight As $42B In AI Deals Drive Stock Higher,140192387,https://cdn.benzinga.com/files/images/story/2026/05/06/Milpitas--Ca---Feb--12--2017-Sandisk---A.jpeg?width=2048&height=1536,STX,Benzinga,"SanDisk benefits from rising AI memory demand, long-term supply deals and strong analyst optimism around future growth.",https://finnhub.io/api/news?id=11990d71941d03b56cee84e580e96811cef8354314b08276f44c4ece1c0db71a
company,1778070600,"Seagate Announces the Retirement of Michael R. Cannon, Lead Independent Director, After a 40 Year History in the Disk Drive Industry",140189902,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,"SINGAPORE, May 06, 2026--Seagate Technology Holdings plc (NASDAQ: STX) (the ""Company"" or ""Seagate""), a leading innovator of mass-capacity data storage, announced today that Mike Cannon, Lead Independent Director, has informed the company of his decision to retire from Seagate's Board of Directors at the conclusion of his current term in October 2026. Cannon has served on the Board since February 2011, including five years as Lead Independent Director and five years as Board Chair.",https://finnhub.io/api/news?id=659fdf47d81be5f1ccdb451118b24e1bc753a2e918e0c68d076921b9f0a8ea82
company,1778070000,Micron and Sandisk stocks are surging again this week: 2 reasons why memory chip makers are on the rise,140208206,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,STX,Yahoo,The AI data center building boom is making memory chip companies and their investors significantly richer this week.,https://finnhub.io/api/news?id=e5214c2bba97e22506ad406698c11132a31754eaf2475612a3447b022ee468c7
company,1778063608,"Forget Nvidia, This 9-Stock Memory ETF Just Rallied Over 70% In A Month",140190779,https://cdn.benzinga.com/files/images/story/2026/05/06/Close-Up-Of-Silicon-Die-Being-Extracted-.jpeg?width=2048&height=1536,STX,Benzinga,Roundhill&#39;s DRAM ETF rallied 70% in one month and crossed $2.5B in inflows. CEO Dave Mazza explains the structural memory thesis.,https://finnhub.io/api/news?id=68f05b4363558cff9361e5638c9ccd052115aad3476c51c7e8b7ba8a243d880d
company,1778058186,Top 2 Tech Stocks That May Fall Off A Cliff This Month,140191009,https://cdn.benzinga.com/files/images/story/2026/05/06/Nov-24--2019-Cupertino-----Ca-----Usa---.jpeg?width=2048&height=1536,STX,Benzinga,Two stocks in the IT sector are overbought according to RSI indicator. MaxLinear&#39;s stock has gained 343% in the past month while Seagate&#39;s has gained 70%.,https://finnhub.io/api/news?id=ac4841f127c819b8714132e6fbf8867081e1a1f99926d6af609e02fa9209682e
