category,datetime,headline,id,image,related,source,summary,url
company,1778095320,Nvidia Shares Are Having a Great Day. It’s Still One of the Year’s Worst in Chip Stocks.,140197335,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SWKS,Yahoo,"Nvidia  was rising early Wednesday amid a broader chip-stocks rally.  While the move pushes it above the psychologically significantly $200 level, it was only a small boost compared with  Advanced Micro Devices  ’ 17% gain on the back of AMD’s strong earnings Tuesday afternoon.  Heading into Wednesday,  Nvidia  has been the single worst performer in the PHLX Semiconductor Sector index, which tracks 30 U.S. chip companies, over both the past month and the past three months through to Tuesday’s close, according to Dow Jones Market Data.",https://finnhub.io/api/news?id=768459b3ba0b03cc050521bfa54949a27e63d9898479a2b67768d8c04e9f2ff8
company,1778094304,Wednesday's session: top gainers and losers in the S&P500 index,140198713,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,SWKS,ChartMill,"Let's delve into the developments on the US markets one hour before the close of the markets on Wednesday. Below, you'll find the top gainers and losers within the S&P500 index during today's session.",https://finnhub.io/api/news?id=2f3ba7ac4b93a09eb4ebdf551ee3e78e54dbb14ecca215aa142fee88c7bc331e
company,1778092560,Semi Stocks Are Flying. Why Skyworks Solutions Is Getting Crushed.,140194984,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SWKS,Yahoo,"On a banner day for semiconductor stocks,  Skyworks Solutions  was on pace for its worst session in more than a year.  The  a sector benchmark also referred to as the Philadelphia Semiconductor Index, recorded its largest 25-day rally since the 2000 dot-com bubble through Tuesday’s close.  One stock was missing out from the rally: Skyworks fell 11% to $64.46 on Wednesday, heading for its largest single-day decline since a 12% drop in April 2025.",https://finnhub.io/api/news?id=4457ddb1ccd1b2afa5ab766f5e844e62581c2210d19999a4a4ba8766b0f38c69
company,1778091971,"UBS Maintains Neutral on Skyworks Solutions, Raises Price Target to $75",140198168,,SWKS,Benzinga,UBS  analyst Timothy Arcuri   maintains Skyworks Solutions (NASDAQ:SWKS) with a Neutral and raises the price target from $63 to $75.,https://finnhub.io/api/news?id=2a60a1af736080347078424c175d3d489173a7fef33f995c9d1a2bc22b9a8cdd
company,1778090580,"SWKS' Q2 Earnings Beat Estimates, Revenues Up on Strong Broad Markets",140195385,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SWKS,Yahoo,"Skyworks tops Q2 FY26 views as Broad Markets hit 42% of sales, Android design win targets $1B+ through 2030, and dividend stays at 71 cents.",https://finnhub.io/api/news?id=cc5e108118db748da306d880338d09d9de41c3fe508e0f87214ed4cabeff3caf
company,1778087102,Which S&P500 stocks have an unusual volume on Wednesday?,140198709,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,SWKS,ChartMill,Discover the S&P500 stocks that are experiencing unusual trading volume in today's session. Find out more about these stocks below.,https://finnhub.io/api/news?id=7d6218c27f1d8cac9099abff53d13a798642a2f4cae91b297d81db188da60192
company,1778085304,Exploring the top movers within the S&P500 index during today's session.,140198707,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,SWKS,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=ca0e74cb90ac62b9609f505eb1c920732e31ad909d462c61880409e730ba6bd7
company,1778084139,"JP Morgan Maintains Neutral on Skyworks Solutions, Raises Price Target to $70",140198169,,SWKS,Benzinga,JP Morgan  analyst Peter Peng   maintains Skyworks Solutions (NASDAQ:SWKS) with a Neutral and raises the price target from $65 to $70.,https://finnhub.io/api/news?id=da9beaf8520517c6de12ff71ccaf041da98f856348699a35acca8a9ceea6bf68
company,1778082342,"TD Cowen Maintains Hold on Skyworks Solutions, Raises Price Target to $75",140198170,,SWKS,Benzinga,TD Cowen  analyst Krish Sankar   maintains Skyworks Solutions (NASDAQ:SWKS) with a Hold and raises the price target from $65 to $75.,https://finnhub.io/api/news?id=2992c1b10e0f5416b66af994e47f534e45d813ec80fad969797c97adc5a77e99
company,1778079825,"Citigroup Maintains Neutral on Skyworks Solutions, Raises Price Target to $77",140198171,,SWKS,Benzinga,Citigroup  analyst Atif Malik   maintains Skyworks Solutions (NASDAQ:SWKS) with a Neutral and raises the price target from $63 to $77.,https://finnhub.io/api/news?id=9df93fff51e7cc0ac08a5afb0d44e70b91abb7560fae58ad1919ea76059715b7
