category,datetime,headline,id,image,related,source,summary,url
company,1780436483,"Workday and Sprout Social Shares Are Falling, What You Need To Know",140506336,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,A number of stocks fell in the afternoon session after investors took profits following a significant rally the previous day. Software stocks pulled back after one of the sharpest sector recoveries on record.,https://finnhub.io/api/news?id=aff76104e64d988f6065fe22b8f4a4e80929149ae94d4f26bf337c00fc8d5aef
company,1780432354,Stock Indexes Post New Record Highs Amid AI Enthusiasm,140509474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.13%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.45%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +0.48%. June E-mini S&P futures (ESM26 ) rose +0.14%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=96cb56dea8cd225ccd9fa9fa537bf8f06353dc30d772de14741f4d863c9c2f5f
company,1780427101,Uncover the latest developments among S&P500 stocks in today's session.,140503590,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,WDAY,ChartMill,Curious about the top performers within the S&P500 index one hour before the close of the markets on Tuesday? Dive into the list of today's session's top gainers and losers for a comprehensive overview.,https://finnhub.io/api/news?id=16a9eee97aeb42c5148c3a7f2a2b2964d966c9e7f6c4244f3ad2762ea69a42a2
company,1780421901,Intapp And 2 Additional Stocks That May Be Priced Below Estimated Value,140502472,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,"The United States market has shown impressive performance, rising 1.6% over the last week and climbing 28% in the past year, with earnings forecasted to grow by 17% annually. In light of these conditions, identifying stocks that may be priced below their estimated value can offer opportunities for investors seeking potential growth at a reasonable cost.",https://finnhub.io/api/news?id=24917bfe80ebd0a3c64c7f7fefa8a7d98a19833feedffa7d1805ea2dba4dc36f
company,1780418100,Top S&P500 movers in Tuesday's session,140501252,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,WDAY,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Tuesday.,https://finnhub.io/api/news?id=957bd0c7422ec605a7c79bdbe2db072b9589e4da0ea2c05f63816c1c2570a6a6
company,1780416338,"Top Midday Stories: Marvell Next Trillion-Dollar Firm, Nvidia CEO Reportedly Says; Anthropic Expands Mythos Access to 150 New Partners",140502374,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,"All three major US stock indexes were up in late-morning trading Tuesday, as investors monitor devel",https://finnhub.io/api/news?id=093d5ce6e2c2e4036f226d82c31be094b51170b3d8e345a0c5ff4a1d5dc63b30
company,1780413943,Stocks Push Higher on US Labor Market Strength and AI Spending,140506192,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is up +0.24%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +0.26%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +0.29%. June E-mini S&P futures (ESM26 ) are up +0.20%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=55d7af628b73d70bf86aa7192673d2df25611841953752dbcc9fd0a53f162159
company,1780412471,Software ETF sees record retail buying as AI concerns ease,140500518,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,Investing.com -- The iShares Expanded Tech-Software Sector ETF saw retail investors pour in a record $46 million on Monday.,https://finnhub.io/api/news?id=9c7b793c12cf9153244e85c06662c7c0cf6f1b91256a8c942e44289c59158bee
company,1780410901,What's going on in today's session: S&P500 gap up and gap down stocks,140499827,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,WDAY,ChartMill,Seeking insights into today's market movers? Discover the S&P500 gap up and gap down stocks in today's session on Tuesday. Stay informed about the latest market trends.,https://finnhub.io/api/news?id=b89fb308be105c9a23d5fca0f80211d10f38173c4bb721f6c9df29054bf195e8
company,1780409330,Stocks Pressured by Uncertainty of US-Iran Ceasefire Prospects,140506194,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDAY,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.20%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.33%. June E-mini S&P futures (ESM26 ) are down -0.18%, and June E-mini Nasdaq futures...",https://finnhub.io/api/news?id=6fc72df72d8a231b36309fc2398f3d8d087b2c30604a756a7611ccddf00eaaf4
