category,datetime,headline,id,image,related,source,summary,url
company,1780438175,Is Exxon Mobil (XOM) Still Undervalued After Strong Multi‑Year Total Returns,140507602,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"Recent performance snapshot for Exxon Mobil (XOM) Without a specific news headline driving Exxon Mobil (XOM) today, attention turns to how the stock has been trading, how the business is currently positioned, and what that might mean for investors. The stock last closed at $149.56, with the share price roughly flat over the past day and week, while declining about 2% over the past month and slightly over the past 3 months. Over longer periods, reported total returns are 21.9% year to date,...",https://finnhub.io/api/news?id=af3e25c0ddb738470ce8aece064463df480c995fa67688b8c3c5c70cf0e9aa09
company,1780437269,CNBC Daily Open: Nvidia stars at Computex as markets hit records,140514043,https://image.cnbcfm.com/api/v1/image/108315152-1780405409943-gettyimages-2279396667-042a7029_nhdiseyi.jpeg?v=1780405436&w=1920&h=1080,XOM,CNBC,"AI momentum drove Wall Street to fresh records, even as conflicting U.S.-Iran signals and new tariff threats on Brazil kept geopolitical tensions in focus.",https://finnhub.io/api/news?id=e3d84bd6c7f51c3ec8222a0a533691f1886068bc0b43ca188e7dfdfe5460893a
company,1780414140,BP Surges 45% in a Year: Should Investors Bet on the Momentum?,140502442,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"BP is up 45% in a year on 14 discoveries and refining tweaks, but Strait of Hormuz disruption risk clouds the case despite a 3.19x EV/EBITDA.",https://finnhub.io/api/news?id=7938648be71e4bcd8dc69a88bb645258b1c29690d3eadf618c57ec27b72e2432
company,1780407840,Here's How the Permian Basin Is Fueling ExxonMobil's Growth Strategy,140500456,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,XOM leverages its expanded Permian Basin footprint and advanced development techniques to target 2.5 MMboe/d of production by 2030.,https://finnhub.io/api/news?id=52fafedab29fcfb14e359b66086b6ad20ce5026560865e071ee851197079ea78
company,1780405560,"Stock Market News for Jun 2, 2026",140500457,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"U.S. stocks ended marginally higher on Monday, the first trading day of June, led by a tech rally following the launch of a new chip for PCs, while investors closely watched developments in negotiations with Iran.",https://finnhub.io/api/news?id=14fa42edf72ffd0aa6f07f6b4ee5fc2838e2f0ce0f9e4bb60a5426975983be0b
company,1780402524,'Venezuela Wants Oil Firms to Supply Their Own Power for Projects' - Bloomberg News,140505393,,XOM,Benzinga,https://www.bloomberg.com/news/articles/2026-06-02/venezuela-wants-oil-firms-to-supply-their-own-power-for-projects,https://finnhub.io/api/news?id=b1aef9aae40274ea13959d06b3b5711143c8e112ab5e3ddeda650c35383d357f
company,1780402500,Is APA's Suriname Portfolio the Market's Overlooked Gem?,140499210,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"APA's GranMorgu project in Suriname targets first oil by mid-2028, with 750M+ recoverable barrels and 220,000 bpd capacity; carry reduces near-term spend.",https://finnhub.io/api/news?id=094c05b5490223be86108b9f297d52228660dcafe3f3436f87afc5e62aef669b
company,1780396893,BP starts NAG production at ACG field offshore Azerbaijan,140498378,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"ExxonMobil, INPEX, MOL, ONGC Videsh, SOCAR and TPAO are co-venturers at the ACG field.",https://finnhub.io/api/news?id=22b2801f3bf4f4d7ace1ec5c63ad8a282c28386eaa58f2d4756ac9e294179a87
company,1780392606,Exxon Mobil: Buy As Iran Fades Into The Past (Hopefully Soon),140498996,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2268539726/image_2268539726.jpg?io=getty-c-w1536,XOM,SeekingAlpha,Exxon Mobil remains attractively valued at roughly 13 times earnings. Click here to read more about the XOM stock.,https://finnhub.io/api/news?id=816a1e29e8f4b9cff378300675225d5f234c44772ee73b336a7252f2a34dffc6
company,1780389393,Who will become the next chair of BP?,140501713,https://image.cnbcfm.com/api/v1/image/108315032-17803901141780390110-46302844826-1080pnbcnews.jpg?v=1780390113&w=1920&h=1080,XOM,CNBC,"BP has backed Amanda Blanc to lead the search for a new chair, despite opposition from investors and City figures. It comes after a number of significant shareholders in BP told the Financial Times they lost confidence in Blanc's ability to lead the search, after Albert Manifold's short stint as leader.",https://finnhub.io/api/news?id=0e0e3b9ba88af99a6800aff1dbdb757c5e9f5fee6b3dbf8a5658d16ad6ef6a4e
