category,datetime,headline,id,image,related,source,summary,url
company,1780530900,Review & Preview: Down Day,140518904,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"REVIEW PREVIEW NEWSLETTER What goes up… All three major indexes fell on Wednesday, with S&P500 and Nasdaq Composite Index snapping a two-week streak of positive returns.  The S&P fell 0.7%, while the Nasdaq dropped 0.",https://finnhub.io/api/news?id=e24046c4cbe556159f02558a4bf3b363c5aac01ac469c0832822922aa5da4f13
company,1780528620,Warren Buffett's Berkshire Hathaway doubles down on Google,140518244,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Warren Buffett spent decades telling investors he did not understand technology well enough to own it. Then he bought Apple. Then he tripled down on a search giant that has spent the past two years convincing Wall Street that AI makes it stronger, not weaker. On June 1, Berkshire Hathaway made that ...",https://finnhub.io/api/news?id=39d857770a80ff6b8b0903efba6939f955a996dc565b3901dc0ca53094d38044
company,1780523386,CNBC Daily Open: Fresh Iran war worries halt stock rally,140524336,https://image.cnbcfm.com/api/v1/image/108316338-1780518732442-gettyimages-2279672498-kd1_8532_vbiuiux6.jpeg?v=1780518769&w=1920&h=1080,AAPL,CNBC,Oil prices rise and markets fall after Netanyahu tells CNBC Israel and U.S. prepared to attack Iran again if necessary.,https://finnhub.io/api/news?id=f41c377062c4f4c9fb62b24426097b13f17bb4dc5959880548c6584978f5cc8b
company,1780520544,Apple Stock Has Been Hot Lately. New AI Features Could Provide the Next Boost,140518245,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Apple stock has been on a hot streak alongside a broader AI and tech rally, with next week's Worldwide Developers Conference potentially serving as the next catalyst.",https://finnhub.io/api/news?id=8aee1797347591af2b771a8e476772ddd274487a9bad03cef08b8e3314108331
company,1780517563,Broadcom Adds $280 Billion Before Earnings as AI Rally Faces Test,140517167,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Chip giant heads into earnings after a 65% rebound and rising AI spending expectations.,https://finnhub.io/api/news?id=91bf39081798eeb0910fa786a8c215e6ac26e60beeaa89ad579dc4190c392bad
company,1780517400,RiverPark Long/Short Opportunity Fund Q1 2026 Key Contributors And Detractors,140518482,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2262913202/image_2262913202.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,"RiverPark Long/Short Opportunity Fund highlights Q1 2026 performance, led by Applied Materials. Read the full analysis for more details.",https://finnhub.io/api/news?id=6eb88e7894b18657c89dc5f2556c449237b6b315a5703e91050029546000c413
company,1780516913,S&P 500 Falls for First Time in 2 Weeks. Big Tech Is a Big Loser.,140517172,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"The S&P 500 and Nasdaq Composite fell for the first time in 10 sessions on Wednesday. The S&P 500 fell 0.7%, while the Nasdaq dropped 0.9%. The Dow fell 617 points, or 1.2%. The big three indexes also snapped a streak of five sessions in which they all finished the day with closing highs.",https://finnhub.io/api/news?id=c83fc8e63ffc114bf374f76e58be8729eccf802f258ddea825b543c14ee0a74a
company,1780516754,Apple's new feature takes the pain out of splitting the check,140518246,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Yahoo Finance Senior Reporter Brooke DiPalma and Senior Business Reporter Ines Ferre join Josh Lipton on Market Domination to discuss Apple's (AAPL) new feature to split bills by taking a photo of a receipt.,https://finnhub.io/api/news?id=b3a78bcc062223dd3d4c837c68dd9433ba520178a56ae450519c39d927a35b51
company,1780516258,Sector Update: Tech Stocks Mixed Late Afternoon,140517174,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Tech stocks were mixed late Wednesday afternoon, with the State Street Technology Select Sector SPDR",https://finnhub.io/api/news?id=627f771cdedf5b0e886a8e3cf99de0f497c802633d0264ed2d0febbb7d6f4e4b
company,1780515810,These Fortune 500 companies are bigger than most national economies—here’s where they’d rank as countries,140518247,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Some companies on the Fortune 500 list rank even higher than national economies. Nvidia would be the fourth largest economy were it a country.,https://finnhub.io/api/news?id=04e26f45210a3a3505323ed1e18bc03f05bd3aa970db9d7d116dd734d86b619d
company,1780514889,Jim Cramer talks the flow of money in Big Tech and the dealmaking race,140524337,https://image.cnbcfm.com/api/v1/image/108316434-4ED3-MM-A-BLOCK-060326.jpg?v=1780527894&w=1920&h=1080,AAPL,CNBC,'Mad Money' host Jim Cramer weighs in on the latest news on the upcoming SpaceX IPO and how tech companies are racing to raise funds.,https://finnhub.io/api/news?id=fa145c0cbdf3274829b0bafd2d361212945479a61b37b8eb98c94f590d8b8aa0
company,1780514772,Jim Cramer: I fear SpaceX is losing so much money the stock could be a drain for some time,140524339,https://image.cnbcfm.com/api/v1/image/108316435-4ED3-MM-A-BLOCK-SHORT-060326.jpg?v=1780528026&w=1920&h=1080,AAPL,CNBC,'Mad Money' host Jim Cramer weighs in on the latest news on the upcoming SpaceX IPO and how tech companies are racing to raise funds.,https://finnhub.io/api/news?id=1ad2b9cff4ed301b32d4e78ad136d51b3e245f0fd1d28e3a478d0e51ce9899ef
company,1780513802,What's going on in today's session: dow jones movers,140515847,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,AAPL,ChartMill,Join us in exploring the top gainers and losers within the dow jones index one hour before the close of the markets on Wednesday as we examine the latest happenings in today's session.,https://finnhub.io/api/news?id=f12eae3674694cf425f50d042292f0735b68447f2c30d7b4dfe9d35bd11e5ca5
company,1780512821,Big Tech Puts Stock Market Win Streak in Peril,140515975,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"The S&P 500 and Nasdaq could close lower for the first time in more than two weeks, and big tech stocks were a big reason why. The S&P was down 0.6%, while the Nasdaq was down 0.9%. The Dow was down 416 points, or 0.",https://finnhub.io/api/news?id=94a367ab9518cea4f20b6f616f12f853079dfae0590b3b422b34760cfed05d0b
company,1780512764,Is PayPal the Ultimate Asymmetric Fintech Bet at 8x Earnings?,140515989,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"There is a certain type of investment opportunity that looks terrible on the surface, and that is precisely the point. True value is almost always hidden behind a wall of intense market pessimism.",https://finnhub.io/api/news?id=a0feb206d4ea8200ed6ce2906f8230ae47117cefa1faf11368bff76f69881e3e
company,1780509900,The Best S&P 500 ETF to Invest $500 in Right Now,140515353,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"When investors think of the S&P 500 funds, ETFs from Vanguard, iShares, and State Street tend to come to mind. Invesco offers an intriguing alternative.",https://finnhub.io/api/news?id=e5d420bef64faa87fd77794e4451a439fe2d1f8479de10dcf7df6480e6742cf1
company,1780509900,Stay informed about the most active stocks in the S&P500 index on Wednesday's session.,140515357,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,AAPL,ChartMill,Stay informed about the most active stocks in the S&P500 index on Wednesday's session. Discover the stocks that are generating the highest trading volume and driving market activity.,https://finnhub.io/api/news?id=320cfb07b1ec883b3cb230e28ea4e5abf395bec9151b8ed98b923ce3fcd10857
