category,datetime,headline,id,image,related,source,summary,url
company,1780513500,Wednesday's session: top gainers and losers in the S&P500 index,140515846,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,APP,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Wednesday.,https://finnhub.io/api/news?id=6f8333afdbbc628a16bfbf77815d296ed2239843acfb739d18bf69da09e2db13
company,1780508280,AppLovin Slides 15% YTD: Is the Stock a Buying Opportunity?,140516143,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,APP's 15% YTD drop highlights a balanced setup as strong profitability and AI-driven ad growth compete with elevated valuation concerns.,https://finnhub.io/api/news?id=2ce779f2eaa5c1c930ff6eafb5079fb27ed8c4b9987167f3e24c4cdc75c9f29f
company,1780508147,Top Growth Companies With Significant Insider Stakes June 2026,140515091,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,"The United States market has seen a positive trend, rising 1.2% over the last week and 27% over the past year, with earnings projected to grow by 17% annually in the coming years. In this context of robust market performance, growth companies with significant insider ownership often attract attention as they can indicate strong internal confidence and alignment of interests between management and shareholders.",https://finnhub.io/api/news?id=444e4d95a3c4228262a7593b8fe5bf529d20de6f6e7cdce98c45b78528f44cab
company,1780504500,These S&P500 stocks are moving in today's session,140513834,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,APP,ChartMill,Stay updated with the movements of the S&P500 index in the middle of the day on Wednesday. Discover which stocks are leading as top gainers and losers in today's session.,https://finnhub.io/api/news?id=e87f7c05b92ffe015e2da1de1bf4c7e9c95a37e66ada957eeebb0d900765306c
company,1780503333,2 Mega-Cap Stocks to Own for Decades and 1 We Question,140514940,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,"Megacap stocks are behemoths that set the tone for their industries, and their massive scale typically leads to wide moats. However, the downside is that most have already exploited their existing market opportunities and must invest heavily to expand further, a risky proposition.",https://finnhub.io/api/news?id=caa53c621536d924b217c9753b5f8e1ad5a37fe73fe18151561d1609d127e7af
company,1780497301,Wednesday's session: gap up and gap down stock in the S&P500 index,140512693,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,APP,ChartMill,Curious about the S&P500 stocks that are gapping on Wednesday? Explore the gap up and gap down stocks in the S&P500 index during today's session.,https://finnhub.io/api/news?id=9d2d251c1f47167febe4a446fd4d67eadd5f79c343165ece7ca3a493d5c2e851
company,1780496760,Why AppLovin Rallied in May,140513304,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,"AppLovin delivered strong earnings and received lots of ""love"" from both the buy side and the sell side.",https://finnhub.io/api/news?id=f24ac1901d595d2b3ab2081a673e45671990fcc1c277fa48730c7d4f0775e3ac
company,1780488937,Here's How Much $100 Invested In AppLovin 5 Years Ago Would Be Worth Today,140513936,,APP,Benzinga, ,https://finnhub.io/api/news?id=bade30a696223876143b0ef11efdbda10c71a764f9b95f9ab6c552fc869dacf0
company,1780486701,High Growth Tech Stocks To Watch In US June 2026,140511442,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,"The United States market has recently seen a 1.2% increase over the past week and an impressive 27% rise over the last year, with earnings expected to grow by 17% annually. In this thriving environment, identifying high-growth tech stocks involves focusing on companies with strong innovation potential and scalability that align well with these positive market trends.",https://finnhub.io/api/news?id=897dd04e84ee51dc8c6693a83a782ce545f897990a8264313ad497c0d7b14a05
company,1780486688,3 Stocks That May Be Priced Below Their Estimated Worth In June 2026,140511438,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,"The United States market has shown robust performance recently, climbing 1.2% in the last week and rising an impressive 27% over the past year, with earnings expected to grow by 17% annually. In this environment, identifying stocks that may be priced below their estimated worth can offer potential opportunities for investors seeking value amidst overall market growth.",https://finnhub.io/api/news?id=aa2a8c479b7f05cdc64741c3e76a3c616a958c50419690575b575e0b92224bae
company,1780486549,Spotlight On AppLovin And 2 More Growth Stocks With Significant Insider Stakes,140511494,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,APP,Yahoo,"The United States market has shown robust performance, climbing 1.2% in the last week and rising 27% over the past year, with earnings projected to grow by 17% annually in the coming years. In such a thriving environment, growth companies with significant insider ownership often stand out as they align management's interests with shareholders, potentially driving long-term value creation.",https://finnhub.io/api/news?id=a7945f3034ff7f93c3938de44447341b5e1bc55136a2d282936957b179dce70b
